game_id,video_id,requested_start_s,requested_end_s,actual_first_pts,fps,width,height,topcut_px,source_sha256,bytes,fetch_utc,format_id,path
0KIBu1jQBL8_s1205,0KIBu1jQBL8,1205,1335,UNKNOWN,29.97002997002997,1920,1080,60,70f5db8d3a2d15f114d3e1b9b271b28a5695ece87b86a0eb59ec5e2c5d6b7113,62032097,2026-09-09T18:47:37Z,270,/workspace/g361_refetch/0KIBu1jQBL8_s1205.mp4
3eeaJz1PJTM_s2572,3eeaJz1PJTM,2572,2702,UNKNOWN,30.0,1920,1080,60,4c5c274f4afcb100f7f923a90789f97adfbee2ad7b79757993db866f0a1e6cad,70877597,2026-09-09T18:48:49Z,270,/workspace/g361_refetch/3eeaJz1PJTM_s2572.mp4
5PNHcMafoX8_s6820,5PNHcMafoX8,6820,6950,UNKNOWN,29.97002997002997,1920,1080,60,fdd30749b108fc4860b90f6a585fe421604fbb55cd0062ab17c5e02f4b1bb71a,50955109,2026-09-09T18:50:21Z,270,/workspace/g361_refetch/5PNHcMafoX8_s6820.mp4
7WBKNCu3NLU_s308,7WBKNCu3NLU,308,438,UNKNOWN,29.97002997002997,1920,1080,60,322961984bf9d5c29149b39ff6036488c98cb6fb12de2b938094e4b17b1c0af2,66677790,2026-09-09T18:51:52Z,270,/workspace/g361_refetch/7WBKNCu3NLU_s308.mp4
9sq-YMlIo9Q_s5730,9sq-YMlIo9Q,5730,5860,UNKNOWN,29.97002997002997,1920,1080,60,e1d1242e9b5b59949e173603c34e3679cef986e4bc1ff35c9a952504e94403f8,65815633,2026-09-09T18:57:03Z,270,/workspace/g361_refetch/9sq-YMlIo9Q_s5730.mp4
N-eE7ZwTuno_s4965,N-eE7ZwTuno,4965,5095,UNKNOWN,29.97002997002997,1920,1080,60,15cd387c9e900eda633ca3e2e469d72b54a5b6c75b7d3065822baf737c9c2120,67063366,2026-09-09T18:57:49Z,270,/workspace/g361_refetch/N-eE7ZwTuno_s4965.mp4
UHJ90jJmCYw_s90,UHJ90jJmCYw,90,220,UNKNOWN,29.97002997002997,1920,1080,60,7caa91bc17915cf925a0c3a8a925b02f3c8b84417501b1694989af8963fd4fe2,71913731,2026-09-09T18:58:50Z,270,/workspace/g361_refetch/UHJ90jJmCYw_s90.mp4
WeheQidCPXI_s3987,WeheQidCPXI,3987,4117,UNKNOWN,29.97002997002997,1920,1080,60,ffd51c5313a3ef0bcfc227b9bd27f89754225a02e60c4d685f0ce5e8d9803b2a,65686976,2026-09-09T18:59:55Z,270,/workspace/g361_refetch/WeheQidCPXI_s3987.mp4
acb-6NGcNkDDK9o_s1336,6NGcNkDDK9o,1336,1466,UNKNOWN,30.0,1920,1080,60,7e1f3215d43e812222788f21a0dd282f4943755a5c5095fb26dcfa16b11b7701,50537866,2026-09-09T19:00:47Z,270,/workspace/g361_refetch/6NGcNkDDK9o_s1336.mp4
acb-_a72WK36Its_s2662,_a72WK36Its,2662,2792,UNKNOWN,30.0,1920,1080,60,9f45409f8715d3c9d32019085959bab0210c7e84cac965a3f18dd8e37e0fa201,15479550,2026-09-09T19:01:23Z,270,/workspace/g361_refetch/_a72WK36Its_s2662.mp4
