field,count,denominator
distinct_game_ids,884,892
ledger_present_decoded_frames,804,892
ledger_present_evaluated_frames,804,892
ledger_present_finished_at,892,892
ledger_present_game_id,892,892
ledger_present_probe_status,384,892
ledger_present_rows,892,892
ledger_present_seconds,892,892
ledger_present_source_duration,892,892
ledger_present_stride,804,892
ledger_rows,892,892
table_header_source_first_pts,0,809
table_header_source_fps,808,809
table_header_source_height,808,809
table_header_source_sha256,0,809
table_header_source_topcut_px,0,809
table_header_source_width,0,809
tables_complete_binding,0,809
tables_readable,809,809
tables_unreadable,29,809
