game_id,possession_id,team,start_frame,end_frame,duration_frames,duration_sec,avg_spacing,avg_defensive_pressure,avg_vel_toward_basket,drive_attempts,shot_attempted,shot_frame,fast_break,play_type,result,outcome_score,pass_count,screen_count,drive_count,cut_count,lineup_id,max_paint_touches,avg_off_ball_distance,min_shot_clock_est,dominant_zone,transition_time_sec,offensive_rebound_poss
0022500035,69,MIL,26433,27266,833,27.77,560.3,855.6,26.73,2,0,,0,cut,,,0,0,0,10,509,1,30.4,19.2,backcourt,,0
0022500035,76,CHI,27267,27329,63,2.1,768.6,900.4,-16.27,0,0,,0,off_screen,,,0,0,0,0,260,0,369.8,22.0,3pt_arc,,0
0022500035,77,MIL,27330,27545,216,7.21,,540.2,,0,0,,0,transition,,,3,0,0,0,153,1,,16.9,3pt_arc,,0
0022500035,78,CHI,27546,27851,306,10.21,765.6,667.3,51.78,2,0,,0,transition,,,14,0,0,0,251,2,,13.9,3pt_arc,,0
0022500035,79,MIL,27852,28151,300,10.01,412.6,817.8,18.08,4,1,28044,0,transition,,,7,0,0,7,3,0,321.9,14.1,mid_range,,0
0022500035,80,CHI,28152,28238,87,2.9,870.3,1302.4,,0,0,,0,transition,,,0,0,0,4,342,0,174.1,21.2,mid_range,,0
0022500035,81,MIL,28239,28436,198,6.61,265.2,1430.5,,0,0,,0,transition,,,4,0,0,0,711,0,,17.5,mid_range,,0
0022500035,82,CHI,28437,29081,644,21.47,889.9,695.6,,1,0,,0,transition,,,2,0,0,4,628,3,,19.8,3pt_arc,,0
0022500035,87,MIL,29082,29255,174,5.81,275.1,739.1,,0,0,,0,fast_break,,,1,0,0,3,600,1,131.0,18.3,3pt_arc,,0
0022500035,90,CHI,29319,29687,369,12.31,168.3,915.0,,0,0,,0,fast_break,,,7,0,0,9,631,2,408.7,11.8,3pt_arc,,0
0022500035,91,MIL,29688,30113,426,14.21,503.1,729.2,102.41,1,0,,0,fast_break,,,1,0,0,23,227,3,219.5,9.9,backcourt,0.0,0
0022500035,94,CHI,30189,30263,75,2.5,634.7,812.1,,0,0,,0,transition,,,3,0,0,2,472,1,39.0,21.6,corner_3,,0
0022500035,95,MIL,30264,30485,221,7.37,422.7,515.5,,0,0,,0,transition,,,0,0,0,1,67,1,69.0,21.9,3pt_arc,,0
0022500035,100,CHI,30546,30644,99,3.3,,,,0,0,,0,cut,,,0,0,0,3,472,1,,20.8,mid_range,,0
0022500035,101,MIL,30645,30995,351,11.71,603.7,687.4,35.98,1,0,,0,transition,,,7,0,0,4,472,2,616.0,12.4,backcourt,,0
0022500035,102,CHI,30996,31112,117,3.9,1040.5,679.9,-9.34,0,0,,0,cut,,,2,1,0,4,472,1,,20.2,3pt_arc,,0
0022500035,103,MIL,31113,31175,63,2.1,1076.2,514.9,,0,0,,0,transition,,,0,0,0,1,299,1,514.6,22.0,3pt_arc,,0
0022500035,106,CHI,31230,31430,201,6.71,920.7,600.4,-95.62,0,0,,0,transition,,,2,0,0,6,472,2,357.0,17.4,corner_3,,0
0022500035,107,MIL,31431,31892,461,15.37,926.0,703.6,-0.82,2,0,,0,transition,,,11,0,0,24,472,3,1131.3,12.8,backcourt,,0
0022500035,114,CHI,32004,32174,171,5.71,487.6,806.0,2.26,2,1,32103,0,transition,,,3,0,0,3,165,2,232.8,18.4,backcourt,,0
0022500035,115,MIL,32175,32618,444,14.81,631.7,1536.9,-87.67,0,0,,0,fast_break,,,4,0,0,1,626,0,252.3,9.3,3pt_arc,,0
0022500035,118,CHI,32670,32762,93,3.1,1056.2,1189.9,,0,0,,0,transition,,,1,0,0,7,723,0,393.5,21.0,3pt_arc,,0
0022500035,119,MIL,32763,33509,746,24.87,995.0,929.5,,1,0,,0,transition,,,12,0,0,2,7,1,380.2,13.8,backcourt,,0
0022500035,126,CHI,33510,33929,419,13.97,834.9,578.4,,4,0,,0,transition,,,1,1,0,3,472,3,669.7,18.1,corner_3,,0
0022500035,129,MIL,33930,34031,102,3.4,,908.8,,0,0,,0,fast_break,,,4,0,0,4,443,1,5.7,20.7,3pt_arc,,0
