video_id,competition,sport_tag,canonical_game,title,sections,median_section_file,median_section_path,median_section_bytes,source_digest,width,height,fps,duration_s,probe_status,eligibility,exclusion_reason
WE47jDv_JLs,bcl,basketball,bcl|as monaco v aek final full game basketball champions l,AS Monaco v AEK - Final - Full Game - Basketball Champions L,6,basketball__bcl-WE47jDv_JLs_s4132.mp4,/workspace/data/footage_bridge/basketball__bcl-WE47jDv_JLs_s4132.mp4,17117079,fbf9e5bfe9ec01323cd11de5232a420a7d614132a5064cd250a23360132a87f5,1280,720,25.0,130.04,ok,ELIGIBLE,
y8UQxPOVdbE,bcl,basketball,bcl|baxi manresa v dar ssafaka full game basketball champion,BAXI Manresa v Dar?ssafaka - Full Game | Basketball Champion,6,basketball__bcl-y8UQxPOVdbE_s2990.mp4,/workspace/data/footage_corpus/basketball__bcl-y8UQxPOVdbE_s2990.mp4,74524168,486c6ae9fabbe28d13a06743db8a3295cd1fc494b5db202d07cbb9a89b15b3d2,1920,1080,30.0,130.033,ok,ELIGIBLE,
g0lXjTWhxQo,bcl,basketball,bcl|filou oostende v hapoel atsmon holon full game basketbal,Filou Oostende v Hapoel Atsmon Holon | Full Game | Basketbal,6,basketball__bcl-g0lXjTWhxQo_s3526.mp4,/workspace/data/footage_corpus/basketball__bcl-g0lXjTWhxQo_s3526.mp4,33532057,2149343528e049a692a26cabe753f80a448980df722c90649c430307a7628cf8,1920,1080,30.0,130.133,ok,ELIGIBLE,
iiBVytTmfKw,bcl,basketball,bcl|hapoel atsmon holon v hapoel jerusalem full game basketb,Hapoel Atsmon Holon v Hapoel Jerusalem | Full Game | Basketb,6,basketball__bcl-iiBVytTmfKw_s3292.mp4,/workspace/data/footage_corpus/basketball__bcl-iiBVytTmfKw_s3292.mp4,70099670,f9e6ff621256d11a32900ccefbc5f9047680eabd7a1c3440fe2762c23410de16,1920,1080,30.0,130.034,ok,ELIGIBLE,
fixywKCSSpw,bcl,basketball,bcl|hapoel jerusalem v iberostar tenerife full game qtr fina,Hapoel Jerusalem v Iberostar Tenerife - Full Game - Qtr-Fina,1,basketball__bcl-fixywKCSSpw_s1493.mp4,/workspace/data/footage_bridge/basketball__bcl-fixywKCSSpw_s1493.mp4,37366874,158c0f68b4153156594e03ea885fb22a425adce67c061a081df1d5d72fda566e,1280,720,25.0,130.08,ok,ELIGIBLE,
5_sp7Q8AHcU,bcl,basketball,bcl|jda bourgogne dijon v unicaja full game basketball champ,JDA Bourgogne Dijon v Unicaja | Full Game | Basketball Champ,6,basketball__bcl-5_sp7Q8AHcU_s2850.mp4,/workspace/data/footage_bridge/basketball__bcl-5_sp7Q8AHcU_s2850.mp4,67274497,9085425695e0f92966f060960b07ef5241e0138593cce97263adb3a0220b8039,1920,1080,30.0,130.133,ok,ELIGIBLE,
Y8Twp7LgPb8,bcl,basketball,bcl|limoges csp v baxi manresa full game basketball champion,Limoges CSP v BAXI Manresa | Full Game | Basketball Champion,6,basketball__bcl-Y8Twp7LgPb8_s3224.mp4,/workspace/data/footage_corpus/basketball__bcl-Y8Twp7LgPb8_s3224.mp4,66400570,9bd8f43d6833ecf42d6daa42c791a24f5f4f08221245a371aa9023bdf69bbc56,1920,1080,30.0,130.067,ok,ELIGIBLE,
pYCgIuP6-e0,bcl,basketball,bcl|mhp riesen ludwigsburg v baxi manresa semi final full ga,MHP Riesen Ludwigsburg v BAXI Manresa | Semi-Final | Full Ga,6,basketball__bcl-pYCgIuP6-e0_s3604.mp4,/workspace/data/footage_corpus/basketball__bcl-pYCgIuP6-e0_s3604.mp4,71109531,901f9f4c6ef8007df0df268925d767cb77d89b8ad18aade434761202ea4dedc0,1920,1080,30.0,130.034,ok,ELIGIBLE,
prxLSgEkawg,eurocup,basketball,eurocup|50 points second half makes the difference besiktas bou,50-POINTS SECOND HALF makes the DIFFERENCE! | Besiktas - Bou,6,basketball__eurocup-prxLSgEkawg_s3650.mp4,/workspace/data/footage_corpus/basketball__eurocup-prxLSgEkawg_s3650.mp4,71496541,31822b31d0e7fc7d37b23e067fb1bcc59d957ae3128c66d032492357269b1a52,1920,1080,25.0,130.04,ok,ELIGIBLE,
adN6aEmgK5Y,eurocup,basketball,eurocup|dynamo moscow crowned eurocup king 2006 final vs aris,Dynamo Moscow CROWNED EuroCup KING ? | 2006 Final vs. Aris |,6,basketball__eurocup-adN6aEmgK5Y_s3810.mp4,/workspace/data/footage_corpus/basketball__eurocup-adN6aEmgK5Y_s3810.mp4,68537832,f195ca029ba2aed7cbbb15cf1f959f3810b9eb21891944a4e15da8ef51cbe99e,1920,1080,25.0,130.04,ok,ELIGIBLE,
