role,path,accessibility,bytes,sha256,sha256_lf,expected_sha256,match
WE47jDv_JLs bcl pod path /workspace/data/footage_bridge/basketball__bcl-WE47jDv_JLs_s4132.mp4,C:/Users/neelj/g404_receiver/sources/basketball__bcl-WE47jDv_JLs_s4132.mp4,ABSENT,0,,,fbf9e5bfe9ec01323cd11de5232a420a7d614132a5064cd250a23360132a87f5,ABSENT
y8UQxPOVdbE bcl pod path /workspace/data/footage_corpus/basketball__bcl-y8UQxPOVdbE_s2990.mp4,C:/Users/neelj/g404_receiver/sources/basketball__bcl-y8UQxPOVdbE_s2990.mp4,RETAINED-AT-C-USERS-NEELJ-G404-RECEIVER-SOURCES,74524168,486c6ae9fabbe28d13a06743db8a3295cd1fc494b5db202d07cbb9a89b15b3d2,8ecd6f7e7ed1633f4629f6b6acf9b5c5bf1338c63a5e4cd862a3cf1f3b08cc00,486c6ae9fabbe28d13a06743db8a3295cd1fc494b5db202d07cbb9a89b15b3d2,MATCH
g0lXjTWhxQo bcl pod path /workspace/data/footage_corpus/basketball__bcl-g0lXjTWhxQo_s3526.mp4,C:/Users/neelj/g404_receiver/sources/basketball__bcl-g0lXjTWhxQo_s3526.mp4,RETAINED-AT-C-USERS-NEELJ-G404-RECEIVER-SOURCES,33532057,2149343528e049a692a26cabe753f80a448980df722c90649c430307a7628cf8,c59c65404b3a8ac22af91ca5cde911f977313220f8357ac77ac4e998c625d1a2,2149343528e049a692a26cabe753f80a448980df722c90649c430307a7628cf8,MATCH
iiBVytTmfKw bcl pod path /workspace/data/footage_corpus/basketball__bcl-iiBVytTmfKw_s3292.mp4,C:/Users/neelj/g404_receiver/sources/basketball__bcl-iiBVytTmfKw_s3292.mp4,RETAINED-AT-C-USERS-NEELJ-G404-RECEIVER-SOURCES,70099670,f9e6ff621256d11a32900ccefbc5f9047680eabd7a1c3440fe2762c23410de16,5063f4eda45df6bc1a568a9b05715202d9d1d44c6965a985c8b93339e66c29a7,f9e6ff621256d11a32900ccefbc5f9047680eabd7a1c3440fe2762c23410de16,MATCH
fixywKCSSpw bcl pod path /workspace/data/footage_bridge/basketball__bcl-fixywKCSSpw_s1493.mp4,C:/Users/neelj/g404_receiver/sources/basketball__bcl-fixywKCSSpw_s1493.mp4,ABSENT,0,,,158c0f68b4153156594e03ea885fb22a425adce67c061a081df1d5d72fda566e,ABSENT
5_sp7Q8AHcU bcl pod path /workspace/data/footage_bridge/basketball__bcl-5_sp7Q8AHcU_s2850.mp4,C:/Users/neelj/g404_receiver/sources/basketball__bcl-5_sp7Q8AHcU_s2850.mp4,ABSENT,0,,,9085425695e0f92966f060960b07ef5241e0138593cce97263adb3a0220b8039,ABSENT
Y8Twp7LgPb8 bcl pod path /workspace/data/footage_corpus/basketball__bcl-Y8Twp7LgPb8_s3224.mp4,C:/Users/neelj/g404_receiver/sources/basketball__bcl-Y8Twp7LgPb8_s3224.mp4,RETAINED-AT-C-USERS-NEELJ-G404-RECEIVER-SOURCES,66400570,9bd8f43d6833ecf42d6daa42c791a24f5f4f08221245a371aa9023bdf69bbc56,fb288e4eb297063d92218df30ca6ae1fb2332a7997e713e68ab70feb0220cc12,9bd8f43d6833ecf42d6daa42c791a24f5f4f08221245a371aa9023bdf69bbc56,MATCH
pYCgIuP6-e0 bcl pod path /workspace/data/footage_corpus/basketball__bcl-pYCgIuP6-e0_s3604.mp4,C:/Users/neelj/g404_receiver/sources/basketball__bcl-pYCgIuP6-e0_s3604.mp4,RETAINED-AT-C-USERS-NEELJ-G404-RECEIVER-SOURCES,71109531,901f9f4c6ef8007df0df268925d767cb77d89b8ad18aade434761202ea4dedc0,2d655386070a30044af551530bc4cde6dc1537131c232186110b2ef77864a7bd,901f9f4c6ef8007df0df268925d767cb77d89b8ad18aade434761202ea4dedc0,MATCH
prxLSgEkawg eurocup pod path /workspace/data/footage_corpus/basketball__eurocup-prxLSgEkawg_s3650.mp4,C:/Users/neelj/g404_receiver/sources/basketball__eurocup-prxLSgEkawg_s3650.mp4,RETAINED-AT-C-USERS-NEELJ-G404-RECEIVER-SOURCES,71496541,31822b31d0e7fc7d37b23e067fb1bcc59d957ae3128c66d032492357269b1a52,dbf7b752d428118950490cb0512fe8c26ca09bb8e31435e5ce53761cec2e52cf,31822b31d0e7fc7d37b23e067fb1bcc59d957ae3128c66d032492357269b1a52,MATCH
adN6aEmgK5Y eurocup pod path /workspace/data/footage_corpus/basketball__eurocup-adN6aEmgK5Y_s3810.mp4,C:/Users/neelj/g404_receiver/sources/basketball__eurocup-adN6aEmgK5Y_s3810.mp4,ABSENT,0,,,f195ca029ba2aed7cbbb15cf1f959f3810b9eb21891944a4e15da8ef51cbe99e,ABSENT
