frame,track_id,cls,x,y,calibration_provenance,projection_status,projection_rejection_reason,raw_projected_x_ft,raw_projected_y_ft,coordinate_space,observation,calibration,source_fps,source_height,source_duration
12,1,player,-7.58704137802124,30.377418518066406,solved,,,,,court_feet,observed,homography,59.94005994005994,1080,4592.1876
12,2,player,57.662288665771484,-10.254650115966797,solved,,,,,court_feet,observed,homography,59.94005994005994,1080,4592.1876
24,1,player,-7.478128433227539,30.36195945739746,solved,,,,,court_feet,observed,homography,59.94005994005994,1080,4592.1876
24,2,player,58.354305267333984,-10.305686950683594,solved,,,,,court_feet,observed,homography,59.94005994005994,1080,4592.1876
30,1,player,-7.308928966522217,30.48777961730957,solved,,,,,court_feet,observed,homography,59.94005994005994,1080,4592.1876
30,2,player,58.15521240234375,-10.26057243347168,solved,,,,,court_feet,observed,homography,59.94005994005994,1080,4592.1876
36,1,player,-7.208153247833252,30.469833374023438,solved,,,,,court_feet,observed,homography,59.94005994005994,1080,4592.1876
36,2,player,100.88418579101562,-7.181156158447266,solved,,,,,court_feet,observed,homography,59.94005994005994,1080,4592.1876
42,1,player,-7.0595197677612305,30.270612716674805,solved,,,,,court_feet,observed,homography,59.94005994005994,1080,4592.1876
42,2,player,101.01776123046875,-7.192223072052002,solved,,,,,court_feet,observed,homography,59.94005994005994,1080,4592.1876
48,1,player,-7.211199760437012,30.05577850341797,camera_lock_drift_checked,,,,,court_feet,observed,homography,59.94005994005994,1080,4592.1876
48,2,player,100.70381927490234,-7.049654006958008,camera_lock_drift_checked,,,,,court_feet,observed,homography,59.94005994005994,1080,4592.1876
54,1,player,-7.266270160675049,29.98224639892578,camera_lock_drift_checked,,,,,court_feet,observed,homography,59.94005994005994,1080,4592.1876
54,2,player,100.68414306640625,-7.012003421783447,camera_lock_drift_checked,,,,,court_feet,observed,homography,59.94005994005994,1080,4592.1876
60,1,player,-7.028867721557617,29.93604850769043,camera_lock_drift_checked,,,,,court_feet,observed,homography,59.94005994005994,1080,4592.1876
60,2,player,100.78406524658203,-7.027643203735352,camera_lock_drift_checked,,,,,court_feet,observed,homography,59.94005994005994,1080,4592.1876
66,1,player,-6.575425148010254,29.938812255859375,solved,,,,,court_feet,observed,homography,59.94005994005994,1080,4592.1876
66,2,player,100.82666778564453,-6.989140033721924,solved,,,,,court_feet,observed,homography,59.94005994005994,1080,4592.1876
72,1,player,-6.269344329833984,30.174175262451172,camera_lock_drift_checked,,,,,court_feet,observed,homography,59.94005994005994,1080,4592.1876
72,2,player,100.87548828125,-6.911177158355713,camera_lock_drift_checked,,,,,court_feet,observed,homography,59.94005994005994,1080,4592.1876
78,1,player,-5.994328022003174,30.429428100585938,solved,,,,,court_feet,observed,homography,59.94005994005994,1080,4592.1876
78,2,player,100.19335174560547,-6.982540607452393,solved,,,,,court_feet,observed,homography,59.94005994005994,1080,4592.1876
84,1,player,-5.767092704772949,30.69025230407715,solved,,,,,court_feet,observed,homography,59.94005994005994,1080,4592.1876
84,2,player,100.2977523803711,-6.99735164642334,solved,,,,,court_feet,observed,homography,59.94005994005994,1080,4592.1876
