table,frame,track_id,cls,x,y,calibration_provenance,projection_status,projection_rejection_reason,raw_projected_x_ft,raw_projected_y_ft,coordinate_space,observation,calibration,frame_gap,distance_ft,timestamp,player_id,team,x_position,y_position,x_norm,y_norm,velocity,acceleration,direction_deg,court_zone,ball_possession,distance_to_ball,nearest_opponent,nearest_teammate,event,team_spacing,spacing_hull_area,team_centroid_x,team_centroid_y,paint_count_own,paint_count_opp,possession_side,handler_isolation,bbox_x1,bbox_y1,bbox_x2,bbox_y2,ball_x2d,ball_y2d,ball_velocity,distance_to_basket,vel_toward_basket,drive_flag,ft_x,ft_y,dist_to_basket_ft,fast_break_flag,possession_id,possession_duration,confidence,play_type,paint_touches,off_ball_distance,shot_clock_est,scoreboard_shot_clock,scoreboard_game_clock,scoreboard_period,scoreboard_score_diff,scoreboard_confidence,possession_duration_sec,possession_type,ankle_x,ankle_y,contest_arm_angle,jump_detected,dribble_hand,ball_shot_arc_angle,ball_peak_height_px,ball_pass_speed_pxpf,player_name,jersey_number,team_abbrev,dribble_count,lineup_id,homography_valid
basketball_0022501165,570,,,,,,,,,,,,,27.0,10.203063265510021,19.019,1.0,green,1456.0,505.0,0.4277,0.2951,116.37,80.72,271.5,backcourt,0.0,5.1,6.3,,none,,,1456.0,505.0,0.0,0.0,left,,305.0,275.0,447.0,567.0,1311.0,388.0,15.81,37.3,-33.12,0.0,40.21,14.76,36.43,0.0,0.0,185.0,1.0,hand_off,0.0,0.0,5.581599999999998,,,1.0,,0.0,0.6,half_court,,,0.0,0.0,unknown,70.63184482623015,526.0134452542193,26.33544295347157,green#?,,TOR,3.0,123.0,1.0
basketball_0022501165,2307,,,,,,,,,,,,,24.0,10.105726099593241,76.977,2.0,green,2011.0,666.0,0.5908,0.3892,115.53,115.53,79.7,backcourt,0.0,26.5,13.1,5.9,none,,,0.0,0.0,0.0,0.0,,,1217.0,59.0,1295.0,261.0,2879.0,1077.0,0.0,34.6,37.6,0.0,55.53,19.46,33.68,0.0,3.0,56.0,1.0,fast_break,0.0,0.0,18.4945,,,1.0,,0.0,0.0,fast_break,,,0.0,0.0,unknown,47.82625193115012,41.10814595433112,3.80058475033046,Jonathan Mogbo,2.0,TOR,0.0,207.0,0.0
basketball_0022501165,15438,,,,,,,,,,,,,3.0,10.143909502750901,515.115,4.0,green,1377.0,434.0,0.4045,0.2537,116.57,116.57,110.8,backcourt,1.0,1.8,7.9,26.2,dribble,470.4,470.4,1817.2,878.2,0.0,0.0,left,7.9,1047.0,317.0,1197.0,603.0,1314.0,448.0,0.0,35.7,74.58,1.0,38.03,12.68,35.01,0.0,27.0,14.0,1.0,fast_break,0.0,0.0,22.6987,,,3.0,,0.0,2.1,fast_break,,,0.0,0.0,unknown,3.908704574882312,604.6805656105644,0.0,TOR#?,1.0,TOR,0.0,284.0,1.0
basketball_0022501165,16626,,,,,,,,,,,,,6.0,10.16480201479596,554.754,4.0,green,444.0,125.0,0.1304,0.0731,116.51,116.51,287.1,mid_range,0.0,25.6,13.8,15.1,none,130.0,130.0,1525.5,551.0,0.0,0.0,left,42.7,2049.8945,-18.797714,2305.937,396.39417,1314.0,448.0,2.0,21.7,-116.14,0.0,12.26,3.65,22.47,0.0,30.0,19.0,0.467,fast_break,0.0,0.0,22.1982,,,3.0,,0.0,0.1,fast_break,,,0.0,0.0,unknown,-14.590866884986536,603.9587612518808,0.3333333333333333,TOR#?,1.0,TOR,0.0,792.0,1.0
basketball_0022501165,21579,,,,,,,,,,,,,3.0,10.207962578301315,720.019,4.0,green,1277.0,111.0,0.3751,0.0649,116.64,116.64,257.8,backcourt,0.0,9.7,10.0,35.4,none,1305.6,1305.6,1235.2,710.0,0.0,0.0,left,,1128.0,-15.0,1262.0,197.0,1272.0,461.0,1266.46,37.2,-42.4,0.0,35.26,3.24,37.07,0.0,41.0,43.0,1.0,hand_off,0.0,0.0,19.7958,,,4.0,,0.0,0.0,half_court,,,0.0,0.0,unknown,9.446267990101947e-13,,0.0,TOR#?,1.0,TOR,0.0,314.0,1.0
basketball_0022501165,15195,,,,,,,,,,,,,18.0,10.01037961318151,507.007,5.0,green,1295.0,395.0,0.3804,0.2309,115.97,115.97,122.3,backcourt,1.0,1.6,9.0,27.7,none,509.5,509.5,1796.8,868.5,0.0,0.0,left,9.0,995.0,255.0,1169.0,560.0,1314.0,448.0,0.0,34.0,94.15,1.0,35.76,11.54,33.35,0.0,26.0,52.0,1.0,hand_off,0.0,0.0,18.8949,,,3.0,,0.0,0.0,double_team,,,0.0,0.0,unknown,0.274995408168104,604.0773505171237,0.0,TOR#?,13.0,TOR,0.0,441.0,1.0
basketball_0022501165,17628,,,,,,,,,,,,,3.0,10.080838258795742,588.188,5.0,green,292.0,50.0,0.0858,0.0292,115.01,115.01,270.8,corner_3,0.0,30.3,1.8,12.3,none,,,0.0,0.0,0.0,0.0,,,464.0,21.0,574.0,128.0,1314.0,448.0,1.41,22.6,-113.61,0.0,8.06,1.46,23.71,0.0,33.0,2.0,1.0,cut,0.0,0.0,23.8999,,,4.0,,0.0,0.0,half_court,,,0.0,0.0,unknown,1.4968680723279468,600.931408364198,0.3333333333333333,TOR#?,13.0,TOR,0.0,372.0,0.0
basketball_0022501165,693,,,,,,,,,,,,,21.0,10.075758035999078,23.123,6.0,white,1388.0,307.0,0.4078,0.1794,114.99,49.91,274.3,backcourt,1.0,1.9,5.6,20.9,none,121.5,121.5,1543.3,804.7,0.0,0.0,left,5.6,400.0,73.0,509.0,257.0,1363.0,243.0,13.15,37.3,-54.47,0.0,38.33,8.97,36.76,0.0,0.0,226.0,1.0,cut,0.0,0.0,1.4774999999999991,,,1.0,,0.0,0.0,double_team,,,0.0,0.0,unknown,-88.79364513603892,347.5896871223813,6.009252125773315,white#?,,MIA,0.0,147.0,1.0
basketball_0022501165,15144,,,,,,,,,,,,,3.0,10.026589649526901,505.305,6.0,white,794.0,193.0,0.2333,0.1128,115.94,115.94,239.6,3pt_arc,0.0,16.0,19.1,14.5,none,207.0,207.0,1287.0,484.7,0.0,0.0,left,4.8,733.0,49.0,901.0,317.0,1314.0,449.0,0.0,25.5,-31.09,0.0,21.93,5.64,25.55,0.0,26.0,35.0,1.0,hand_off,0.0,0.0,20.5966,,,3.0,,0.0,0.0,half_court,,,0.0,0.0,unknown,12.602805365364729,602.9275581936236,0.0,white#?,40.0,MIA,0.0,737.0,1.0
basketball_0022501165,19950,,,,,,,,,,,,,3.0,10.035800914725241,665.665,6.0,white,77.0,163.0,0.0226,0.0953,114.76,114.76,282.6,mid_range,0.0,37.5,10.6,12.2,none,963.8,963.8,1242.0,539.5,0.0,0.0,left,18.2,346.0,81.0,465.0,284.0,1405.0,447.0,2.0,19.2,-108.59,0.0,2.13,4.76,20.48,0.0,35.0,143.0,1.0,fast_break,0.0,0.0,9.7858,,,4.0,,0.0,0.1,fast_break,,,0.0,0.0,unknown,1.1257708784985434,601.7337035121309,0.3333333333333333,white#?,9.0,MIA,0.0,415.0,1.0
