game_id,shot_id,frame,timestamp,player_id,team,x_position,y_position,court_zone,defender_distance,team_spacing,possession_id,possession_duration,made
22400083,1,1455,24.274,1,green,1373,1677,mid_range,,0.0,5,2,
22400083,2,2793,46.597,3,green,264,430,3pt_arc,,0.0,33,14,
22400083,11,3273,54.605,9,white,354,309,3pt_arc,,905291.0,143,3,
22400083,21,3804,63.463,2,green,1955,1509,backcourt,,394788.0,263,3,
22400083,29,4317,72.022,9,white,362,211,corner_3,,613105.5,394,3,
22400083,35,4857,81.031,9,white,894,158,corner_3,,723955.5,480,3,
22400083,45,5391,89.94,6,white,1527,1667,backcourt,,0.0,532,14,
22400083,57,5922,98.799,5,green,1207,493,mid_range,,285430.0,642,6,
22400083,68,6420,107.107,1,green,1373,1677,mid_range,,0.0,736,2,
22400083,81,6915,115.365,1,green,1373,1677,mid_range,,624314.5,781,3,
22400083,91,7443,124.174,4,green,717,293,3pt_arc,,20543.0,881,3,
22400083,105,7926,132.232,7,white,1551,1620,backcourt,,377051.5,974,24,
22400083,113,8493,141.692,10,white,244,10,corner_3,,269495.0,1056,3,
22400083,127,8994,150.05,4,green,58,910,paint,,346524.0,1105,3,
