recount_order,blind_id,source_frame,frame_file
0,25,21748,part_a_034.jpg
1,21,22371,part_a_044.jpg
2,60,22122,part_a_040.jpg
3,13,21624,part_a_032.jpg
4,43,22496,part_a_046.jpg
5,28,20938,part_a_021.jpg
6,34,19879,part_a_004.jpg
7,22,23306,part_a_059.jpg
8,39,22808,part_a_051.jpg
9,9,20190,part_a_009.jpg
10,12,21250,part_a_026.jpg
11,23,22558,part_a_047.jpg
12,52,21997,part_a_038.jpg
13,6,21001,part_a_022.jpg
14,50,22870,part_a_052.jpg
15,35,22247,part_a_042.jpg
16,33,21811,part_a_035.jpg
17,4,21873,part_a_036.jpg
18,58,19692,part_a_001.jpg
19,53,21063,part_a_023.jpg
20,29,23368,part_a_060.jpg
21,3,21686,part_a_033.jpg
22,20,21125,part_a_024.jpg
23,48,20564,part_a_015.jpg
