blind_id,source_frame,frame_file,count_status,g278_court_geometry_category,players_visible_on_court,other_people_on_court,visible_people_total,finite_detection_count,on_court_detection_count,on_court_boxes_per_visible_player,on_court_boxes_per_visible_person
0,22060,part_a_039.jpg,CANNOT_COUNT,a,,,,6,4,,
1,21935,part_a_037.jpg,COUNTED,a,10,1,11,8,5,0.5,0.45454545454545453
2,20128,part_a_008.jpg,COUNTED,a,10,1,11,9,9,0.9,0.8181818181818182
3,21686,part_a_033.jpg,COUNTED,a,10,1,11,11,10,1.0,0.9090909090909091
4,21873,part_a_036.jpg,COUNTED,a,10,1,11,4,3,0.3,0.2727272727272727
5,23119,part_a_056.jpg,COUNTED,b,10,1,11,5,3,0.3,0.2727272727272727
6,21001,part_a_022.jpg,COUNTED,c,10,0,10,10,5,0.5,0.5
7,22434,part_a_045.jpg,COUNTED,a,10,1,11,9,7,0.7,0.6363636363636364
8,19817,part_a_003.jpg,COUNTED,a,10,1,11,10,9,0.9,0.8181818181818182
9,20190,part_a_009.jpg,COUNTED,a,10,1,11,3,2,0.2,0.18181818181818182
10,21437,part_a_029.jpg,COUNTED,a,10,0,10,8,6,0.6,0.6
11,22745,part_a_050.jpg,COUNTED,b,10,0,10,5,4,0.4,0.4
12,21250,part_a_026.jpg,COUNTED,a,6,0,6,6,4,0.6666666666666666,0.6666666666666666
13,21624,part_a_032.jpg,COUNTED,a,7,0,7,8,7,1.0,1.0
14,19941,part_a_005.jpg,CANNOT_COUNT,a,,,,8,7,,
15,22309,part_a_043.jpg,COUNTED,a,10,2,12,7,6,0.6,0.5
16,20502,part_a_014.jpg,COUNTED,a,10,1,11,9,9,0.9,0.8181818181818182
17,20315,part_a_011.jpg,CANNOT_COUNT,a,,,,8,8,,
18,21561,part_a_031.jpg,COUNTED,a,10,1,11,10,10,1.0,0.9090909090909091
19,22621,part_a_048.jpg,COUNTED,c,10,1,11,15,8,0.8,0.7272727272727273
20,21125,part_a_024.jpg,COUNTED,a,10,1,11,8,6,0.6,0.5454545454545454
21,22371,part_a_044.jpg,COUNTED,a,10,1,11,4,3,0.3,0.2727272727272727
22,23306,part_a_059.jpg,COUNTED,a,5,0,5,10,6,1.2,1.2
23,22558,part_a_047.jpg,COUNTED,a,10,1,11,11,9,0.9,0.8181818181818182
24,20066,part_a_007.jpg,COUNTED,a,10,1,11,16,13,1.3,1.1818181818181819
25,21748,part_a_034.jpg,COUNTED,a,10,1,11,12,10,1.0,0.9090909090909091
26,23057,part_a_055.jpg,CANNOT_COUNT,a,,,,5,4,,
27,22932,part_a_053.jpg,CANNOT_COUNT,a,,,,7,6,,
28,20938,part_a_021.jpg,COUNTED,c,10,1,11,9,5,0.5,0.45454545454545453
29,23368,part_a_060.jpg,COUNTED,a,10,1,11,8,4,0.4,0.36363636363636365
30,21312,part_a_027.jpg,COUNTED,a,6,0,6,5,3,0.5,0.5
31,20751,part_a_018.jpg,COUNTED,a,10,2,12,14,12,1.2,1.0
32,23181,part_a_057.jpg,CANNOT_COUNT,c,,,,7,2,,
33,21811,part_a_035.jpg,COUNTED,a,10,1,11,5,4,0.4,0.36363636363636365
34,19879,part_a_004.jpg,COUNTED,a,10,1,11,7,6,0.6,0.5454545454545454
35,22247,part_a_042.jpg,COUNTED,a,10,1,11,5,3,0.3,0.2727272727272727
36,22184,part_a_041.jpg,COUNTED,a,10,1,11,6,3,0.3,0.2727272727272727
37,19630,part_a_000.jpg,COUNTED,a,10,0,10,8,7,0.7,0.7
38,20253,part_a_010.jpg,COUNTED,a,10,1,11,10,9,0.9,0.8181818181818182
39,22808,part_a_051.jpg,COUNTED,c,10,1,11,2,2,0.2,0.18181818181818182
40,20876,part_a_020.jpg,COUNTED,a,10,0,10,14,13,1.3,1.3
41,21187,part_a_025.jpg,COUNTED,a,10,1,11,5,4,0.4,0.36363636363636365
42,21499,part_a_030.jpg,COUNTED,a,10,0,10,10,9,0.9,0.9
43,22496,part_a_046.jpg,COUNTED,a,10,0,10,6,5,0.5,0.5
44,22994,part_a_054.jpg,COUNTED,a,10,1,11,4,3,0.3,0.2727272727272727
45,20814,part_a_019.jpg,COUNTED,a,10,1,11,11,10,1.0,0.9090909090909091
46,21374,part_a_028.jpg,CANNOT_COUNT,a,,,,6,6,,
47,20004,part_a_006.jpg,COUNTED,a,10,1,11,13,12,1.2,1.0909090909090908
48,20564,part_a_015.jpg,COUNTED,a,10,1,11,13,10,1.0,0.9090909090909091
49,20440,part_a_013.jpg,COUNTED,a,10,1,11,11,9,0.9,0.8181818181818182
50,22870,part_a_052.jpg,COUNTED,a,10,2,12,8,7,0.7,0.5833333333333334
51,20689,part_a_017.jpg,COUNTED,a,10,1,11,10,10,1.0,0.9090909090909091
52,21997,part_a_038.jpg,COUNTED,a,10,1,11,7,6,0.6,0.5454545454545454
53,21063,part_a_023.jpg,COUNTED,c,10,1,11,10,4,0.4,0.36363636363636365
54,20377,part_a_012.jpg,COUNTED,a,10,1,11,11,11,1.1,1.0
55,23244,part_a_058.jpg,COUNTED,c,10,1,11,2,2,0.2,0.18181818181818182
56,19754,part_a_002.jpg,COUNTED,a,10,1,11,11,7,0.7,0.6363636363636364
57,22683,part_a_049.jpg,COUNTED,c,10,1,11,7,6,0.6,0.5454545454545454
58,19692,part_a_001.jpg,COUNTED,a,10,1,11,8,8,0.8,0.7272727272727273
59,20627,part_a_016.jpg,COUNTED,a,10,1,11,15,12,1.2,1.0909090909090908
60,22122,part_a_040.jpg,COUNTED,a,10,2,12,8,5,0.5,0.4166666666666667
