geometry,element,probe_x,probe_half,cue_call,retained,n_retained,unique_after_cue,g371_n_classes,g371_geometry_status,would_pick_where_g371_refused
G1_SYNTH_QUAD,identity,179.6559,LEFT,LEFT,identity|mirror_y,2,0,1,NO_DISTINCT_RUNNER_UP,0
G1_SYNTH_QUAD,mirror_x,1099.6394,RIGHT,LEFT,identity|mirror_y,2,0,1,NO_DISTINCT_RUNNER_UP,0
G1_SYNTH_QUAD,rot180,882.5216,RIGHT,LEFT,identity|mirror_y,2,0,1,NO_DISTINCT_RUNNER_UP,0
G1_SYNTH_QUAD,mirror_y,395.6954,LEFT,LEFT,identity|mirror_y,2,0,1,NO_DISTINCT_RUNNER_UP,0
G1_SYNTH_QUAD,identity,179.6559,LEFT,RIGHT,mirror_x|rot180,2,0,1,NO_DISTINCT_RUNNER_UP,0
G1_SYNTH_QUAD,mirror_x,1099.6394,RIGHT,RIGHT,mirror_x|rot180,2,0,1,NO_DISTINCT_RUNNER_UP,0
G1_SYNTH_QUAD,rot180,882.5216,RIGHT,RIGHT,mirror_x|rot180,2,0,1,NO_DISTINCT_RUNNER_UP,0
G1_SYNTH_QUAD,mirror_y,395.6954,LEFT,RIGHT,mirror_x|rot180,2,0,1,NO_DISTINCT_RUNNER_UP,0
G2_WIDE,identity,1159.2292,RIGHT,LEFT,mirror_x|rot180,2,0,1,NO_DISTINCT_RUNNER_UP,0
G2_WIDE,mirror_x,118.9915,LEFT,LEFT,mirror_x|rot180,2,0,1,NO_DISTINCT_RUNNER_UP,0
G2_WIDE,rot180,362.6372,LEFT,LEFT,mirror_x|rot180,2,0,1,NO_DISTINCT_RUNNER_UP,0
G2_WIDE,mirror_y,915.3121,RIGHT,LEFT,mirror_x|rot180,2,0,1,NO_DISTINCT_RUNNER_UP,0
G2_WIDE,identity,1159.2292,RIGHT,RIGHT,identity|mirror_y,2,0,1,NO_DISTINCT_RUNNER_UP,0
G2_WIDE,mirror_x,118.9915,LEFT,RIGHT,identity|mirror_y,2,0,1,NO_DISTINCT_RUNNER_UP,0
G2_WIDE,rot180,362.6372,LEFT,RIGHT,identity|mirror_y,2,0,1,NO_DISTINCT_RUNNER_UP,0
G2_WIDE,mirror_y,915.3121,RIGHT,RIGHT,identity|mirror_y,2,0,1,NO_DISTINCT_RUNNER_UP,0
G3_TIGHT,identity,261.0536,LEFT,LEFT,identity|mirror_y,2,0,1,NO_DISTINCT_RUNNER_UP,0
G3_TIGHT,mirror_x,1018.0948,RIGHT,LEFT,identity|mirror_y,2,0,1,NO_DISTINCT_RUNNER_UP,0
G3_TIGHT,rot180,840.2618,RIGHT,LEFT,identity|mirror_y,2,0,1,NO_DISTINCT_RUNNER_UP,0
G3_TIGHT,mirror_y,441.0264,LEFT,LEFT,identity|mirror_y,2,0,1,NO_DISTINCT_RUNNER_UP,0
G3_TIGHT,identity,261.0536,LEFT,RIGHT,mirror_x|rot180,2,0,1,NO_DISTINCT_RUNNER_UP,0
G3_TIGHT,mirror_x,1018.0948,RIGHT,RIGHT,mirror_x|rot180,2,0,1,NO_DISTINCT_RUNNER_UP,0
G3_TIGHT,rot180,840.2618,RIGHT,RIGHT,mirror_x|rot180,2,0,1,NO_DISTINCT_RUNNER_UP,0
G3_TIGHT,mirror_y,441.0264,LEFT,RIGHT,mirror_x|rot180,2,0,1,NO_DISTINCT_RUNNER_UP,0
G4_OFF_AXIS,identity,200.993,LEFT,LEFT,identity|mirror_y,2,0,1,NO_DISTINCT_RUNNER_UP,0
G4_OFF_AXIS,mirror_x,1118.7557,RIGHT,LEFT,identity|mirror_y,2,0,1,NO_DISTINCT_RUNNER_UP,0
G4_OFF_AXIS,rot180,844.3879,RIGHT,LEFT,identity|mirror_y,2,0,1,NO_DISTINCT_RUNNER_UP,0
G4_OFF_AXIS,mirror_y,354.8834,LEFT,LEFT,identity|mirror_y,2,0,1,NO_DISTINCT_RUNNER_UP,0
G4_OFF_AXIS,identity,200.993,LEFT,RIGHT,mirror_x|rot180,2,0,1,NO_DISTINCT_RUNNER_UP,0
G4_OFF_AXIS,mirror_x,1118.7557,RIGHT,RIGHT,mirror_x|rot180,2,0,1,NO_DISTINCT_RUNNER_UP,0
G4_OFF_AXIS,rot180,844.3879,RIGHT,RIGHT,mirror_x|rot180,2,0,1,NO_DISTINCT_RUNNER_UP,0
G4_OFF_AXIS,mirror_y,354.8834,LEFT,RIGHT,mirror_x|rot180,2,0,1,NO_DISTINCT_RUNNER_UP,0
