frame_key,render,reason,call,reference,left_mass,right_mass
00ea70e69d95e26a18bc1c6056bba5110df63be8fb02d561f8382f26f40fe35a,00ea70e69d95.jpg,cue_unknown,UNKNOWN,right,0,1255.1047
02465137629eeaf5667e8e67fe3ece844b2d1883f4b4336ad06fe127ab625501,02465137629e.jpg,cue_unknown,UNKNOWN,left,0,457.1206
052eb218af79f8b87a777ffb5a8c68aeeb12fde6383bee741b9abb0ee8acbc12,052eb218af79.jpg,cue_unknown,UNKNOWN,unknown,0.0,0.0
09c38052a38ba4c22ee4ff15beb1880368f7ff86a8389de38e073cc8440bc92e,09c38052a38b.jpg,wrong,LEFT,right,29279.6206,4192.0896
0bf4eaa6d7e9526844b9a77473e45e9e8cdc90739bf47ed8549a06f4b82a5f60,0bf4eaa6d7e9.jpg,cue_unknown,UNKNOWN,unknown,0.0,0.0
1095f6d860152d9e4c3c72062038cf876dea1fe60b657242408cf9e39573d5a1,1095f6d86015.jpg,cue_unknown,UNKNOWN,left,0.0,0.0
1537e8bb24eceaba05263206970d4f7ab76fa5acabefb1f41d8beacec0d86e9d,1537e8bb24ec.jpg,wrong,RIGHT,left,11405.1078,19398.362
1554f521544738a6d8f67d743124fba79b589b56a37a3c1e1472764f381dfe77,1554f5215447.jpg,cue_unknown,UNKNOWN,unknown,0.0,0.0
15cbc575ec3979a666394234cc73356d197f8204a59f338718218e64ceaf8491,15cbc575ec39.jpg,cue_unknown,UNKNOWN,unknown,0.0,0.0
161c52f39d6aa1dac90e0047c29bfa1b75f37fbbd7ce81d334a0c12fa15f7492,161c52f39d6a.jpg,wrong,RIGHT,left,33082.5292,66528.1787
1737315d33257a0739ced8deaf82ba4660a02117bc983ef65452ef25a7597a51,1737315d3325.jpg,cue_unknown,UNKNOWN,unknown,0.0,0.0
17c2710a9c3d345e871a1c00b334e162850ccb20f803748566887f3f1757a795,17c2710a9c3d.jpg,cue_unknown,UNKNOWN,unknown,0.0,0.0
18808d033a73c82c364258c38caf637e7ff2fdbd1324ee19c62899bef862534b,18808d033a73.jpg,wrong,LEFT,right,6683.4743,0
19745f79209dede084edf0274553502df9cbc9bcffd83a23ee9ebcf9412cfa86,19745f79209d.jpg,wrong,RIGHT,left,3727.8271,7370.4016
1bc50baa19d06bb6b47af908d7f41edbfd0c05f5cf4091bd34c51a6e46096619,1bc50baa19d0.jpg,wrong,RIGHT,left,1250.8843,11649.7014
1cdb5a09a5ac17108dc201017f12f235b6f8af82da5aca62de2c217cd82d50cb,1cdb5a09a5ac.jpg,cue_unknown,UNKNOWN,unknown,0.0,0.0
1e15bc4afd06e5348c8ee7577d90ea779b70fd542dcbb1e518c5f6ac0657b374,1e15bc4afd06.jpg,cue_unknown,UNKNOWN,unknown,0,1761.9115
1e5d0b65c981b79a0a4a1df7041d32f2237ca2c83e9de8b0211a010f850078e9,1e5d0b65c981.jpg,wrong,LEFT,right,28636.9732,4332.0311
219fd356ef25ac47d7b7f2b4a87ee6589c91cdc92d004bbcf67437ca541033eb,219fd356ef25.jpg,cue_unknown,UNKNOWN,unknown,0.0,0.0
250d0967d41779f6cbc4c8cb056bec6ffbf28c633a59610a1b4b20fe03cf1480,250d0967d417.jpg,cue_unknown,UNKNOWN,right,0.0,0.0
26b3985a3bc7683158b4cd64415fbec0f0d94eed0320af46f5b9d2c06ad7d808,26b3985a3bc7.jpg,cue_unknown,UNKNOWN,unknown,0.0,0.0
27bb68df500d951c016f194c86ed50fc75f65c254efaac5aca58d4a7fab662db,27bb68df500d.jpg,cue_unknown,UNKNOWN,unknown,0.0,0.0
28a758f465b395d70454ae431560c3f5825d3c295230899df96077596ba6c6f2,28a758f465b3.jpg,cue_unknown,UNKNOWN,unknown,0,1378.7673
