frame_key,section,game,call,reference,unknown_reason,kind
00ea70e69d95e26a18bc1c6056bba5110df63be8fb02d561f8382f26f40fe35a,nba__XCaGht2GmPg_s2807,nba__XCaGht2GmPg,UNKNOWN,right,mass_below_floor,cue_unknown
01af5ad09e19d7a5a7b702aa7d7341aa450a39ab09bc2daa4ae7d11d7d1b4d3f,basketball__fiba-7HQqWMaKxpA_s155,basketball__fiba-7HQqWMaKxpA,LEFT,unknown,,reference_unknown
02465137629eeaf5667e8e67fe3ece844b2d1883f4b4336ad06fe127ab625501,ncaa_basketball__GNjSxoeDT-E_s1232,ncaa_basketball__GNjSxoeDT-E,UNKNOWN,left,mass_below_floor,cue_unknown
0320690f7d8283214ef00539514a5c5ef6c5d74d52947b013ec37179b50eeff9,basketball__fiba--x4DRmtYn4Q_s1531,basketball__fiba--x4DRmtYn4Q,RIGHT,unknown,,reference_unknown
04584c23695ee64a81a0d7716d47b0688c58edfcaf168278f5c2f1fa3fc09962,basketball__fiba-Y1cgaIWW8gk_s5543,basketball__fiba-Y1cgaIWW8gk,LEFT,unknown,,reference_unknown
04e37a9e746c41cd593ff060c6d541d2b48d0f0cd3af557983b34f96fbaca051,wnba__G8bPOW37Sp0_s615,wnba__G8bPOW37Sp0,LEFT,unknown,,reference_unknown
052eb218af79f8b87a777ffb5a8c68aeeb12fde6383bee741b9abb0ee8acbc12,wnba__1E5Rw89keTg_s377,wnba__1E5Rw89keTg,UNKNOWN,unknown,no_detection,reference_unknown
071757b6a96dbaf656bfd523106317691e5aa34babcadc823d5d5990b45e3a32,basketball__fiba-7HQqWMaKxpA_s155,basketball__fiba-7HQqWMaKxpA,LEFT,unknown,,reference_unknown
0bf4eaa6d7e9526844b9a77473e45e9e8cdc90739bf47ed8549a06f4b82a5f60,ncaa_basketball__UzaYBYy3GZg_s5307,ncaa_basketball__UzaYBYy3GZg,UNKNOWN,unknown,no_detection,reference_unknown
1095f6d860152d9e4c3c72062038cf876dea1fe60b657242408cf9e39573d5a1,basketball__fiba-fyp4VsE-8Fc_s6835,basketball__fiba-fyp4VsE-8Fc,UNKNOWN,left,no_detection,cue_unknown
10ce925864813cf0a2473d6f71d11da2bf668cbbc3e454d928265c38d7c5ac80,basketball__fiba-fyp4VsE-8Fc_s6835,basketball__fiba-fyp4VsE-8Fc,LEFT,unknown,,reference_unknown
14aa7ae51e2384a2f1738bebd642eaa7694a89160c70feb3c6d6fef5402d6cd8,basketball__fiba-7HQqWMaKxpA_s155,basketball__fiba-7HQqWMaKxpA,LEFT,unknown,,reference_unknown
1554f521544738a6d8f67d743124fba79b589b56a37a3c1e1472764f381dfe77,ncaa_basketball__GNjSxoeDT-E_s1232,ncaa_basketball__GNjSxoeDT-E,UNKNOWN,unknown,no_detection,reference_unknown
