frame,timestamp,player_id,team,x_position,y_position,velocity,acceleration,direction_deg,court_zone,ball_possession,distance_to_ball,nearest_opponent,nearest_teammate,event,team_spacing,team_centroid_x,team_centroid_y,paint_count_own,paint_count_opp,possession_side,handler_isolation,bbox_x1,bbox_y1,bbox_x2,bbox_y2,ball_x2d,ball_y2d,ball_velocity,distance_to_basket,vel_toward_basket,drive_flag,fast_break_flag,possession_id,possession_duration,confidence
10,0.167,8,green,410,1228,0.0,-44.0,0.0,paint,0,,,213.0,none,1169.0,406.7,1210.7,2,0,,0.0,257,611,337,675,,,0.0,452.5,0.0,0,0,11,0,1.0
10,0.167,9,green,406,1441,1.0,-114.25,0.0,3pt_arc,0,,,213.0,none,1169.0,406.7,1210.7,2,0,,0.0,1180,476,1248,553,,,0.0,637.8,-0.4,0,0,11,0,1.0
10,0.167,10,green,404,963,3.0,-73.92,270.0,paint,0,,,265.1,none,1169.0,406.7,1210.7,2,0,,0.0,618,591,699,675,,,0.0,272.9,1.18,0,0,11,0,1.0
11,0.184,8,green,410,1229,1.0,1.0,90.0,paint,0,,,212.0,none,1172.0,406.7,1210.3,2,0,,0.0,255,610,337,674,,,0.0,453.3,-0.82,0,0,12,0,1.0
11,0.184,9,green,406,1441,0.0,-1.0,0.0,3pt_arc,0,,,212.0,none,1172.0,406.7,1210.3,2,0,,0.0,1181,476,1249,553,,,0.0,637.8,0.0,0,0,12,0,1.0
11,0.184,10,green,404,961,2.0,-1.0,270.0,paint,0,,,268.1,none,1172.0,406.7,1210.3,2,0,,0.0,619,591,699,675,,,0.0,272.1,0.78,0,0,12,0,1.0
12,0.2,8,green,410,1228,1.0,0.0,270.0,paint,0,,,213.0,none,1173.0,406.7,1210.0,2,0,,0.0,255,611,337,675,,,0.0,452.5,0.82,0,0,13,0,1.0
12,0.2,9,green,406,1441,0.0,0.0,0.0,3pt_arc,0,,,213.0,none,1173.0,406.7,1210.0,2,0,,0.0,1181,476,1251,554,,,0.0,637.8,0.0,0,0,13,0,1.0
12,0.2,10,green,404,961,0.0,-2.0,0.0,paint,0,,,267.1,none,1173.0,406.7,1210.0,2,0,,0.0,619,592,699,675,,,0.0,272.1,0.0,0,0,13,0,1.0
13,0.217,8,green,410,1228,0.0,-1.0,0.0,paint,0,,,214.0,none,1172.0,406.7,1211.0,2,0,,0.0,253,613,336,675,,,0.0,452.5,0.0,0,0,14,0,1.0
13,0.217,9,green,406,1442,1.0,1.0,90.0,3pt_arc,0,,,214.0,none,1172.0,406.7,1211.0,2,0,,0.0,1183,476,1253,555,,,0.0,638.7,-0.92,0,0,14,0,1.0
13,0.217,10,green,404,963,2.0,2.0,90.0,paint,0,,,265.1,none,1172.0,406.7,1211.0,2,0,,0.0,618,593,698,675,,,0.0,272.9,-0.79,0,0,14,0,1.0
14,0.234,1,green,1054,1545,0.0,0.0,0.0,mid_range,0,,,216.0,none,416991.5,722.8,1175.6,2,0,,0.0,241,232,297,383,,,0.0,1134.4,0.0,0,0,15,0,1.0
14,0.234,3,green,635,668,0.0,0.0,0.0,3pt_arc,0,,,374.7,none,416991.5,722.8,1175.6,2,0,,0.0,860,233,922,380,,,0.0,517.0,0.0,0,0,15,0,1.0
14,0.234,4,green,1025,1061,0.0,0.0,0.0,mid_range,0,,,276.2,none,416991.5,722.8,1175.6,2,0,,0.0,669,185,747,316,,,0.0,895.7,0.0,0,0,15,0,1.0
14,0.234,5,green,765,1167,0.0,0.0,0.0,3pt_arc,0,,,280.8,none,416991.5,722.8,1175.6,2,0,,0.0,630,270,735,417,,,0.0,686.6,0.0,0,0,15,0,1.0
