player_id,team,frames_tracked,tracking_pct,total_distance_px,avg_velocity,max_velocity,possession_frames,possession_pct,shots_attempted,drive_attempts,drive_rate,paint_frames,paint_pct,avg_dist_to_basket,avg_nearest_opponent
1,green,312,0.624,1.4,0.0,1.41,0,0.0,0,0,0.0,0,0.0,1134.2,0.0
2,green,414,0.828,206.4,0.5,206.42,0,0.0,0,0,0.0,0,0.0,615.3,0.0
3,green,403,0.806,746.9,1.85,247.08,38,0.094,0,0,0.0,3,0.007,430.9,0.0
4,green,425,0.85,766.0,1.8,266.37,154,0.362,0,0,0.0,0,0.0,733.2,0.0
5,green,347,0.694,103.5,0.3,94.02,13,0.037,0,0,0.0,0,0.0,763.4,0.0
6,green,349,0.698,7.7,0.02,2.83,0,0.0,0,0,0.0,0,0.0,1040.8,0.0
7,green,268,0.536,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,613.6,0.0
8,green,410,0.82,50.0,0.12,44.0,0,0.0,0,0,0.0,410,1.0,452.1,0.0
9,green,423,0.846,1260.1,2.98,247.41,0,0.0,0,0,0.0,0,0.0,624.9,0.0
10,green,429,0.858,560.7,1.31,185.87,175,0.408,0,0,0.0,427,0.995,296.2,0.0
