game_id,elapsed_s,timestamp_utc,timestamp_reason,p_market,p_null,p_simulator,outcome,loss_market,loss_null,loss_simulator,timestamp
401810020,120,2025-11-05T00:45:06Z,,0.51,0.5297543825178306,0.40625,1,0.24009999999999998,0.2211309407611868,0.3525390625,401810020:120
401810020,600,2025-11-05T01:08:05Z,,0.585,0.6032282624949213,0.453125,1,0.17222500000000002,0.15742781168279904,0.299072265625,401810020:600
401810022,120,2025-11-05T01:13:07Z,,0.475,0.4951776207225062,0.5,1,0.275625,0.25484563461938975,0.25,401810022:120
401810020,1080,2025-11-05T01:26:11Z,,0.78,0.7909179703044309,0.421875,1,0.04839999999999999,0.04371529514161884,0.334228515625,401810020:1080
401810022,600,2025-11-05T01:31:07Z,,0.2199999999999999,0.2366336769920897,0.34375,1,0.6084000000000002,0.5827281431026172,0.4306640625,401810022:600
401810022,1080,2025-11-05T01:53:07Z,,0.1099999999999999,0.1206129646039545,0.609375,1,0.7921000000000002,0.7733215580226457,0.152587890625,401810022:1080
401810020,1560,2025-11-05T01:59:05Z,,0.895,0.9000151692479786,0.390625,1,0.011024999999999997,0.009996966380510355,0.371337890625,401810020:1560
401810020,2040,2025-11-05T02:25:06Z,,0.975,0.9758796865598388,0.546875,1,0.0006250000000000011,0.0005817895204516205,0.205322265625,401810020:2040
401810022,1560,2025-11-05T02:26:07Z,,0.0699999999999999,0.0775021532172246,0.59375,1,0.8649000000000003,0.8510022773188569,0.1650390625,401810022:1560
401810020,2520,2025-11-05T02:45:06Z,,0.997,0.9970345997925036,0.375,1,9.000000000000015e-06,8.793598390619457e-06,0.390625,401810020:2520
401810022,2040,2025-11-05T02:45:08Z,,0.1049999999999999,0.1152552159723192,0.515625,1,0.8010250000000002,0.7827733328641875,0.234619140625,401810022:2040
401810022,2520,2025-11-05T03:07:07Z,,0.135,0.1472815186663884,0.46875,1,0.748225,0.727128808407901,0.2822265625,401810022:2520
401810024,120,2025-11-05T03:14:06Z,,0.785,0.7956788939058898,0.5,1,0.04622499999999999,0.04174711439552066,0.25,401810024:120
401810024,600,2025-11-05T03:29:06Z,,0.86,0.866880674231618,0.625,1,0.019600000000000003,0.01772075489302862,0.140625,401810024:600
401810024,1080,2025-11-05T03:54:06Z,,0.945,0.9473585273805556,0.46875,1,0.0030250000000000055,0.002771124639543715,0.2822265625,401810024:1080
401810024,1560,2025-11-05T04:25:07Z,,0.979,0.9797003473884108,0.515625,1,0.0004410000000000008,0.000412075896151199,0.234619140625,401810024:1560
401810024,2040,2025-11-05T04:46:06Z,,0.9125,0.916576648967071,0.546875,1,0.007656250000000004,0.006959455497563292,0.205322265625,401810024:2040
401810024,2520,2025-11-05T05:11:06Z,,0.998,0.998013676609426,0.484375,1,4.0000000000000074e-06,3.945480611941509e-06,0.265869140625,401810024:2520
401810028,120,2025-11-06T00:13:06Z,,0.675,0.6857837372253813,0.453125,0,0.45562500000000006,0.4702993342428109,0.205322265625,401810028:120
401810026,120,2025-11-06T00:14:04Z,,0.845,0.8501445270391296,0.5,1,0.024025000000000008,0.02245666277632617,0.25,401810026:120
401810028,600,2025-11-06T00:33:07Z,,0.605,0.6175162473694877,0.46875,0,0.366025,0.38132631576529435,0.2197265625,401810028:600
401810026,600,2025-11-06T00:34:04Z,,0.91,0.9127117862404158,0.515625,1,0.008099999999999994,0.00761923226133886,0.234619140625,401810026:600
401810030,120,2025-11-06T00:48:06Z,,0.5449999999999999,0.5586423419161213,0.5625,1,0.20702500000000007,0.19479658234928598,0.19140625,401810030:120
401810028,1080,2025-11-06T00:56:06Z,,0.73,0.7391481755031508,0.46875,0,0.5328999999999999,0.5463400253496367,0.2197265625,401810028:1080
401810026,1080,2025-11-06T01:05:04Z,,0.885,0.8886464223040698,0.5,1,0.013224999999999997,0.012399619265683573,0.25,401810026:1080
401810030,600,2025-11-06T01:06:05Z,,0.595,0.6077281807937965,0.578125,1,0.16402500000000003,0.15387718014334437,0.177978515625,401810030:600
401810030,1080,2025-11-06T01:26:10Z,,0.74,0.7488281297879614,0.5625,1,0.06760000000000001,0.06308730838581315,0.19140625,401810030:1080
401810026,1560,2025-11-06T01:36:04Z,,0.795,0.8019622174391408,0.40625,1,0.042024999999999986,0.03921896332162217,0.3525390625,401810026:1560
401810028,1560,2025-11-06T01:37:07Z,,0.75,0.7585017388786294,0.5625,0,0.5625,0.5753248878819045,0.31640625,401810028:1560
401810032,120,2025-11-06T01:47:05Z,,0.635,0.6468255554588567,0.453125,0,0.403225,0.41838329919465844,0.205322265625,401810032:120
401810028,2040,2025-11-06T01:52:14Z,,0.5800000000000001,0.5930282892937652,0.296875,0,0.3364000000000001,0.35168255190268966,0.088134765625,401810028:2040
401810026,2040,2025-11-06T01:56:04Z,,0.945,0.9464475327211618,0.578125,1,0.0030250000000000055,0.0028678667516510385,0.177978515625,401810026:2040
401810030,1560,2025-11-06T01:58:06Z,,0.49,0.5043479981103631,0.390625,1,0.2601,0.2456709069772046,0.371337890625,401810030:1560
401810032,600,2025-11-06T02:03:05Z,,0.585,0.5979306558246412,0.546875,0,0.34222499999999995,0.3575210691748856,0.299072265625,401810032:600
401810026,2520,2025-11-06T02:17:04Z,,0.9995,0.999489928518171,0.296875,1,2.4999999999994493e-07,2.601729165752543e-07,0.494384765625,401810026:2520
401810028,2520,2025-11-06T02:17:07Z,,0.305,0.3190221422810338,0.40625,0,0.093025,0.10177512726558019,0.1650390625,401810028:2520
401810030,2040,2025-11-06T02:20:06Z,,0.855,0.8597719296633395,0.71875,1,0.021025000000000005,0.01966391171034341,0.0791015625,401810030:2040
