game_id,rows_before,rows_after,cols_before,cols_after,canonical_sha256_before,canonical_sha256_after,identical,ball_sha256_before,ball_sha256_after,ball_identical,first_diff
Cm4PtLhM1pQ_s1149,2801,2453,70,73,34f7624ec4e76ae569214fbe820bfbded147203ce6015a46bd83b8c0b0386e3a,3c70175adc450e19a10925deb8817bf7ad733eb697765f23e6cd44d68d0070fd,False,ae596653d41452e590196ce3db23707a89396b62188a6e7461a46bd2f13e40db,5e964c4b1b07b6c774e8a054e8778a7f62b3632f07911204b0822ff7bf8f3a92,False,line 2
Cm4PtLhM1pQ_s2208,5649,4899,70,73,bff3d302c459195182e95fcba6973a4c36294f32a5c760c6d46a88fdb8d0b5f5,29d532039a9b32dfc6df0bddeb1cde5eff0a6a9df51c412ea9be0ef7df63eedd,False,de318d2dbb0a53e8e300eeb06971a34628f8d216fc69954efcb7ff117902efe2,6e4c853a40c544a26db1baf6030ae673ef7a7f2385fbfeb0dc505b5bf8bb8d35,False,line 27
Cm4PtLhM1pQ_s4326,4590,4867,70,73,5e652692f857d07a23e21760c484161e57e14809c4f1b639b11bb3736045e0eb,13d75183bbeeb1a43512a80cb6f5b83bbfe97fc6842e7f606784525692d815c7,False,2a2a9ef5f4b6cfdebb158297001994d0f02132637ef2ce68b8f5067226ff907d,9fd5e409b822b884f4761ea04349a7569a7feb00fe5c3c159c8fd0059a5b05d6,False,line 1
Cm4PtLhM1pQ_s5385,5277,4889,70,73,6bdcac78717cdc3f2e3a2e7d9ca44877d6c6df025886e16e503175f37395547e,635706025c234a2d37e7920d3cca1160de3aca6d93b5e2899e03bf3fe4b37578,False,ddfcb867d2202cfe9ac488793a15c619108749f17b916e5aee3b647bd2dc1317,a8f6aae2e2ae0b573cc9ce7c6a123ba46a38db3955e7c7ce403ed25c67e0d4cf,False,line 5
v85ekWdm6-E_s1767,2898,3512,70,73,83147d490ba16b31f5ff7518a92b2b2ab300f9a377eb83d17449dcc29dc7abf3,9daed684c44eb612827931f85d59a6c6b1eea2ca57058c075533d330cd57a8f2,False,c241c4a8bb012a0a85016156cbb3b41fc2e6f04c91e2087d7d0991342b325fae,cfee50682d5613517f6226e47b216fd5c510e2d0c7b9b42f143cc9ef12560ab8,False,line 5
v85ekWdm6-E_s3444,1388,1717,70,73,1e84335ce3cd6fae6347b1d779452e1b358b49fadfa9628240f2594871915881,dd4e31744aae6f4e27b81bb2af504eff09cf488f700a3077b0470a8e17944bc3,False,e74bd882eabde2157c7353aaefaf78f48af868cc56d6db08a5180c7677db4aa6,186983a106263db2acffbb7aa2a88ffce238a677d810721493223749086f3777,False,line 4
-Oa_BpdVT64_s1372,,,,,,,False,ABSENT,ABSENT,True,MISSING_CSV
-Oa_BpdVT64_s2654,,,,,,,False,ABSENT,ABSENT,True,MISSING_CSV
ryHe2XPFHqs_s1305,1261,1224,70,73,f4542adad4085abdc0c703fa71e4cfc53f361daaa3d046c48b8271ed36046f4e,1912ad6758aa8e2e16b8ed1beb87c4c2955e28d318be23f866acf38c24bcec56,False,36be1e61ec749fadc4638b5178b27a24a4bae8e1afc0973ebac14a58bab98615,3e79599f6d209c4e2522e35dc4c96c9e15c1d3d9cc46329e7e6c51387d66b4f2,False,line 1
ryHe2XPFHqs_s4950,1770,1690,70,73,e94bcf2d0ef5e7c358bf7f6dccb60bbaf33393c14e00aea020e4c40b3f5e1c0f,c427d49f3fb089c267124a4dbf1ca2c7e8ec2c5eea854c54104b95412e95f783,False,f3bfbbc596c6868eff00b5adae1b3e4866e95f5cc8e3a85891f0d4c4b598aa90,1bfa800062c1acd97a556cb0bf3633cf8f1102f3ef0423386c06ce6e8c14bf16,False,line 31
