idx,source_name,game_id,video,source_bytes
1,nba__Cm4PtLhM1pQ_s1149.mp4,Cm4PtLhM1pQ_s1149,Cm4PtLhM1pQ,70070543
2,nba__Cm4PtLhM1pQ_s2208.mp4,Cm4PtLhM1pQ_s2208,Cm4PtLhM1pQ,68568471
3,nba__Cm4PtLhM1pQ_s4326.mp4,Cm4PtLhM1pQ_s4326,Cm4PtLhM1pQ,69641283
4,nba__Cm4PtLhM1pQ_s5385.mp4,Cm4PtLhM1pQ_s5385,Cm4PtLhM1pQ,64258283
5,nba__v85ekWdm6-E_s1767.mp4,v85ekWdm6-E_s1767,v85ekWdm6-E,69774462
6,nba__v85ekWdm6-E_s3444.mp4,v85ekWdm6-E_s3444,v85ekWdm6-E,71604290
7,ncaa_basketball__-Oa_BpdVT64_s1372.mp4,-Oa_BpdVT64_s1372,-Oa_BpdVT64,57922976
8,ncaa_basketball__-Oa_BpdVT64_s2654.mp4,-Oa_BpdVT64_s2654,-Oa_BpdVT64,65998745
9,ncaa_basketball__-Oa_BpdVT64_s5218.mp4,-Oa_BpdVT64_s5218,-Oa_BpdVT64,61146518
10,ncaa_basketball__-Oa_BpdVT64_s90.mp4,-Oa_BpdVT64_s90,-Oa_BpdVT64,68992780
11,ncaa_basketball__DF774VFj7xs_s2698.mp4,DF774VFj7xs_s2698,DF774VFj7xs,94637246
12,ncaa_basketball__DF774VFj7xs_s4002.mp4,DF774VFj7xs_s4002,DF774VFj7xs,96465795
13,wnba__09B3g4Z5yFc_s1254.mp4,09B3g4Z5yFc_s1254,09B3g4Z5yFc,44238772
14,wnba__09B3g4Z5yFc_s2418.mp4,09B3g4Z5yFc_s2418,09B3g4Z5yFc,44062806
15,wnba__09B3g4Z5yFc_s4746.mp4,09B3g4Z5yFc_s4746,09B3g4Z5yFc,43191732
16,wnba__09B3g4Z5yFc_s90.mp4,09B3g4Z5yFc_s90,09B3g4Z5yFc,43388820
17,wnba__2bOgqv235pg_s2314.mp4,2bOgqv235pg_s2314,2bOgqv235pg,94040973
18,wnba__2bOgqv235pg_s3426.mp4,2bOgqv235pg_s3426,2bOgqv235pg,89554151
19,wnba__2bOgqv235pg_s90.mp4,2bOgqv235pg_s90,2bOgqv235pg,93326913
20,wnba__H7AMXVGkPhE_s1346.mp4,H7AMXVGkPhE_s1346,H7AMXVGkPhE,43088063
21,wnba__H7AMXVGkPhE_s3858.mp4,H7AMXVGkPhE_s3858,H7AMXVGkPhE,46145777
22,wnba__H7AMXVGkPhE_s90.mp4,H7AMXVGkPhE_s90,H7AMXVGkPhE,47199686
23,wnba__IwF-L57_Mes_s2822.mp4,IwF-L57_Mes_s2822,IwF-L57_Mes,54924376
24,wnba__IwF-L57_Mes_s4188.mp4,IwF-L57_Mes_s4188,IwF-L57_Mes,55620015
25,wnba__QCoM_-z6OT4_s1498.mp4,QCoM_-z6OT4_s1498,QCoM_-z6OT4,69974294
26,wnba__QCoM_-z6OT4_s2906.mp4,QCoM_-z6OT4_s2906,QCoM_-z6OT4,70522263
27,wnba__QCoM_-z6OT4_s90.mp4,QCoM_-z6OT4_s90,QCoM_-z6OT4,69480036
28,wnba__ouRk-j987wk_s1275.mp4,ouRk-j987wk_s1275,ouRk-j987wk,81597119
29,wnba__ouRk-j987wk_s3645.mp4,ouRk-j987wk_s3645,ouRk-j987wk,98934427
30,wnba__ouRk-j987wk_s4830.mp4,ouRk-j987wk_s4830,ouRk-j987wk,89006268
