frame,order,trace_branch_label,trace_final_label,trace_event,stamped_label,stamped_branch,stamped_event,agree
0,0,DETECTION,DETECTION,0_83_641_705_897,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,0_83_641_705_897,True
0,1,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
3,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:kalman_homography,,True
3,1,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
6,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
6,1,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
6,2,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
9,0,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
9,1,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
9,2,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
12,0,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
12,1,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
12,2,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
15,0,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
15,1,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
15,2,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
18,0,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
18,1,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
18,2,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
21,0,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
21,1,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
21,2,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
24,0,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
24,1,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:flow_gapfill_batched,,True
24,2,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
24,3,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:flow_gapfill_batched,,True
27,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
30,0,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
33,0,DETECTION,SUBPIXEL,33_17_-15_225_160,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
36,0,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
39,0,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
42,0,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
45,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
45,1,PREDICTION,SUBPIXEL,,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
48,0,PREDICTION,PREDICTION,,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,True
48,1,DETECTION,DETECTION,48_99_568_882_874,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,48_99_568_882_874,True
48,2,DETECTION,SUBPIXEL,48_-11_-15_174_87,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,True
