game_id,source_name,source_bytes,video,seconds,rc,status,receipt_present,receipt_ticks,trace_attempt_ticks,trace_emitted_frames,receipt_equals_trace,trace_subset_of_receipt,receipt_only_ticks,trace_only_ticks,attempted_frames_capped,trace_bytes,trace_sha256
IeaneIKx1Ig_s6651,nba__IeaneIKx1Ig_s6651.mp4,87853287,IeaneIKx1Ig,173.29,0,OK,True,500,500,494,True,True,0,0,500,600991,f995eda82529d7b092c0b8ab67390d0949f1d1276fcd02039b99f62f9d40fbeb
IeaneIKx1Ig_s90,nba__IeaneIKx1Ig_s90.mp4,81165805,IeaneIKx1Ig,170.38,0,OK,True,500,500,500,True,True,0,0,500,601633,ffc9547c0bbde53a75b8c5d283bf212e98639f3672ec95596c264f36b8f7bf3a
-n4iviRLtsU_s2704,ncaa_basketball__-n4iviRLtsU_s2704.mp4,94112289,-n4iviRLtsU,178.66,0,OK,True,500,500,433,True,True,0,0,560,542581,b0d17e3cbb139e0f784ed45edfe8d8e4b91c148f91dc280ce99189a2c40a5f5c
-n4iviRLtsU_s4011,ncaa_basketball__-n4iviRLtsU_s4011.mp4,97966113,-n4iviRLtsU,178.86,0,OK,True,500,500,407,True,True,0,0,545,322022,aabddee46c87608a89fdd69b8465e959349986e60a4332634d7798710cad31bf
-n4iviRLtsU_s90,ncaa_basketball__-n4iviRLtsU_s90.mp4,95236044,-n4iviRLtsU,176.37,0,OK,True,500,500,500,True,True,0,0,515,515852,4c30f0fdc4d51fb93126245a2a127432109673d137f089242ab5629e32bc33b8
RtiZgPwcwNA_s2720,ncaa_basketball__RtiZgPwcwNA_s2720.mp4,62835904,RtiZgPwcwNA,373.47,0,OK,True,1000,1000,972,True,True,0,0,1150,1372635,f191f7c8a9dc1e6f2c07cd2623cf27aacc7e4c3090ddcff200eb01e4914967d7
iDogCL8td5Q_s2282,ncaa_basketball__iDogCL8td5Q_s2282.mp4,85233486,iDogCL8td5Q,195.74,0,OK,True,500,500,500,True,True,0,0,515,759472,3f342a057ac78ab2d7b29d6bc9284aa34caab5793e9b35345229416b23837949
qrWmO434a0k_s1447,qrWmO434a0k_s1447.mp4,72031233,qrWmO434a0k,362.21,0,OK,True,1000,1000,991,True,True,0,0,1120,963113,32ddd2fac2f3c4515502c65e75632afb709f18f951911124b9700e5ab852053a
tFnl0NVn6FA_s90,tFnl0NVn6FA_s90.mp4,65212592,tFnl0NVn6FA,413.7,0,OK,True,1000,1000,999,True,True,0,0,1030,1060962,a6299a098b4e47345f5a28a993802a4328f1baa7829ef622c1eaf7e749e13942
tZeqmc_-_sA_s1332,tZeqmc_-_sA_s1332.mp4,72183029,tZeqmc_-,356.85,0,OK,True,1000,1000,996,True,True,0,0,1030,1246387,5a9ee5215e929820cb29c81315d17eb201df786d94d54a1fca3f8f32724b4bed
tZeqmc_-_sA_s2574,tZeqmc_-_sA_s2574.mp4,75846958,tZeqmc_-,374.13,0,OK,True,1000,1000,1000,True,True,0,0,1030,1313836,1ec85d2d6f555d8c9f01086e30cd64aab206bf92ab402c2204c7256623725471
wHs1OssEcAw_s2276,wHs1OssEcAw_s2276.mp4,100578787,wHs1OssEcAw,178.03,0,OK,True,500,500,500,True,True,0,0,530,660182,a4f589ac31ae9eaa70a077dc4cdf7169f321869ab625ce44a74ddf9e4359801b
A0aHQ2A38IY_s2860,wnba__A0aHQ2A38IY_s2860.mp4,68429941,A0aHQ2A38IY,388.87,0,OK,True,674,674,674,True,True,0,0,1299,886039,eac2ee82c15c65ae81f80df24fadb78fc035fca4c8d9d5f23553d1f972ac723d
A0aHQ2A38IY_s90,wnba__A0aHQ2A38IY_s90.mp4,68061448,A0aHQ2A38IY,317.3,0,OK,True,209,209,209,True,True,0,0,1299,270662,cd7ddb27fac0f25cc73befb6256047cb59c1f16ab774b7666f2cfbd03d985ee1
