idx,source_name,game_id,video,source_bytes
1,nba__ryHe2XPFHqs_s1305.mp4,ryHe2XPFHqs_s1305,ryHe2XPFHqs,87701446
2,nba__ryHe2XPFHqs_s4950.mp4,ryHe2XPFHqs_s4950,ryHe2XPFHqs,84403777
3,ncaa_basketball__Fu__lY_KbYU_s1352.mp4,Fu__lY_KbYU_s1352,Fu__lY_KbYU,67051769
4,ncaa_basketball__Fu__lY_KbYU_s90.mp4,Fu__lY_KbYU_s90,Fu__lY_KbYU,71252028
5,ncaa_basketball__GtwFiAa1gXI_s3762.mp4,GtwFiAa1gXI_s3762,GtwFiAa1gXI,68630780
6,ncaa_basketball__o-0zMlCbY3o_s1481.mp4,o-0zMlCbY3o_s1481,o-0zMlCbY3o,70127304
7,nba__J8WABIinM64_s1385.mp4,J8WABIinM64_s1385,J8WABIinM64,56431203
8,nba__FZAUuuuREg0_s1835.mp4,FZAUuuuREg0_s1835,FZAUuuuREg0,59050855
9,nba__J8WABIinM64_s2680.mp4,J8WABIinM64_s2680,J8WABIinM64,57429347
10,nba__J8WABIinM64_s90.mp4,J8WABIinM64_s90,J8WABIinM64,58125618
11,ncaa_basketball__dPgMkcHsSBE_s2668.mp4,dPgMkcHsSBE_s2668,dPgMkcHsSBE,64938579
12,ncaa_basketball__dPgMkcHsSBE_s90.mp4,dPgMkcHsSBE_s90,dPgMkcHsSBE,63023837
13,ncaa_basketball__fW6Q1NSXAzY_s2734.mp4,fW6Q1NSXAzY_s2734,fW6Q1NSXAzY,69740439
14,nba__RD68Xth--34_s1287.mp4,RD68Xth--34_s1287,RD68Xth--34,67066361
15,nba__RD68Xth--34_s4878.mp4,RD68Xth--34_s4878,RD68Xth--34,61144127
16,nba__c-AQzcZ1Jxs_s3537.mp4,c-AQzcZ1Jxs_s3537,c-AQzcZ1Jxs,71034814
17,ncaa_basketball__RtiZgPwcwNA_s2720.mp4,RtiZgPwcwNA_s2720,RtiZgPwcwNA,62835904
18,ncaa_basketball__eXwgsSpz-GY_s2458.mp4,eXwgsSpz-GY_s2458,eXwgsSpz-GY,69602360
19,ncaa_basketball__iDogCL8td5Q_s2282.mp4,iDogCL8td5Q_s2282,iDogCL8td5Q,85233486
20,basketball__euroleague-6sJXOThOUEY_s10205.mp4,euroleague-6sJXOThOUEY_s10205,euroleague-6sJXOThOUEY,21627598
21,basketball__euroleague-mXTDT3_sQbk_s7542.mp4,euroleague-mXTDT3_sQbk_s7542,euroleague-mXTDT3,66714177
22,nba__4Pc01w1n9Mg_s1296.mp4,4Pc01w1n9Mg_s1296,4Pc01w1n9Mg,67603884
23,nba__IeaneIKx1Ig_s6651.mp4,IeaneIKx1Ig_s6651,IeaneIKx1Ig,87853287
24,basketball__euroleague-31BodlgQOvg_s10474.mp4,euroleague-31BodlgQOvg_s10474,euroleague-31BodlgQOvg,35903230
25,basketball__euroleague-CKh4oSjKnbQ_s1703.mp4,euroleague-CKh4oSjKnbQ_s1703,euroleague-CKh4oSjKnbQ,51476313
26,basketball__euroleague-lTRxUTuX-Tk_s1900.mp4,euroleague-lTRxUTuX-Tk_s1900,euroleague-lTRxUTuX-Tk,58463942
27,basketball__euroleague-ldo5c1SYPPY_s90.mp4,euroleague-ldo5c1SYPPY_s90,euroleague-ldo5c1SYPPY,45326506
28,basketball__euroleague-s7FYmMgF7j0_s2006.mp4,euroleague-s7FYmMgF7j0_s2006,euroleague-s7FYmMgF7j0,71457687
29,basketball__euroleague-tCpBCdX4AJ0_s90.mp4,euroleague-tCpBCdX4AJ0_s90,euroleague-tCpBCdX4AJ0,34548972
