idx,game_id,source_name,source_bytes,arm_order,before_s,before_rc,after_s,after_rc,ratio,status
1,Cm4PtLhM1pQ_s1149,nba__Cm4PtLhM1pQ_s1149.mp4,70070543,BEFORE_AFTER,422.82,0,428.95,0,1.014498,OK
2,Cm4PtLhM1pQ_s2208,nba__Cm4PtLhM1pQ_s2208.mp4,68568471,BEFORE_AFTER,431.87,0,359.44,0,0.832287,OK
3,Cm4PtLhM1pQ_s4326,nba__Cm4PtLhM1pQ_s4326.mp4,69641283,BEFORE_AFTER,359.27,0,367.58,0,1.02313,OK
4,Cm4PtLhM1pQ_s5385,nba__Cm4PtLhM1pQ_s5385.mp4,64258283,BEFORE_AFTER,392.67,0,405.17,0,1.031833,OK
5,v85ekWdm6-E_s1767,nba__v85ekWdm6-E_s1767.mp4,69774462,BEFORE_AFTER,342.01,0,368.09,0,1.076255,OK
6,v85ekWdm6-E_s3444,nba__v85ekWdm6-E_s3444.mp4,71604290,BEFORE_AFTER,321.29,0,349.74,0,1.088549,OK
1,ryHe2XPFHqs_s1305,nba__ryHe2XPFHqs_s1305.mp4,87701446,BEFORE_AFTER,195.63,0,185.36,0,0.947503,OK
2,ryHe2XPFHqs_s4950,nba__ryHe2XPFHqs_s4950.mp4,84403777,BEFORE_AFTER,178.19,0,183.93,0,1.032213,OK
3,Fu__lY_KbYU_s1352,ncaa_basketball__Fu__lY_KbYU_s1352.mp4,67051769,BEFORE_AFTER,358.28,0,367.29,0,1.025148,OK
4,Fu__lY_KbYU_s90,ncaa_basketball__Fu__lY_KbYU_s90.mp4,71252028,BEFORE_AFTER,347.66,0,341.73,0,0.982943,OK
5,GtwFiAa1gXI_s3762,ncaa_basketball__GtwFiAa1gXI_s3762.mp4,68630780,BEFORE_AFTER,326.19,0,325.01,0,0.996382,OK
6,o-0zMlCbY3o_s1481,ncaa_basketball__o-0zMlCbY3o_s1481.mp4,70127304,BEFORE_AFTER,331.08,0,339.57,0,1.025643,OK
7,J8WABIinM64_s1385,nba__J8WABIinM64_s1385.mp4,56431203,BEFORE_AFTER,375.55,0,349.82,0,0.931487,OK
8,FZAUuuuREg0_s1835,nba__FZAUuuuREg0_s1835.mp4,59050855,BEFORE_AFTER,10.83,4,10.66,4,0.984303,ARM_FAILED
9,J8WABIinM64_s2680,nba__J8WABIinM64_s2680.mp4,57429347,BEFORE_AFTER,405.45,0,377.98,0,0.932248,OK
10,J8WABIinM64_s90,nba__J8WABIinM64_s90.mp4,58125618,BEFORE_AFTER,304.96,0,314.26,0,1.030496,OK
11,dPgMkcHsSBE_s2668,ncaa_basketball__dPgMkcHsSBE_s2668.mp4,64938579,BEFORE_AFTER,330.43,0,343.31,0,1.03898,OK
12,dPgMkcHsSBE_s90,ncaa_basketball__dPgMkcHsSBE_s90.mp4,63023837,BEFORE_AFTER,365.85,0,351.53,0,0.960858,OK
13,fW6Q1NSXAzY_s2734,ncaa_basketball__fW6Q1NSXAzY_s2734.mp4,69740439,BEFORE_AFTER,316.4,0,328.28,0,1.037547,OK
14,RD68Xth--34_s1287,nba__RD68Xth--34_s1287.mp4,67066361,BEFORE_AFTER,356.45,0,363.44,0,1.01961,OK
15,RD68Xth--34_s4878,nba__RD68Xth--34_s4878.mp4,61144127,BEFORE_AFTER,356.42,0,364.27,0,1.022025,OK
16,c-AQzcZ1Jxs_s3537,nba__c-AQzcZ1Jxs_s3537.mp4,71034814,BEFORE_AFTER,381.85,0,369.63,0,0.967998,OK
17,RtiZgPwcwNA_s2720,ncaa_basketball__RtiZgPwcwNA_s2720.mp4,62835904,BEFORE_AFTER,384.27,0,379.76,0,0.988263,OK
18,eXwgsSpz-GY_s2458,ncaa_basketball__eXwgsSpz-GY_s2458.mp4,69602360,BEFORE_AFTER,375.89,0,381.0,0,1.013594,OK
19,iDogCL8td5Q_s2282,ncaa_basketball__iDogCL8td5Q_s2282.mp4,85233486,BEFORE_AFTER,213.39,0,206.94,0,0.969774,OK
20,euroleague-6sJXOThOUEY_s10205,basketball__euroleague-6sJXOThOUEY_s10205.mp4,21627598,BEFORE_AFTER,9.65,4,10.6,4,1.098446,ARM_FAILED
21,euroleague-mXTDT3_sQbk_s7542,basketball__euroleague-mXTDT3_sQbk_s7542.mp4,66714177,BEFORE_AFTER,333.04,0,354.39,0,1.064106,OK
22,4Pc01w1n9Mg_s1296,nba__4Pc01w1n9Mg_s1296.mp4,67603884,BEFORE_AFTER,371.28,0,357.21,0,0.962104,OK
23,IeaneIKx1Ig_s6651,nba__IeaneIKx1Ig_s6651.mp4,87853287,BEFORE_AFTER,179.57,0,197.23,0,1.098346,OK
24,euroleague-31BodlgQOvg_s10474,basketball__euroleague-31BodlgQOvg_s10474.mp4,35903230,BEFORE_AFTER,9.97,4,9.91,4,0.993982,ARM_FAILED
25,euroleague-CKh4oSjKnbQ_s1703,basketball__euroleague-CKh4oSjKnbQ_s1703.mp4,51476313,BEFORE_AFTER,348.71,0,380.19,0,1.090276,OK
26,euroleague-lTRxUTuX-Tk_s1900,basketball__euroleague-lTRxUTuX-Tk_s1900.mp4,58463942,BEFORE_AFTER,363.74,0,323.56,0,0.889536,OK
27,euroleague-ldo5c1SYPPY_s90,basketball__euroleague-ldo5c1SYPPY_s90.mp4,45326506,BEFORE_AFTER,10.64,4,10.06,4,0.945489,ARM_FAILED
28,euroleague-s7FYmMgF7j0_s2006,basketball__euroleague-s7FYmMgF7j0_s2006.mp4,71457687,BEFORE_AFTER,375.81,0,370.35,0,0.985471,OK
29,euroleague-tCpBCdX4AJ0_s90,basketball__euroleague-tCpBCdX4AJ0_s90.mp4,34548972,BEFORE_AFTER,9.86,4,9.54,4,0.967546,ARM_FAILED
