copied_utc,corpus_listing_sha256,corpus_n,source_name,game_id,source_bytes
2026-09-11T01:24:58Z,192f89a5a47591b4799862de0cb562b44998688098541897c16a2ef1d4a1b5ad,20,nba__ryHe2XPFHqs_s1305.mp4,ryHe2XPFHqs_s1305,87701446
2026-09-11T01:25:25Z,192f89a5a47591b4799862de0cb562b44998688098541897c16a2ef1d4a1b5ad,20,nba__ryHe2XPFHqs_s4950.mp4,ryHe2XPFHqs_s4950,84403777
2026-09-11T01:25:54Z,192f89a5a47591b4799862de0cb562b44998688098541897c16a2ef1d4a1b5ad,20,ncaa_basketball__Fu__lY_KbYU_s1352.mp4,Fu__lY_KbYU_s1352,67051769
2026-09-11T01:26:22Z,192f89a5a47591b4799862de0cb562b44998688098541897c16a2ef1d4a1b5ad,20,ncaa_basketball__Fu__lY_KbYU_s90.mp4,Fu__lY_KbYU_s90,71252028
2026-09-11T01:26:50Z,192f89a5a47591b4799862de0cb562b44998688098541897c16a2ef1d4a1b5ad,20,ncaa_basketball__GtwFiAa1gXI_s3762.mp4,GtwFiAa1gXI_s3762,68630780
2026-09-11T01:27:15Z,192f89a5a47591b4799862de0cb562b44998688098541897c16a2ef1d4a1b5ad,20,ncaa_basketball__o-0zMlCbY3o_s1481.mp4,o-0zMlCbY3o_s1481,70127304
2026-09-11T02:30:44Z,93ae70382952c52b6c4c7cce91ef87c8be2d675deec121fb282f54f5e2bc384b,1,nba__J8WABIinM64_s1385.mp4,J8WABIinM64_s1385,56431203
2026-09-11T02:44:23Z,a06618ae09fca37030dee7124d79582be83c41e01f55bbe4e1c4447143664589,16,nba__FZAUuuuREg0_s1835.mp4,FZAUuuuREg0_s1835,59050855
2026-09-11T02:44:53Z,a06618ae09fca37030dee7124d79582be83c41e01f55bbe4e1c4447143664589,16,nba__J8WABIinM64_s2680.mp4,J8WABIinM64_s2680,57429347
2026-09-11T02:45:26Z,a06618ae09fca37030dee7124d79582be83c41e01f55bbe4e1c4447143664589,16,nba__J8WABIinM64_s90.mp4,J8WABIinM64_s90,58125618
2026-09-11T02:45:56Z,a06618ae09fca37030dee7124d79582be83c41e01f55bbe4e1c4447143664589,16,ncaa_basketball__dPgMkcHsSBE_s2668.mp4,dPgMkcHsSBE_s2668,64938579
2026-09-11T02:46:27Z,a06618ae09fca37030dee7124d79582be83c41e01f55bbe4e1c4447143664589,16,ncaa_basketball__dPgMkcHsSBE_s90.mp4,dPgMkcHsSBE_s90,63023837
2026-09-11T02:46:58Z,a06618ae09fca37030dee7124d79582be83c41e01f55bbe4e1c4447143664589,16,ncaa_basketball__fW6Q1NSXAzY_s2734.mp4,fW6Q1NSXAzY_s2734,69740439
2026-09-11T03:48:51Z,3a83a6646640577a9af0008b35f46a595c7a83e09892efb6b794988cb890a0c2,23,nba__RD68Xth--34_s1287.mp4,RD68Xth--34_s1287,67066361
2026-09-11T03:49:23Z,3a83a6646640577a9af0008b35f46a595c7a83e09892efb6b794988cb890a0c2,23,nba__RD68Xth--34_s4878.mp4,RD68Xth--34_s4878,61144127
2026-09-11T03:49:53Z,3a83a6646640577a9af0008b35f46a595c7a83e09892efb6b794988cb890a0c2,23,nba__c-AQzcZ1Jxs_s3537.mp4,c-AQzcZ1Jxs_s3537,71034814
2026-09-11T03:50:25Z,3a83a6646640577a9af0008b35f46a595c7a83e09892efb6b794988cb890a0c2,23,ncaa_basketball__RtiZgPwcwNA_s2720.mp4,RtiZgPwcwNA_s2720,62835904
2026-09-11T03:50:55Z,3a83a6646640577a9af0008b35f46a595c7a83e09892efb6b794988cb890a0c2,23,ncaa_basketball__eXwgsSpz-GY_s2458.mp4,eXwgsSpz-GY_s2458,69602360
2026-09-11T03:51:28Z,3a83a6646640577a9af0008b35f46a595c7a83e09892efb6b794988cb890a0c2,23,ncaa_basketball__iDogCL8td5Q_s2282.mp4,iDogCL8td5Q_s2282,85233486
2026-09-11T05:04:36Z,051f114ad74a577cbb0c9a661c59e14f025d474a46dd5d0a78ec393d33349e38,51,basketball__euroleague-6sJXOThOUEY_s10205.mp4,euroleague-6sJXOThOUEY_s10205,21627598
2026-09-11T05:05:09Z,051f114ad74a577cbb0c9a661c59e14f025d474a46dd5d0a78ec393d33349e38,51,basketball__euroleague-mXTDT3_sQbk_s7542.mp4,euroleague-mXTDT3_sQbk_s7542,66714177
