section,arm,n_frames,n_boxes,players_median,players_p10,players_p90,band_share,height_n,height_share,wholly_in_frame_share,court_n,court_share,persistence_n,persistence_share,ball_per_frame,ms_per_frame,gpu_mib
000001,000640,000059,000635,000012,000002,000017,0.3389830508474576,000635,0.05196850393700787,1.0,000635,0.006299212598425197,000635,0.03622047244094488,0.11864406779661017,153.58562633898305,000068
000001,000960,000059,001391,000028,000002,000040,0.05084745762711865,001391,0.06901509705248023,1.0,001391,0.0035945363048166786,001391,0.0503235082674335,0.3050847457627119,78.07996613559321,000097
000001,001280,000059,001930,000044,000002,000057,0.05084745762711865,001930,0.0689119170984456,1.0,001930,0.004145077720207254,001930,0.07512953367875648,0.6440677966101694,89.90177825423729,000187
000001,001920,000059,002536,000052,000003,000077,0.06779661016949153,002536,0.062302839116719244,1.0,002536,0.004337539432176656,002536,0.07018927444794952,0.15254237288135594,143.54801383050847,000358
000002,000640,000058,000000,000000,000000,000000,0.0,000000,,,000000,,000000,,0.0,38.19094234482758,000051
000002,000960,000058,000000,000000,000000,000000,0.0,000000,,,000000,,000000,,0.0,30.24023125862069,000058
000002,001280,000058,000000,000000,000000,000000,0.0,000000,,,000000,,000000,,0.0,28.398368586206896,000069
000002,001920,000058,000000,000000,000000,000000,0.0,000000,,,000000,,000000,,0.0,23.188486844827587,000096
000003,000640,000060,000490,000009,000000,000016,0.36666666666666664,000490,0.053061224489795916,1.0,000490,0.006122448979591836,000490,0.39591836734693875,0.0,37.55958558333334,000051
000003,000960,000060,000811,000013,000000,000028,0.2,000811,0.07274969173859433,1.0,000811,0.008631319358816275,000811,0.31812577065351416,0.0,31.139888366666664,000058
000003,001280,000060,001062,000015,000000,000041,0.1,001062,0.07344632768361582,1.0,001062,0.007532956685499058,001062,0.2806026365348399,0.0,44.30913918333333,000181
000003,001920,000060,001483,000017,000000,000069,0.1,001483,0.06271072151045179,1.0,001483,0.01078894133513149,001483,0.222521915037087,0.0,59.576655083333335,000346
000004,000640,000060,000771,000014,000004,000020,0.23333333333333334,000771,0.07133592736705577,1.0,000771,0.00648508430609598,000771,0.0311284046692607,0.05,37.983640066666666,000051
000004,000960,000060,001176,000023,000004,000031,0.08333333333333333,001176,0.08418367346938775,1.0,001176,0.00510204081632653,001176,0.02040816326530612,0.11666666666666667,31.0725532,000058
000004,001280,000060,001653,000032,000004,000045,0.08333333333333333,001653,0.07199032062915911,1.0,001653,0.004839685420447671,001653,0.029643073200241985,0.16666666666666666,40.189192983333335,000069
000004,001920,000060,002374,000049,000004,000066,0.05,002374,0.06992417860151642,1.0,002374,0.0029486099410278013,002374,0.03201347935973041,0.15,29.445659116666665,000096
000005,000640,000058,000000,000000,000000,000000,0.0,000000,,,000000,,000000,,0.0,27.341547189655174,000051
000005,000960,000058,000000,000000,000000,000000,0.0,000000,,,000000,,000000,,0.0,27.497362275862066,000058
000005,001280,000058,000000,000000,000000,000000,0.0,000000,,,000000,,000000,,0.0,36.863180517241375,000069
000005,001920,000058,000000,000000,000000,000000,0.0,000000,,,000000,,000000,,0.0,24.73516175862069,000096
000006,000640,000059,000647,000010,000003,000020,0.3389830508474576,000647,0.0061823802163833074,1.0,000647,0.00463678516228748,000647,0.23956723338485317,0.01694915254237288,46.688838694915255,000051
000006,000960,000059,000849,000012,000003,000028,0.3050847457627119,000849,0.005889281507656066,1.0,000849,0.002355712603062426,000849,0.18138987043580684,0.03389830508474576,44.47339825423729,000058
000006,001280,000059,001006,000013,000003,000038,0.22033898305084745,001006,0.006958250497017893,1.0,001006,0.0019880715705765406,001006,0.17594433399602386,0.06779661016949153,48.40492571186441,000069
000006,001920,000059,001288,000016,000004,000052,0.2033898305084746,001288,0.007763975155279503,1.0,001288,0.0015527950310559005,001288,0.18090062111801242,0.03389830508474576,31.862916932203387,000096
