section,arm,frame_index,person_boxes_in_frame,ball_count,ms,gpu_mib,homography
000001,000640,000112,000015,000000,2291.542,000068,1
000001,001920,000112,000035,000000,1902.736,000358,1
000001,000640,000243,000014,000000,100.637,000051,1
000001,001920,000243,000067,000000,106.281,000096,1
000001,000640,000374,000011,000000,289.584,000051,1
000001,001920,000374,000074,000000,16.274,000096,1
000001,000640,000505,000014,000000,98.672,000051,1
000001,001920,000505,000068,000000,96.68,000096,1
000001,000640,000636,000020,000001,102.94,000051,1
000001,001920,000636,000076,000000,106.156,000096,1
000001,000640,000767,000005,000000,12.161,000051,1
000001,001920,000767,000001,000000,93.431,000096,1
000001,000640,000898,000017,000000,96.571,000051,1
000001,001920,000898,000054,000001,14.076,000096,1
000001,000640,001029,000020,000001,194.723,000051,1
000001,001920,001029,000060,000001,202.46,000096,1
000001,000640,001160,000012,000000,96.507,000051,1
000001,001920,001160,000075,000000,12.785,000096,1
000001,000640,001291,000010,000000,200.897,000051,1
000001,001920,001291,000076,000000,101.573,000096,1
000001,000640,001422,000013,000001,98.641,000051,1
000001,001920,001422,000072,000001,102.949,000096,1
000001,000640,001553,000006,000000,104.184,000051,1
000001,001920,001553,000006,000000,187.792,000096,1
000001,000640,001684,000005,000000,97.018,000051,1
000001,001920,001684,000004,000000,107.157,000096,1
000001,000640,001815,000023,000000,95.283,000051,1
000001,001920,001815,000062,000000,13.325,000096,1
000001,000640,001946,000012,000000,197.222,000051,1
000001,001920,001946,000071,000000,99.837,000096,1
000001,000640,002077,000007,000000,193.715,000051,1
000001,001920,002077,000077,000000,105.972,000096,1
000001,000640,002208,000012,000000,100.91,000051,1
000001,001920,002208,000075,000001,100.66,000096,1
000001,000640,002339,000012,000000,11.778,000051,1
000001,001920,002339,000080,000000,94.26,000096,1
000001,000640,002470,000014,000000,92.683,000051,1
000001,001920,002470,000076,000000,11.182,000096,1
000001,000640,002601,000013,000000,189.148,000051,1
000001,001920,002601,000076,000000,203.816,000096,1
000001,000640,002732,000000,000000,102.379,000051,1
000001,001920,002732,000001,000000,194.598,000096,1
000001,000640,002863,000004,000001,196.19,000051,1
000001,001920,002863,000006,000001,103.41,000096,1
000001,000640,002994,000006,000001,100.315,000051,1
000001,001920,002994,000006,000000,205.074,000096,1
000001,000640,003125,000009,000000,98.332,000051,1
000001,001920,003125,000009,000000,102.459,000096,1
000001,000640,003256,000018,000000,190.128,000051,1
000001,001920,003256,000019,000000,103.375,000096,1
000001,000640,003387,000010,000000,107.691,000051,1
000001,001920,003387,000070,000000,103.51,000096,1
000001,000640,003518,000010,000000,104.744,000051,1
000001,001920,003518,000086,000000,196.967,000096,1
000001,000640,003649,000016,000000,100.795,000051,1
000001,001920,003649,000085,000000,205.555,000096,1
000001,000640,003780,000013,000000,109.511,000051,1
000001,001920,003780,000080,000000,98.464,000096,1
000001,000640,003911,000015,000000,11.895,000051,1
000001,001920,003911,000082,000001,93.545,000096,1
000001,000640,004042,000009,000000,105.097,000051,1
000001,001920,004042,000060,000000,102.332,000096,1
000001,000640,004173,000015,000001,202.499,000051,1
000001,001920,004173,000035,000000,192.036,000096,1
000001,000640,004304,000013,000000,191.492,000051,1
000001,001920,004304,000035,000000,105.226,000096,1
000001,000640,004435,000012,000000,105.985,000051,1
000001,001920,004435,000038,000001,103.9,000096,1
000001,000640,004566,000001,000000,98.529,000051,1
000001,001920,004566,000003,000000,99.976,000096,1
000001,000640,004697,000002,000000,98.876,000051,1
000001,001920,004697,000004,000000,102.166,000096,1
000001,000640,004828,000014,000000,93.706,000051,1
000001,001920,004828,000068,000001,12.554,000096,1
000001,000640,004959,000014,000000,106.475,000051,1
000001,001920,004959,000064,000000,201.287,000096,1
000001,000640,005090,000015,000000,108.075,000051,1
000001,001920,005090,000056,000000,103.612,000096,1
000001,000640,005221,000003,000000,101.138,000051,1
000001,001920,005221,000004,000000,93.497,000096,1
000001,000640,005352,000021,000000,99.716,000051,1
000001,001920,005352,000057,000000,94.499,000096,1
000001,000640,005483,000012,000000,198.06,000051,1
000001,001920,005483,000075,000000,198.844,000096,1
000001,000640,005614,000011,000000,98.211,000051,1
000001,001920,005614,000066,000000,99.563,000096,1
000001,000640,005745,000017,000000,202.263,000051,1
000001,001920,005745,000071,000000,192.876,000096,1
000001,000640,005876,000017,000000,104.599,000051,1
000001,001920,005876,000041,000000,99.846,000096,1
000001,000640,006007,000014,000000,11.318,000051,1
000001,001920,006007,000043,000000,192.748,000096,1
000001,000640,006138,000016,000000,95.539,000051,1
000001,001920,006138,000052,000001,194.229,000096,1
000001,000640,006269,000017,000000,102.156,000051,1
000001,001920,006269,000042,000000,192.645,000096,1
000001,000640,006400,000006,000000,203.264,000051,1
000001,001920,006400,000004,000000,99.421,000096,1
000001,000640,006531,000002,000000,11.946,000051,1
000001,001920,006531,000001,000000,93.126,000096,1
000001,000640,006662,000003,000000,196.409,000051,1
000001,001920,006662,000002,000000,103.488,000096,1
000001,000640,006793,000006,000000,98.606,000051,1
000001,001920,006793,000009,000000,100.015,000096,1
000001,000640,006924,000005,000000,204.483,000051,1
000001,001920,006924,000007,000000,102.461,000096,1
000001,000640,007055,000000,000001,104.537,000051,1
000001,001920,007055,000001,000000,91.278,000096,1
000001,000640,007186,000002,000000,12.801,000051,1
000001,001920,007186,000005,000000,12.608,000096,1
000001,000640,007317,000008,000000,107.729,000051,1
000001,001920,007317,000010,000000,188.854,000096,1
000001,000640,007448,000008,000000,99.61,000051,1
000001,001920,007448,000010,000000,12.4,000096,1
000001,000640,007579,000009,000000,100.171,000051,1
000001,001920,007579,000023,000000,105.649,000096,1
000001,000640,007710,000007,000000,11.466,000051,1
000001,001920,007710,000021,000000,91.838,000096,1
000001,000960,000112,000034,000000,1298.541,000097,1
000001,001280,000112,000038,000001,1602.889,000187,1
000001,000960,000243,000040,000000,98.41,000059,1
000001,001280,000243,000046,000001,190.593,000069,1
000001,000960,000374,000032,000001,12.675,000059,1
000001,001280,000374,000047,000001,187.002,000069,1
000001,000960,000505,000050,000000,98.696,000059,1
000001,001280,000505,000055,000001,104.355,000069,1
000001,000960,000636,000041,000000,197.491,000059,1
000001,001280,000636,000059,000001,105.379,000069,1
000001,000960,000767,000002,000000,189.745,000059,1
000001,001280,000767,000002,000000,96.864,000069,1
000001,000960,000898,000040,000000,98.2,000059,1
000001,001280,000898,000049,000000,107.752,000069,1
000001,000960,001029,000038,000001,101.445,000059,1
000001,001280,001029,000051,000001,103.804,000069,1
000001,000960,001160,000031,000000,103.784,000059,1
000001,001280,001160,000049,000000,101.458,000069,1
000001,000960,001291,000036,000001,99.605,000059,1
000001,001280,001291,000057,000000,91.524,000069,1
000001,000960,001422,000031,000000,53.119,000059,1
000001,001280,001422,000055,000000,22.077,000069,1
000001,000960,001553,000006,000000,77.962,000059,1
000001,001280,001553,000003,000000,21.233,000069,1
000001,000960,001684,000004,000000,11.07,000059,1
000001,001280,001684,000003,000000,12.098,000069,1
000001,000960,001815,000048,000000,20.479,000059,1
000001,001280,001815,000055,000002,81.396,000069,1
000001,000960,001946,000037,000000,15.983,000059,1
000001,001280,001946,000051,000000,34.785,000069,1
000001,000960,002077,000026,000000,20.899,000059,1
000001,001280,002077,000044,000001,73.87,000069,1
000001,000960,002208,000031,000000,18.981,000059,1
000001,001280,002208,000043,000003,90.849,000069,1
000001,000960,002339,000034,000000,93.401,000059,1
000001,001280,002339,000044,000002,17.249,000069,1
000001,000960,002470,000035,000001,11.125,000059,1
000001,001280,002470,000047,000002,12.286,000069,1
000001,000960,002601,000028,000000,102.189,000059,1
