gate,arm,n,reached_n,evaluated_n,rejected_n,not_applicable_n,measured_no_bar_n,unidentifiable_n,other_n,evaluated_share,evaluated_permille,rejected_share_of_evaluated,rejected_permille_of_evaluated,wilson_lo_permille,wilson_hi_permille,not_applicable_reason,not_applicable_reason_n
coordinate_contract,A0,000030,000030,000000,000000,000030,000000,000000,000000,0.000000,0000,0.000000,0000,0000,0000,court_space_required,000030
coordinate_contract,A1_FROZEN,000030,000030,000000,000000,000030,000000,000000,000000,0.000000,0000,0.000000,0000,0000,0000,court_space_required,000030
coordinate_contract,A2_ID_MERGE,000030,000030,000000,000000,000030,000000,000000,000000,0.000000,0000,0.000000,0000,0000,0000,court_space_required,000030
coordinate_contract,A5_BALL_SHIFT,000030,000030,000000,000000,000027,000000,000003,000000,0.000000,0000,0.000000,0000,0000,0000,court_space_required,000027
insufficient_data,A0,000030,000030,000030,000030,000000,000000,000000,000000,1.000000,1000,1.000000,1000,0886,1000,,000000
insufficient_data,A1_FROZEN,000030,000030,000030,000030,000000,000000,000000,000000,1.000000,1000,1.000000,1000,0886,1000,,000000
insufficient_data,A2_ID_MERGE,000030,000030,000030,000030,000000,000000,000000,000000,1.000000,1000,1.000000,1000,0886,1000,,000000
insufficient_data,A5_BALL_SHIFT,000030,000030,000027,000005,000000,000000,000003,000000,0.900000,0900,0.185185,0185,0082,0367,,000000
duplicate_frame_identity,A0,000030,000030,000030,000000,000000,000000,000000,000000,1.000000,1000,0.000000,0000,0000,0114,,000000
duplicate_frame_identity,A1_FROZEN,000030,000030,000030,000000,000000,000000,000000,000000,1.000000,1000,0.000000,0000,0000,0114,,000000
duplicate_frame_identity,A2_ID_MERGE,000030,000030,000030,000030,000000,000000,000000,000000,1.000000,1000,1.000000,1000,0886,1000,,000000
duplicate_frame_identity,A5_BALL_SHIFT,000030,000030,000027,000000,000000,000000,000003,000000,0.900000,0900,0.000000,0000,0000,0125,,000000
coverage_attempted_frames,A0,000030,000030,000000,000000,000000,000030,000000,000000,0.000000,0000,0.000000,0000,0000,0000,,000000
coverage_attempted_frames,A1_FROZEN,000030,000030,000000,000000,000000,000030,000000,000000,0.000000,0000,0.000000,0000,0000,0000,,000000
coverage_attempted_frames,A2_ID_MERGE,000030,000030,000000,000000,000000,000030,000000,000000,0.000000,0000,0.000000,0000,0000,0000,,000000
coverage_attempted_frames,A5_BALL_SHIFT,000030,000030,000000,000000,000000,000027,000003,000000,0.000000,0000,0.000000,0000,0000,0000,,000000
median_track_len,A0,000030,000030,000030,000000,000000,000000,000000,000000,1.000000,1000,0.000000,0000,0000,0114,,000000
median_track_len,A1_FROZEN,000030,000030,000030,000000,000000,000000,000000,000000,1.000000,1000,0.000000,0000,0000,0114,,000000
median_track_len,A2_ID_MERGE,000030,000030,000030,000000,000000,000000,000000,000000,1.000000,1000,0.000000,0000,0000,0114,,000000
median_track_len,A5_BALL_SHIFT,000030,000030,000027,000000,000000,000000,000003,000000,0.900000,0900,0.000000,0000,0000,0125,,000000
oob,A0,000030,000030,000000,000000,000030,000000,000000,000000,0.000000,0000,0.000000,0000,0000,0000,court_space_required,000030
oob,A1_FROZEN,000030,000030,000000,000000,000030,000000,000000,000000,0.000000,0000,0.000000,0000,0000,0000,court_space_required,000030
oob,A2_ID_MERGE,000030,000030,000000,000000,000030,000000,000000,000000,0.000000,0000,0.000000,0000,0000,0000,court_space_required,000030
oob,A5_BALL_SHIFT,000030,000030,000000,000000,000027,000000,000003,000000,0.000000,0000,0.000000,0000,0000,0000,court_space_required,000027
jump_max,A0,000030,000030,000000,000000,000000,000030,000000,000000,0.000000,0000,0.000000,0000,0000,0000,,000000
jump_max,A1_FROZEN,000030,000030,000000,000000,000000,000030,000000,000000,0.000000,0000,0.000000,0000,0000,0000,,000000
jump_max,A2_ID_MERGE,000030,000030,000000,000000,000000,000030,000000,000000,0.000000,0000,0.000000,0000,0000,0000,,000000
jump_max,A5_BALL_SHIFT,000030,000030,000000,000000,000000,000027,000003,000000,0.000000,0000,0.000000,0000,0000,0000,,000000
attempted_frames,A0,000030,000030,000000,000000,000000,000030,000000,000000,0.000000,0000,0.000000,0000,0000,0000,,000000
attempted_frames,A1_FROZEN,000030,000030,000000,000000,000000,000030,000000,000000,0.000000,0000,0.000000,0000,0000,0000,,000000
attempted_frames,A2_ID_MERGE,000030,000030,000000,000000,000000,000030,000000,000000,0.000000,0000,0.000000,0000,0000,0000,,000000
attempted_frames,A5_BALL_SHIFT,000030,000030,000000,000000,000000,000027,000003,000000,0.000000,0000,0.000000,0000,0000,0000,,000000
ball_valid_attempted_frames,A0,000030,000030,000030,000006,000000,000000,000000,000000,1.000000,1000,0.200000,0200,0095,0373,,000000
ball_valid_attempted_frames,A1_FROZEN,000030,000030,000030,000006,000000,000000,000000,000000,1.000000,1000,0.200000,0200,0095,0373,,000000
ball_valid_attempted_frames,A2_ID_MERGE,000030,000030,000030,000006,000000,000000,000000,000000,1.000000,1000,0.200000,0200,0095,0373,,000000
ball_valid_attempted_frames,A5_BALL_SHIFT,000030,000030,000027,000027,000000,000000,000003,000000,0.900000,0900,1.000000,1000,0875,1000,,000000
liveness_frozen,A0,000030,000030,000030,000007,000000,000000,000000,000000,1.000000,1000,0.233333,0233,0118,0409,,000000
liveness_frozen,A1_FROZEN,000030,000030,000030,000030,000000,000000,000000,000000,1.000000,1000,1.000000,1000,0886,1000,,000000
liveness_frozen,A2_ID_MERGE,000030,000030,000030,000000,000000,000000,000000,000000,1.000000,1000,0.000000,0000,0000,0114,,000000
liveness_frozen,A5_BALL_SHIFT,000030,000030,000027,000007,000000,000000,000003,000000,0.900000,0900,0.259259,0259,0132,0447,,000000
zero_step_share,A0,000030,000030,000030,000008,000000,000000,000000,000000,1.000000,1000,0.266667,0267,0142,0444,,000000
zero_step_share,A1_FROZEN,000030,000030,000030,000030,000000,000000,000000,000000,1.000000,1000,1.000000,1000,0886,1000,,000000
zero_step_share,A2_ID_MERGE,000030,000030,000030,000000,000000,000000,000000,000000,1.000000,1000,0.000000,0000,0000,0114,,000000
zero_step_share,A5_BALL_SHIFT,000030,000030,000027,000008,000000,000000,000003,000000,0.900000,0900,0.296296,0296,0159,0485,,000000
median_step_distance,A0,000030,000030,000030,000009,000000,000000,000000,000000,1.000000,1000,0.300000,0300,0167,0479,,000000
median_step_distance,A1_FROZEN,000030,000030,000030,000000,000000,000000,000000,000000,1.000000,1000,0.000000,0000,0000,0114,,000000
median_step_distance,A2_ID_MERGE,000030,000030,000030,000016,000000,000000,000000,000000,1.000000,1000,0.533333,0533,0361,0698,,000000
median_step_distance,A5_BALL_SHIFT,000030,000030,000027,000007,000000,000000,000003,000000,0.900000,0900,0.259259,0259,0132,0447,,000000
distinct_position_ratio,A0,000030,000030,000030,000005,000000,000000,000000,000000,1.000000,1000,0.166667,0167,0073,0336,,000000
distinct_position_ratio,A1_FROZEN,000030,000030,000030,000019,000000,000000,000000,000000,1.000000,1000,0.633333,0633,0455,0781,,000000
distinct_position_ratio,A2_ID_MERGE,000030,000030,000030,000005,000000,000000,000000,000000,1.000000,1000,0.166667,0167,0073,0336,,000000
distinct_position_ratio,A5_BALL_SHIFT,000030,000030,000027,000005,000000,000000,000003,000000,0.900000,0900,0.185185,0185,0082,0367,,000000
stationary_track_share,A0,000030,000030,000030,000019,000000,000000,000000,000000,1.000000,1000,0.633333,0633,0455,0781,,000000
stationary_track_share,A1_FROZEN,000030,000030,000030,000030,000000,000000,000000,000000,1.000000,1000,1.000000,1000,0886,1000,,000000
stationary_track_share,A2_ID_MERGE,000030,000030,000030,000021,000000,000000,000000,000000,1.000000,1000,0.700000,0700,0521,0833,,000000
stationary_track_share,A5_BALL_SHIFT,000030,000030,000027,000018,000000,000000,000003,000000,0.900000,0900,0.666667,0667,0478,0814,,000000
jump_p95,A0,000030,000030,000000,000000,000000,000030,000000,000000,0.000000,0000,0.000000,0000,0000,0000,,000000
jump_p95,A1_FROZEN,000030,000030,000000,000000,000000,000030,000000,000000,0.000000,0000,0.000000,0000,0000,0000,,000000
jump_p95,A2_ID_MERGE,000030,000030,000000,000000,000000,000030,000000,000000,0.000000,0000,0.000000,0000,0000,0000,,000000
jump_p95,A5_BALL_SHIFT,000030,000030,000000,000000,000000,000027,000003,000000,0.000000,0000,0.000000,0000,0000,0000,,000000
ball_detected_share,A0,000030,000030,000030,000006,000000,000000,000000,000000,1.000000,1000,0.200000,0200,0095,0373,,000000
ball_detected_share,A1_FROZEN,000030,000030,000030,000006,000000,000000,000000,000000,1.000000,1000,0.200000,0200,0095,0373,,000000
ball_detected_share,A2_ID_MERGE,000030,000030,000030,000006,000000,000000,000000,000000,1.000000,1000,0.200000,0200,0095,0373,,000000
ball_detected_share,A5_BALL_SHIFT,000030,000030,000027,000027,000000,000000,000003,000000,0.900000,0900,1.000000,1000,0875,1000,,000000
g325_wholly_off_frame,A0,000030,000030,000000,000000,000030,000000,000000,000000,0.000000,0000,0.000000,0000,0000,0000,frame_size_absent,000030
g325_wholly_off_frame,A1_FROZEN,000030,000030,000000,000000,000030,000000,000000,000000,0.000000,0000,0.000000,0000,0000,0000,frame_size_absent,000030
g325_wholly_off_frame,A2_ID_MERGE,000030,000030,000000,000000,000030,000000,000000,000000,0.000000,0000,0.000000,0000,0000,0000,frame_size_absent,000030
g325_wholly_off_frame,A5_BALL_SHIFT,000030,000030,000000,000000,000027,000000,000003,000000,0.000000,0000,0.000000,0000,0000,0000,frame_size_absent,000027
any_gate,A0,000030,000030,000030,000030,000000,000000,000000,000000,1.000000,1000,1.000000,1000,0886,1000,,000000
any_gate,A1_FROZEN,000030,000030,000030,000030,000000,000000,000000,000000,1.000000,1000,1.000000,1000,0886,1000,,000000
any_gate,A2_ID_MERGE,000030,000030,000030,000030,000000,000000,000000,000000,1.000000,1000,1.000000,1000,0886,1000,,000000
any_gate,A5_BALL_SHIFT,000030,000030,000027,000027,000000,000000,000003,000000,0.900000,0900,1.000000,1000,0875,1000,,000000
