control_id,tile_index,angle_degrees,terra_state,terra_pass,terra_max_perp_px,terra_span_px,sol_state,sol_pass,sol_max_perp_px,sol_span_px,pass
G388_C001,1,0.0,ANSWERED,YES,1.00,180.0,ANSWERED,NO,0.00,231.0,NO
G388_C002,2,30.0,FAULT_OR_UNKNOWN,NO,,,ANSWERED,YES,0.97,211.9,NO
G388_C003,3,60.0,ANSWERED,NO,13.57,175.8,ANSWERED,YES,0.20,198.5,NO
G388_C004,4,0.0,ANSWERED,YES,1.00,180.0,ANSWERED,YES,0.00,203.0,YES
G388_C005,5,30.0,ANSWERED,YES,1.57,185.1,ANSWERED,YES,0.43,194.9,YES
G388_C006,6,60.0,ANSWERED,NO,29.51,182.9,ANSWERED,YES,0.20,198.5,NO
G388_C007,1,0.0,FAULT_OR_UNKNOWN,NO,,,ANSWERED,YES,0.00,204.0,NO
G388_C008,2,30.0,ANSWERED,YES,0.37,207.9,ANSWERED,YES,0.97,207.4,YES
G388_C009,3,60.0,ANSWERED,NO,15.03,191.9,ANSWERED,YES,1.13,173.8,NO
G388_C010,4,0.0,ANSWERED,YES,0.00,180.0,ANSWERED,YES,0.00,200.0,YES
G388_C011,5,30.0,FAULT_OR_UNKNOWN,NO,,,ANSWERED,YES,0.38,212.3,NO
G388_C012,6,60.0,ANSWERED,YES,0.43,198.5,ANSWERED,YES,0.20,198.5,YES
G388_C013,1,0.0,FAULT_OR_UNKNOWN,NO,,,ANSWERED,YES,0.00,204.0,NO
G388_C014,2,30.0,FAULT_OR_UNKNOWN,NO,,,ANSWERED,NO,14.17,185.3,NO
G388_C015,3,60.0,ANSWERED,YES,0.43,198.5,ANSWERED,YES,0.20,198.5,YES
G388_C016,4,0.0,ANSWERED,NO,31.00,180.0,ANSWERED,YES,0.00,205.0,NO
G388_C017,5,30.0,FAULT_OR_UNKNOWN,NO,,,ANSWERED,YES,0.38,212.3,NO
G388_C018,6,60.0,ANSWERED,NO,15.03,189.2,ANSWERED,YES,1.13,173.8,NO
G388_C019,1,0.0,FAULT_OR_UNKNOWN,NO,,,ANSWERED,YES,0.00,204.0,NO
G388_C020,2,30.0,FAULT_OR_UNKNOWN,NO,,,ANSWERED,YES,0.38,212.3,NO
G388_C021,3,60.0,FAULT_OR_UNKNOWN,NO,,,ANSWERED,YES,0.56,201.6,NO
G388_C022,4,0.0,ANSWERED,NO,31.00,200.0,ANSWERED,YES,0.00,209.0,NO
G388_C023,5,30.0,ANSWERED,YES,0.70,185.1,ANSWERED,YES,0.43,194.9,YES
G388_C024,6,60.0,ANSWERED,NO,15.03,188.3,ANSWERED,YES,1.13,173.8,NO
G388_C025,1,0.0,ANSWERED,NO,30.00,180.0,ANSWERED,YES,0.00,203.0,NO
G388_C026,2,30.0,ANSWERED,YES,0.87,206.9,ANSWERED,YES,0.97,207.4,YES
G388_C027,3,60.0,FAULT_OR_UNKNOWN,NO,,,ANSWERED,YES,0.56,201.6,NO
G388_C028,4,0.0,ANSWERED,NO,30.00,211.0,ANSWERED,YES,0.00,209.0,NO
G388_C029,5,30.0,ANSWERED,YES,0.87,206.9,ANSWERED,YES,0.97,207.4,YES
G388_C030,6,60.0,ANSWERED,YES,1.20,201.1,ANSWERED,YES,0.20,198.5,YES
