control_id,angle_degrees,terra_source,terra_pass,terra_max_perp_px,terra_angle_err_deg,sol_pass,sol_max_perp_px,sol_angle_err_deg,pass
G388_C001,0.0,sealed,YES,1.00,0.00,NO,0.00,0.00,NO
G388_C002,30.0,limit_redispatch,NO,0.96,0.22,YES,0.97,0.29,NO
G388_C003,60.0,sealed,NO,13.57,3.87,YES,0.20,0.08,NO
G388_C004,0.0,sealed,YES,1.00,0.00,YES,0.00,0.00,YES
G388_C005,30.0,sealed,YES,1.57,0.17,YES,0.43,0.15,YES
G388_C006,60.0,sealed,NO,29.51,9.19,YES,0.20,0.08,NO
G388_C007,0.0,limit_redispatch,YES,1.00,0.00,YES,0.00,0.00,YES
G388_C008,30.0,sealed,YES,0.37,0.02,YES,0.97,0.22,YES
G388_C009,60.0,sealed,NO,15.03,3.70,YES,1.13,0.34,NO
G388_C010,0.0,sealed,YES,0.00,0.00,YES,0.00,0.00,YES
G388_C011,30.0,limit_redispatch,NO,0.50,0.10,YES,0.38,0.05,NO
G388_C012,60.0,sealed,YES,0.43,0.08,YES,0.20,0.08,YES
G388_C013,0.0,limit_redispatch,YES,1.00,0.00,YES,0.00,0.00,YES
G388_C014,30.0,limit_redispatch,NO,0.50,0.01,NO,14.17,3.78,NO
G388_C015,60.0,sealed,YES,0.43,0.08,YES,0.20,0.08,YES
G388_C016,0.0,sealed,NO,31.00,0.00,YES,0.00,0.00,NO
G388_C017,30.0,limit_redispatch,NO,1.00,0.11,YES,0.38,0.05,NO
G388_C018,60.0,sealed,NO,15.03,3.30,YES,1.13,0.34,NO
G388_C019,0.0,limit_redispatch,YES,1.00,0.00,YES,0.00,0.00,YES
G388_C020,30.0,limit_redispatch,NO,0.40,0.11,YES,0.38,0.05,NO
G388_C021,60.0,limit_redispatch,NO,28.17,6.11,YES,0.56,0.26,NO
G388_C022,0.0,sealed,NO,31.00,0.00,YES,0.00,0.00,NO
G388_C023,30.0,sealed,YES,0.70,0.17,YES,0.43,0.15,YES
G388_C024,60.0,sealed,NO,15.03,3.16,YES,1.13,0.34,NO
G388_C025,0.0,sealed,NO,30.00,0.00,YES,0.00,0.00,NO
G388_C026,30.0,sealed,YES,0.87,0.46,YES,0.97,0.22,YES
G388_C027,60.0,limit_redispatch,NO,28.17,6.11,YES,0.56,0.26,NO
G388_C028,0.0,sealed,NO,30.00,0.00,YES,0.00,0.00,NO
G388_C029,30.0,sealed,YES,0.87,0.46,YES,0.97,0.22,YES
G388_C030,60.0,sealed,YES,1.20,0.50,YES,0.20,0.08,YES
