render,frame_key,section_id,frame_index,source_sha256,validation_status,selection_status,raw_state,presence_prediction
render_01_NO_CANDIDATES.jpg,1004e488b869e87650d94f6d979c262e2d18105abdd367d71c6b3af7e7f59957:ncaa_basketball__g7dzEFLiemQ_s1258:1679,ncaa_basketball__g7dzEFLiemQ_s1258,1679,1004e488b869e87650d94f6d979c262e2d18105abdd367d71c6b3af7e7f59957,NO_CANDIDATES,NO_CANDIDATES,REFUSED,NON_COURT
render_02_REFUSED.jpg,5bc76ecbd99e6f48104661b9695c4683b133542ef51fb04201b34f1d329b0e11:nba__pPHOlLVyjQc_s1603:3468,nba__pPHOlLVyjQc_s1603,3468,5bc76ecbd99e6f48104661b9695c4683b133542ef51fb04201b34f1d329b0e11,REFUSED,NO_DISTINCT_RUNNER_UP,REFUSED,COURT
render_03_REFUSED.jpg,ef3549084989a0e8eda7876b4687f5ca5a0cf3bfb93e7c53687ea38178d9e16f:ncaa_basketball__QXFM3hlaDAk_s1440:1064,ncaa_basketball__QXFM3hlaDAk_s1440,1064,ef3549084989a0e8eda7876b4687f5ca5a0cf3bfb93e7c53687ea38178d9e16f,REFUSED,NO_DISTINCT_RUNNER_UP,REFUSED,COURT
render_04_REFUSED.jpg,82abeb0de4c8a10b5e6397e188b1626ab86bf988a281707d21dd1b78c35e4327:ncaa_basketball__UzaYBYy3GZg_s155:2783,ncaa_basketball__UzaYBYy3GZg_s155,2783,82abeb0de4c8a10b5e6397e188b1626ab86bf988a281707d21dd1b78c35e4327,REFUSED,NO_DISTINCT_RUNNER_UP,REFUSED,COURT
render_05_REFUSED.jpg,07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:1809,basketball__euroleague-a_GxgklBtEs_s2783,1809,07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95,REFUSED,REFUSED_MARGIN,REFUSED,COURT
render_06_REFUSED.jpg,07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:3489,basketball__euroleague-a_GxgklBtEs_s2783,3489,07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95,REFUSED,REFUSED_MARGIN,REFUSED,COURT
render_07_REFUSED.jpg,07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:5299,basketball__euroleague-a_GxgklBtEs_s2783,5299,07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95,REFUSED,REFUSED_MARGIN,REFUSED,NON_COURT
render_08_REFUSED.jpg,07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95:basketball__euroleague-a_GxgklBtEs_s2783:6979,basketball__euroleague-a_GxgklBtEs_s2783,6979,07815c5bfed011575e3fe4d88a2dc1888644e29c33fbc427a5a203c0e0693a95,REFUSED,REFUSED_MARGIN,REFUSED,COURT
render_09_REFUSED.jpg,5bc76ecbd99e6f48104661b9695c4683b133542ef51fb04201b34f1d329b0e11:nba__pPHOlLVyjQc_s1603:1200,nba__pPHOlLVyjQc_s1603,1200,5bc76ecbd99e6f48104661b9695c4683b133542ef51fb04201b34f1d329b0e11,REFUSED,REFUSED_MARGIN,REFUSED,COURT
render_10_REFUSED.jpg,5bc76ecbd99e6f48104661b9695c4683b133542ef51fb04201b34f1d329b0e11:nba__pPHOlLVyjQc_s1603:3334,nba__pPHOlLVyjQc_s1603,3334,5bc76ecbd99e6f48104661b9695c4683b133542ef51fb04201b34f1d329b0e11,REFUSED,REFUSED_MARGIN,REFUSED,COURT
render_11_REFUSED.jpg,5bc76ecbd99e6f48104661b9695c4683b133542ef51fb04201b34f1d329b0e11:nba__pPHOlLVyjQc_s1603:6669,nba__pPHOlLVyjQc_s1603,6669,5bc76ecbd99e6f48104661b9695c4683b133542ef51fb04201b34f1d329b0e11,REFUSED,REFUSED_MARGIN,REFUSED,COURT
render_12_REFUSED.jpg,ef3549084989a0e8eda7876b4687f5ca5a0cf3bfb93e7c53687ea38178d9e16f:ncaa_basketball__QXFM3hlaDAk_s1440:465,ncaa_basketball__QXFM3hlaDAk_s1440,465,ef3549084989a0e8eda7876b4687f5ca5a0cf3bfb93e7c53687ea38178d9e16f,REFUSED,REFUSED_MARGIN,REFUSED,COURT
