clip,frame_index,tile,expected_source_tile_pixel_sha256,rebuilt_tile_pixel_sha256,checksum_match
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,19200,docs/evidence/tracking/g103_recall/rebuilt_tiles/ncaa_basketball__ncaa_basketball_zqBCKovJCQU__f19200.jpg,ad74bda8099c18331d2ca2da0634b58e484ea52ddb08aab56bee2c4ddc913ca1,bab7c0ec3d4c6c7d37aff8e65e030648234738f79fb290ea5fa724141a8640ea,false
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,22656,docs/evidence/tracking/g103_recall/rebuilt_tiles/ncaa_basketball__ncaa_basketball_zqBCKovJCQU__f22656.jpg,92d89bf25b84bbafe9dbb4c3878f1aef82f1480cba56b9b5632aff62d6402d0a,cfb8b37b84ce9f81d0c80771b6bc5fcb03fde311dd28e17d26aba53459dc8462,false
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,28032,docs/evidence/tracking/g103_recall/rebuilt_tiles/ncaa_basketball__ncaa_basketball_zqBCKovJCQU__f28032.jpg,29f88b63847e64ff6965977c99a7a810db6bcc7ffcd412912a49a9afa19ee5a3,985884f20f7e3c55417d07d8efa1599d4b827038b8556a358f00cd6c49cf249b,false
wnba__wnba_01,8448,docs/evidence/tracking/g103_recall/rebuilt_tiles/wnba__wnba_01__f8448.jpg,21df16d8400d40cadf6547e82d7194fec59500134103aa3e72669e6b41f18c56,f8207b5820cc4257af13fb0f1bb1669388bf86685fcb259df8d781168f5d02ec,false
wnba__wnba_01,11904,docs/evidence/tracking/g103_recall/rebuilt_tiles/wnba__wnba_01__f11904.jpg,bfee2f56fed228a1fdcf68ef9cefbde969bc3ab31e624986c281076744a8ee1f,89ad176f1453624e32fb8f61c4f5e1b5afa6a12c1d267f316a203f827cda02f8,false
wnba__wnba_01,13632,docs/evidence/tracking/g103_recall/rebuilt_tiles/wnba__wnba_01__f13632.jpg,435cdb655654516dac9b67fbfa08417bf8c7223c14e231c9da3de5ade0491e20,73d4a4b0df7141e31f7266e7156a57dbd4174e28700177d15cb5543bae261cf5,false
wnba__wnba_01_1080p,360,docs/evidence/tracking/g103_recall/rebuilt_tiles/wnba__wnba_01_1080p__f360.jpg,07403332e71f7afb96eab04a63f8dd8caad9d6c48009ac92cc86ce9303266641,2b847526e7e71bcf584d3bea4d2d2590a76b6eff6945f4acb5b503ca80e701d1,false
wnba__wnba_01_1080p,12720,docs/evidence/tracking/g103_recall/rebuilt_tiles/wnba__wnba_01_1080p__f12720.jpg,3de21c102689dc5afc4ef7c0195d56b91b1fe5ce39a6786062642f62cfadffda,b74d1e769a6c9385a0c66204c97582f42e89df44436ded1b8fa472e0c5d55318,false
wnba__wnba_01_1080p,17280,docs/evidence/tracking/g103_recall/rebuilt_tiles/wnba__wnba_01_1080p__f17280.jpg,a0b8ff4a596fc597dc9d00b92066326f1b6c043d04cf2226c5de96fbb06fbea2,d96bdc9bacdacb9f43775197530f12cf1b8285cc916c1d811ee97d0b41b68bef,false
wnba__wnba_02,4416,docs/evidence/tracking/g103_recall/rebuilt_tiles/wnba__wnba_02__f4416.jpg,ff9e6d46a8c931b6dbb6d4b4fd71534522cae9ffcc323c988339ecdbe832fa0f,87661cebb6ab295c9814ed7a5ff0a57a50b1a9ee23cfba488e60fb74b510c4ca,false
wnba__wnba_02,18624,docs/evidence/tracking/g103_recall/rebuilt_tiles/wnba__wnba_02__f18624.jpg,6ecfb0595a213142dc54e1d0673f4a4634daf809f58a0efd54987acad1770f62,8cb70075528e3077acd67b96b08fb584a8d33863a23004a9a4493c3ef212c1f3,false
wnba__wnba_02,20736,docs/evidence/tracking/g103_recall/rebuilt_tiles/wnba__wnba_02__f20736.jpg,3fd24f8c6f3b4408676bf20396f9a9a0ffb6530a351eb5fbd33b6246aaccf508,6ed7a68c612e1513e4f33076b4b466a3cd65ff80a4099d81743a37075808cfd1,false
wnba__wnba_04,1920,docs/evidence/tracking/g103_recall/rebuilt_tiles/wnba__wnba_04__f1920.jpg,8b33bd1cbe99584215e598f5b6705288a1027b68141451c4ecb25ef9395092fb,d68b51869b020f16bffc3aa71dd685706b619d9ccc1299de4d3e48e0f5d6c6b4,false
wnba__wnba_04,3648,docs/evidence/tracking/g103_recall/rebuilt_tiles/wnba__wnba_04__f3648.jpg,615f12bd9fde051b266e2e208817aaadf100f9f3a987aa46d078393464e6178f,193e94945e0cc31bd6a0fd6fd63a1ad40182a8ae8885d407dd2416403e148228,false
wnba__wnba_04,23424,docs/evidence/tracking/g103_recall/rebuilt_tiles/wnba__wnba_04__f23424.jpg,cbec746eacc7bc765e1f9758cd91495ca80b05a9a21e0587836a208b2f33b011,fda2ad3cdcc0740c11138ad9583b5417a06eae2adc589fa3760f6d9a22178946,false
wnba__wnba_05,2304,docs/evidence/tracking/g103_recall/rebuilt_tiles/wnba__wnba_05__f2304.jpg,0492b18c3d4c3c4efddda3783b5c7d93ff2efbcc0cc3861b775dbf21363f6860,77b92098c3a8f520c47cc91fe9be7dceb2c7d7954f655e375b64364dec6acccd,false
wnba__wnba_05,6912,docs/evidence/tracking/g103_recall/rebuilt_tiles/wnba__wnba_05__f6912.jpg,479433a126e8b87c6f4da5239adf678e8262eadbc0b51eb0fb096fed8dd0cff9,05887227bf0e316f64c35b0ec89c42d62312a81da10cb5e05c64e5c56201931e,false
wnba__wnba_05,23424,docs/evidence/tracking/g103_recall/rebuilt_tiles/wnba__wnba_05__f23424.jpg,43a1f1614450ee19e7a73889317d3494efca6e12a0e418fa9631c3acb5057428,1b63b931765263b91e4d6688d2a761041010abb124d6c04ab45de24183974fb8,false
