epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.8542,2.67135,3.74696,1.32928,0,0,0,0,0,0,0,0.000332636,0.000332636,0.067069
2,110.52,2.25601,3.05125,1.10116,0,0,0,0,0,0,0,0.000600038,0.000600038,0.0340031
3,159.55,2.0332,2.66948,1.00944,0,0,0,0,0,0,0,0.000801441,0.000801441,0.000871176
4,209.04,1.94229,2.41827,0.99232,0,0,0,0,0,0,0,0.000703,0.000703,0.000703
5,258.185,1.8401,2.28746,0.96438,0,0,0,0,0,0,0,0.000604,0.000604,0.000604
6,310.965,1.71845,2.1412,0.91459,0,0,0,0,0,0,0,0.000505,0.000505,0.000505
7,360.843,1.67151,2.021,0.91242,0,0,0,0,0,0,0,0.000406,0.000406,0.000406
8,411.864,1.60578,1.93451,0.88988,0,0,0,0,0,0,0,0.000307,0.000307,0.000307
9,460.136,1.61495,1.93453,0.9101,0,0,0,0,0,0,0,0.000208,0.000208,0.000208
10,527.532,1.56829,1.89221,0.90554,0.63948,0.39157,0.43417,0.22514,1.89576,2.24751,1.13782,0.000109,0.000109,0.000109
