game_id,possession_id,team,start_frame,end_frame,duration_frames,duration_sec,avg_spacing,avg_defensive_pressure,avg_vel_toward_basket,drive_attempts,shot_attempted,shot_frame,fast_break,result,outcome_score
22400316,2,green,1713,2114,401,13.366666666666667,,200.0,,0,0,,0,,
22400316,275,green,6000,6236,236,7.866666666666666,,139.3,,0,1,6006.0,0,,
22400316,419,white,6477,6578,101,3.3666666666666667,,200.0,,0,1,6483.0,0,,
22400316,884,white,8535,8798,263,8.766666666666667,,134.7,,0,1,8541.0,0,,
22400316,913,green,8832,8942,110,3.6666666666666665,,200.0,-0.07,0,0,,0,,
22400316,1047,white,9396,9806,410,13.666666666666666,,160.3,0.03,0,1,9402.0,0,,
22400316,1168,green,9822,9929,107,3.566666666666667,,142.2,0.67,0,1,9825.0,0,,
22400316,1260,green,10185,10250,65,2.1666666666666665,,136.5,-1.07,0,0,,0,,
22400316,1346,white,10758,10823,65,2.1666666666666665,,153.3,-0.08,0,1,10764.0,0,,
22400316,1552,white,11691,11756,65,2.1666666666666665,,200.0,3.46,1,1,11697.0,0,,
