game_id,shot_id,frame,timestamp,player_id,player_name,team,x_position,y_position,x_norm,y_norm,court_zone,defender_distance,defender_dist_norm,team_spacing,possession_id,possession_duration,made,shot_clock,contest_arm_angle,closeout_speed,fatigue_proxy,dribble_count,ball_shot_arc_angle,catch_and_shoot,shot_distance,second_chance,shot_creation,shots_pbp_coverage,team_abbrev,pbp_game_clock
22400430,67,50934,848.9,1,Lopez,CHI,41,354,0.0348,0.4102,paint,,0.1692,0.0,8991,5,1.0,2.0,0.0,,248062.8,0,87.70789482576943,1,78.4,0,catch_and_shoot,0.3798,MIL,845.0
22400430,70,51597,859.95,5,,CHI,283,135,0.24,0.1564,3pt_arc,,0.0895,0.0,8993,84,,2.0,0.0,,225394.8,0,-85.71262199493928,1,,1,catch_and_shoot,0.3798,MIL,
22400430,73,52275,871.25,3,,CHI,1095,194,0.9288,0.2248,3pt_arc,,0.254,0.0,8994,51,,22.0,0.0621359210431395,,209655.9,0,85.15508708436231,1,,0,catch_and_shoot,0.3798,MIL,
22400430,76,52947,882.45,3,Trent Jr.,CHI,483,123,0.4097,0.1425,mid_range,,0.285,0.0,8995,139,1.0,22.0,0.0664643386179916,,213040.4,0,67.89553490372792,1,,1,catch_and_shoot,0.3798,MIL,880.0
22400430,79,53610,893.5,3,Vučević,CHI,300,435,0.2545,0.5041,3pt_arc,,0.4794,0.0,8997,42,0.0,2.0,0.3851571694394843,,216131.5,0,88.65562317422159,1,,0,catch_and_shoot,0.3798,CHI,893.0
22400430,82,54279,904.65,3,Trent Jr.,CHI,228,438,0.1934,0.5075,3pt_arc,,0.4123,0.0,8997,265,1.0,2.0,0.0,,218955.4,0,87.28827058706136,1,,1,catch_and_shoot,0.3798,MIL,902.0
22400430,85,54930,915.5,9,Carter,MIL,769,43,0.6522,0.0498,mid_range,,0.3197,0.0,8999,66,0.0,2.0,0.3310870140083302,,204652.2,0,84.85066974359337,1,,0,catch_and_shoot,0.3798,CHI,915.0
22400430,88,55593,926.55,5,Rollins,CHI,648,250,0.5496,0.2897,backcourt,,0.1767,0.0,9001,154,1.0,2.0,0.0,,250048.6,0,-88.08257904197325,1,,1,catch_and_shoot,0.3798,MIL,928.0
22400430,90,56124,935.4,10,,MIL,256,49,0.2171,0.0568,corner_3,,0.1615,0.0,9002,115,,2.0,0.0,,222820.7,0,-78.49846975873051,1,,1,catch_and_shoot,0.3798,CHI,
22400430,93,82257,1370.95,4,,CHI,1173,498,0.9949,0.5771,paint,,0.4003,0.0,16845,5,,3.0,0.0,,317092.5,0,50.78054943616095,1,81.5,0,catch_and_shoot,0.3798,MIL,
22400430,96,82941,1382.35,2,,CHI,390,400,0.3308,0.4635,mid_range,,0.2708,15.7,16846,69,,3.0,0.2364970293050859,,371493.9,0,83.99676218627863,1,,0,catch_and_shoot,0.3798,MIL,
22400430,99,83577,1392.95,8,,MIL,261,442,0.2214,0.5122,3pt_arc,,0.3679,576.7,16848,11,,3.0,0.1989924419301811,,313550.3,0,-89.16837584102619,1,,0,catch_and_shoot,0.3798,CHI,
22400430,101,84123,1402.05,1,Lillard,CHI,819,90,0.6947,0.1043,mid_range,,0.1722,0.0,16850,8,0.0,3.0,0.0620064714644882,,368268.2,0,-86.10383668923998,1,,0,catch_and_shoot,0.3798,MIL,1399.0
22400430,104,84873,1414.55,2,,CHI,373,438,0.3164,0.5075,mid_range,,0.2774,0.0,16852,56,,3.0,0.0,,376627.8,0,-72.62108010875995,1,,1,catch_and_shoot,0.3798,MIL,
22400430,106,85416,1423.6,7,,MIL,1055,362,0.8948,0.4195,paint,,0.0551,0.0,16855,7,,3.0,0.0,,303369.8,0,89.30003552861709,1,,0,catch_and_shoot,0.3798,CHI,
22400430,109,86052,1434.2,3,,CHI,709,399,0.6014,0.4623,mid_range,,0.3335,186.7,16857,143,,3.0,0.1373072934069201,,339066.8,0,-73.50736267616092,1,,1,catch_and_shoot,0.3798,MIL,
