player_id,team,frames_tracked,tracking_pct,total_distance_px,avg_velocity,max_velocity,possession_frames,possession_pct,shots_attempted,drive_attempts,drive_rate,paint_frames,paint_pct,avg_dist_to_basket,avg_nearest_opponent
1,green,52,0.0,788.9,15.17,110.64,0,0.0,0,0,0.0,24,0.462,297.9,243.8
2,green,26,0.0,784.7,30.18,115.38,0,0.0,0,0,0.0,3,0.115,306.0,209.9
3,green,42,0.0,558.3,13.29,116.51,0,0.0,0,0,0.0,0,0.0,327.6,152.3
4,green,52,0.0,602.5,11.59,91.99,0,0.0,0,0,0.0,15,0.288,280.3,197.5
5,green,46,0.0,488.9,10.63,95.18,0,0.0,0,0,0.0,0,0.0,372.3,370.3
6,white,43,0.0,579.6,13.48,115.99,0,0.0,0,0,0.0,0,0.0,393.6,288.3
7,white,45,0.0,814.3,18.1,99.32,0,0.0,0,0,0.0,0,0.0,379.6,243.7
8,white,38,0.0,790.1,20.79,114.28,0,0.0,0,0,0.0,2,0.053,434.7,269.6
9,white,57,0.0,155.6,2.73,100.63,0,0.0,0,0,0.0,0,0.0,336.2,310.7
10,white,65,0.001,568.2,8.74,115.58,0,0.0,0,0,0.0,25,0.385,180.9,247.7
