frame,game_clock,shot_clock,home_score,away_score,period,confidence
6636,,10.0,10,48,,0.6
23136,0:24,24.0,10,48,,0.8
23196,8:23,8.0,10,48,,0.8
23976,8:23,8.0,10,48,,0.8
31896,8:23,1.0,10,48,,0.8
36516,8:23,6.0,10,48,,0.8
36996,5:59,5.0,10,48,,0.8
37056,5:59,5.0,10,48,,0.8
37236,5:54,5.0,10,48,,0.8
37296,5:54,5.0,10,48,,0.8
41916,5:54,4.0,10,48,,0.8
44586,4:08,4.0,10,48,,0.8
44706,4:08,4.0,10,48,,0.8
44826,4:08,4.0,10,48,,0.8
45366,4:08,24.0,10,48,,0.8
45846,4:08,4.0,10,48,,0.8
45906,4:08,4.0,10,48,,0.8
45966,4:08,4.0,10,48,,0.8
46026,4:08,4.0,10,48,,0.8
46086,4:08,4.0,10,48,,0.8
50856,4:08,2.0,10,48,,0.8
50916,2:44,2.0,10,48,,0.8
51696,2:30,2.0,10,48,,0.8
51876,2:30,22.0,10,48,,0.8
53016,2:06,2.0,10,48,,0.8
53076,2:05,2.0,10,48,,0.8
53136,2:04,2.0,10,48,,0.8
57996,2:04,5.0,10,48,,0.8
78696,2:04,9.0,10,48,,0.8
78756,2:04,9.0,10,48,,0.8
82236,0:39,3.0,10,48,,0.8
90096,6:04,6.0,10,48,,0.8
91116,6:05,6.0,10,48,,0.8
91686,5:55,5.0,10,48,,0.8
95166,5:09,5.0,10,48,,0.8
95226,5:00,5.0,10,48,,0.8
107526,2:36,2.0,10,48,,0.8
109206,2:05,2.0,10,48,,0.8
113226,2:05,9.0,10,48,,0.8
