section,arm,frame_index,good_matches,n_fit,fit_inliers,n_heldout,heldout_inliers,heldout_median_px
basketball__nbl-WTEUwPcy7X8_s90,F,000000,000059,000030,000002,000029,000000,1122.133
basketball__nbl-WTEUwPcy7X8_s90,F,000299,000049,000025,000004,000024,000002,609.958
basketball__nbl-WTEUwPcy7X8_s90,F,000599,000053,000027,000005,000026,000000,966.298
basketball__nbl-WTEUwPcy7X8_s90,F,000899,000032,000016,000004,000016,000001,484.063
basketball__nbl-WTEUwPcy7X8_s90,F,001199,000168,000084,000005,000084,000000,1054.179
basketball__nbl-WTEUwPcy7X8_s90,F,001499,000196,000098,000005,000098,000002,1026.297
basketball__nbl-WTEUwPcy7X8_s90,F,002099,000221,000111,000005,000110,000000,740.600
basketball__nbl-WTEUwPcy7X8_s90,F,002399,000040,000020,000004,000020,000000,3559.943
basketball__nbl-WTEUwPcy7X8_s90,F,002699,000048,000024,000005,000024,000000,1200.273
basketball__nbl-WTEUwPcy7X8_s90,F,002999,000039,000020,000004,000019,000000,1334.030
basketball__nbl-WTEUwPcy7X8_s90,F,003299,000084,000042,000004,000042,000000,619.225
basketball__nbl-WTEUwPcy7X8_s90,F,003599,000091,000046,000005,000045,000000,1074.624
basketball__nbl-WTEUwPcy7X8_s90,F,003899,000022,000011,000004,000011,000000,1037.547
basketball__nbl-WTEUwPcy7X8_s90,F,004199,000036,000018,000004,000018,000000,914.770
basketball__nbl-WTEUwPcy7X8_s90,F,004499,000061,000031,000005,000030,000000,1608.781
basketball__nbl-WTEUwPcy7X8_s90,F,005099,000026,000013,000004,000013,000000,767.216
basketball__nbl-WTEUwPcy7X8_s90,F,005399,000082,000041,000004,000041,000000,638.372
basketball__nbl-WTEUwPcy7X8_s90,F,005699,000087,000044,000005,000043,000001,904.207
basketball__nbl-WTEUwPcy7X8_s90,F,005999,000057,000029,000004,000028,000000,1065.290
nba__0022401198_s2784,F,000000,000197,000099,000005,000098,000001,720.894
nba__0022401198_s2784,F,000299,000033,000017,000004,000016,000000,1090.823
nba__0022401198_s2784,F,000899,000064,000032,000004,000032,000001,1419.695
nba__0022401198_s2784,F,001199,000062,000031,000005,000031,000000,1197.687
nba__0022401198_s2784,F,001499,000109,000055,000004,000054,000000,997.616
nba__0022401198_s2784,F,001799,000039,000020,000002,000019,000000,1002.272
nba__0022401198_s2784,F,002099,000042,000021,000005,000021,000000,844.787
nba__0022401198_s2784,F,002399,000060,000030,000005,000030,000002,1066.347
nba__0022401198_s2784,F,002699,000053,000027,000004,000026,000000,1010.043
nba__0022401198_s2784,F,002999,000034,000017,000004,000017,000000,899.215
nba__0022401198_s2784,F,003299,000017,000009,000004,000008,000000,654.665
nba__0022401198_s2784,F,003899,000084,000042,000004,000042,000000,907.941
nba__0022500081_s4812,F,000000,000029,000015,000004,000014,000000,1458.347
nba__0022500081_s4812,F,000299,000015,000008,000004,000007,000000,2010.449
nba__0022500081_s4812,F,000599,000040,000020,000004,000020,000000,1769.672
nba__0022500081_s4812,F,000899,000042,000021,000005,000021,000001,1217.711
nba__0022500081_s4812,F,001199,000063,000032,000005,000031,000000,1789.840
nba__0022500081_s4812,F,001499,000031,000016,000004,000015,000000,496.313
nba__0022500081_s4812,F,001799,000015,000008,000004,000007,000000,1371.852
nba__0022500081_s4812,F,002099,000116,000058,000005,000058,000000,1085.965
nba__0022500081_s4812,F,002399,000112,000056,000005,000056,000002,879.790
nba__0022500081_s4812,F,002699,000085,000043,000005,000042,000000,1192.779
nba__0022500081_s4812,F,002999,000048,000024,000005,000024,000001,1963.627
nba__0022500081_s4812,F,003299,000071,000036,000005,000035,000000,1018.112
nba__0022500081_s4812,F,003599,000059,000030,000005,000029,000003,609.040
nba__0022500081_s4812,F,003899,000009,-,-,-,-,-
nba__0022500081_s4812,V,000912,000004,-,-,-,-,-
nba__0022500081_s4812,V,002919,000004,-,-,-,-,-
