variant,clip,frame_index,role,visible,detected,matching_indices
before,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,baseline,true,false,
before,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,free_throw,true,false,
before,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,lane_left,true,true,21
before,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,lane_right,true,true,16;17;41
before,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,baseline,true,false,
before,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,free_throw,true,true,25
before,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,lane_left,true,true,18;37
before,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,lane_right,true,true,0;31
before,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,baseline,true,false,
before,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,free_throw,true,false,
before,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,lane_left,true,true,30
before,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,lane_right,true,true,12;16;20;45
before,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,baseline,true,false,
before,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,free_throw,true,false,
before,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,lane_left,true,false,
before,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,lane_right,true,true,8
before,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,baseline,true,false,
before,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,free_throw,true,false,
before,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,lane_left,true,false,
before,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,lane_right,true,false,
before,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,11760,baseline,true,true,19
before,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,11760,free_throw,true,false,
before,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,11760,lane_left,true,true,11
before,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,11760,lane_right,true,true,4;24
before,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,5760,baseline,true,false,
before,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,5760,free_throw,true,false,
before,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,5760,lane_left,true,false,
before,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,5760,lane_right,true,true,4;50
before,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,9408,baseline,false,,
before,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,9408,free_throw,false,,
before,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,9408,lane_left,false,,
before,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,9408,lane_right,false,,
before,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,21504,baseline,true,false,
before,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,21504,free_throw,true,false,
before,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,21504,lane_left,true,false,
before,ncaa_basketball__ncaa_basketball_sRtHQbywiTE,21504,lane_right,true,true,10;37
before,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,192,baseline,true,false,
before,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,192,free_throw,true,false,
before,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,192,lane_left,true,true,42
before,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,192,lane_right,true,true,11;12;27;33
before,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,5952,baseline,false,,
before,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,5952,free_throw,false,,
before,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,5952,lane_left,false,,
before,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,5952,lane_right,false,,
before,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,25728,baseline,false,,
before,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,25728,free_throw,false,,
before,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,25728,lane_left,false,,
before,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,25728,lane_right,false,,
before,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,19200,baseline,true,false,
before,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,19200,free_throw,true,false,
before,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,19200,lane_left,true,false,
