ledger_line,game_id,sport,status,started_at_utc,finished_at_utc,seconds
308,football_DrxDFaRonuE,football,tracked,2026-09-01T15:18:26Z,2026-09-01T15:21:56Z,210
309,football_20pezoC5jRQ,football,tracked,2026-09-01T15:18:26Z,2026-09-01T15:22:11Z,225
310,football_5x9vPq9HsTI,football,tracked,2026-09-01T15:18:26Z,2026-09-01T15:22:11Z,225
311,football_h-_3BmAh9po,soccer,tracked,2026-09-01T15:18:26Z,2026-09-01T15:22:11Z,225
312,kbo_9Hv-cd-BmSY,kbo,tracked,2026-09-01T15:18:26Z,2026-09-01T15:22:11Z,225
313,kbo_W-tKSex-WPU,kbo,tracked,2026-09-01T15:18:26Z,2026-09-01T15:22:11Z,225
314,kbo_lIxmDQyQDtc,kbo,tracked,2026-09-01T15:18:26Z,2026-09-01T15:22:11Z,225
315,kbo_tzC71aneg9c,kbo,tracked,2026-09-01T15:18:26Z,2026-09-01T15:22:11Z,225
316,mlb_7T-rpI5l0ro,mlb,tracked,2026-09-01T15:18:26Z,2026-09-01T15:22:11Z,225
317,mlb_NiSezRTvsew,mlb,tracked,2026-09-01T15:18:26Z,2026-09-01T15:22:11Z,225
318,tennis_10,tennis,corrupt,2026-09-01T15:36:29Z,2026-09-01T15:36:29Z,0
319,mlb_FGtFanovws4,mlb,thin,2026-09-01T15:36:29Z,2026-09-01T15:41:30Z,301
320,football_VEoXn84p9o8,football,tracked,2026-09-01T15:36:29Z,2026-09-01T15:41:45Z,316
321,football_GU6CrRLjTkw,football,tracked,2026-09-01T15:36:29Z,2026-09-01T15:42:00Z,331
322,football_iaDDTxNEOfE,football,tracked,2026-09-01T15:36:29Z,2026-09-01T15:42:00Z,331
323,kbo_bGQwZl43E9Y,kbo,tracked,2026-09-01T15:36:29Z,2026-09-01T15:42:00Z,331
324,kbo_8yxSFxuR2Lk,kbo,tracked,2026-09-01T15:36:29Z,2026-09-01T15:42:15Z,346
325,kbo_qLQbGFQ0-EQ,kbo,tracked,2026-09-01T15:36:29Z,2026-09-01T15:42:15Z,346
326,football_cxbBz4nkovE,football,tracked,2026-09-01T15:36:29Z,2026-09-01T15:42:30Z,361
327,kbo_FDSWjM_OaTs,kbo,tracked,2026-09-01T15:36:29Z,2026-09-01T15:42:30Z,361
328,mlb_5IA4jaKNOYg,mlb,tracked,2026-09-01T15:36:29Z,2026-09-01T15:42:45Z,376
329,tennis_10,tennis,corrupt,2026-09-01T15:45:32Z,2026-09-01T15:45:32Z,0
330,mlb_dVNOESziFWQ,mlb,thin,2026-09-01T15:41:45Z,2026-09-01T15:53:08Z,683
331,mlb_QqHhEShXAX0,mlb,tracked,2026-09-01T15:41:31Z,2026-09-01T16:07:53Z,1582
332,npb_HQfhD5Iwm7U,npb,tracked,2026-09-01T15:42:31Z,2026-09-01T16:15:45Z,1994
333,npb_V3FrwLVwCpA,npb,tracked,2026-09-01T15:42:31Z,2026-09-01T16:19:34Z,2223
334,npb_jm2Ocr-LAtc,npb,tracked,2026-09-01T15:42:45Z,2026-09-01T16:19:34Z,2209
335,football_34GmmlakBYU,soccer,tracked,2026-09-01T15:53:09Z,2026-09-01T16:24:39Z,1890
336,tennis_10,tennis,corrupt,2026-09-01T16:25:10Z,2026-09-01T16:25:10Z,0
337,football_B7znSVfBnM4,soccer,tracked,2026-09-01T16:07:54Z,2026-09-01T16:40:25Z,1951
338,mlb_FGtFanovws4,mlb,thin,2026-09-01T16:19:36Z,2026-09-01T16:47:47Z,1691
339,football_L3WOKdFhdkQ,football,tracked,2026-09-01T16:15:46Z,2026-09-01T16:48:03Z,1937
340,football_gek9fXGlwas,soccer,tracked,2026-09-01T16:19:35Z,2026-09-01T16:54:08Z,2073
341,kbo_ahHGpSJWcIU,kbo,tracked,2026-09-01T16:24:40Z,2026-09-01T16:57:41Z,1981
342,kbo_2ZtgAvs67so,kbo,tracked,2026-09-01T16:40:26Z,2026-09-01T17:09:52Z,1766
343,ncaa_basketball_IB-_u4gW3ds,ncaa_basketball,timeout,2026-09-01T15:42:00Z,2026-09-01T17:12:16Z,5416
344,ncaa_basketball_WFl3V7ZY4ss,ncaa_basketball,timeout,2026-09-01T15:42:00Z,2026-09-01T17:12:16Z,5416
345,ncaa_basketball_sRtHQbywiTE,ncaa_basketball,timeout,2026-09-01T15:42:01Z,2026-09-01T17:12:17Z,5416
346,ncaa_basketball_tiUvyvWOCxo,ncaa_basketball,timeout,2026-09-01T15:42:16Z,2026-09-01T17:12:17Z,5401
347,ncaa_basketball_zqBCKovJCQU,ncaa_basketball,timeout,2026-09-01T15:42:16Z,2026-09-01T17:12:17Z,5401
348,kbo_lrK_Hv6BEE0,kbo,tracked,2026-09-01T16:48:04Z,2026-09-01T17:13:02Z,1498
349,kbo_Lh8n_DUXyGE,kbo,tracked,2026-09-01T16:47:48Z,2026-09-01T17:13:17Z,1529
350,mlb_dVNOESziFWQ,mlb,tracked,2026-09-01T16:54:09Z,2026-09-01T17:13:47Z,1178
351,soccer_DdnvC6-PGYY,soccer,tracked,2026-09-01T17:12:17Z,2026-09-01T17:14:17Z,120
352,mlb_x6YpMlNYbrU,mlb,tracked,2026-09-01T16:57:43Z,2026-09-01T17:14:32Z,1009
353,tennis_06,tennis,thin,2026-09-01T17:13:02Z,2026-09-01T17:14:32Z,90
354,tennis_3x3eEWCZmWQ,tennis,thin,2026-09-01T17:13:17Z,2026-09-01T17:15:02Z,105
355,soccer_AgspyOj5BPk,soccer,tracked,2026-09-01T17:12:17Z,2026-09-01T17:16:02Z,225
356,soccer_EKhrdU9bVZA,soccer,tracked,2026-09-01T17:12:17Z,2026-09-01T17:16:17Z,240
357,soccer_cKXZysISV4w,soccer,tracked,2026-09-01T17:12:17Z,2026-09-01T17:16:32Z,255
358,npb_kqPv-_WwWLk,npb,tracked,2026-09-01T17:12:17Z,2026-09-01T17:18:18Z,361
359,kbo_ahHGpSJWcIU,kbo,tracked,2026-09-01T17:09:53Z,2026-09-01T17:18:34Z,521
360,tennis_nyYk2nPZAwY,tennis,thin,2026-09-01T17:13:47Z,2026-09-01T17:19:04Z,317
361,kbo_Lh8n_DUXyGE,kbo,tracked,2026-09-01T17:14:18Z,2026-09-01T17:37:26Z,1388
362,kbo_2ZtgAvs67so,kbo,tracked,2026-09-01T17:22:21Z,2026-09-01T18:01:37Z,2356
363,tennis_06,tennis,timeout,2026-09-01T17:23:52Z,2026-09-01T18:23:52Z,3600
364,soccer_cKXZysISV4w,soccer,tracked,2026-09-01T17:32:54Z,2026-09-01T18:32:41Z,3587
365,kbo_lrK_Hv6BEE0,kbo,tracked,2026-09-01T17:37:57Z,2026-09-01T18:32:57Z,3300
366,wnba_02,wnba,tracked,2026-09-01T17:15:02Z,2026-09-01T18:36:59Z,4917
367,wnba_05,wnba,tracked,2026-09-01T17:16:18Z,2026-09-01T18:36:59Z,4841
368,football_22iadGbRAyE,football,tracked,2026-09-01T18:01:38Z,2026-09-01T18:36:59Z,2121
369,wnba_04,wnba,tracked,2026-09-01T17:16:03Z,2026-09-01T18:37:15Z,4872
370,ncaa_basketball_tiUvyvWOCxo,ncaa_basketball,tracked,2026-09-01T17:14:33Z,2026-09-01T18:38:45Z,5052
371,wnba_01,wnba,tracked,2026-09-01T17:14:32Z,2026-09-01T18:38:45Z,5053
372,ncaa_basketball_sRtHQbywiTE,ncaa_basketball,tracked,2026-09-01T17:32:55Z,2026-09-01T18:40:31Z,4056
373,mlb_FGtFanovws4,mlb,thin,2026-09-01T18:23:53Z,2026-09-01T18:41:31Z,1058
374,mlb_dVNOESziFWQ,mlb,tracked,2026-09-01T18:32:42Z,2026-09-01T18:42:31Z,589
375,mlb_x6YpMlNYbrU,mlb,tracked,2026-09-01T18:32:58Z,2026-09-01T18:42:46Z,588
376,npb_3PwJwWdTMek,npb,tracked,2026-09-01T18:37:00Z,2026-09-01T18:44:01Z,421
377,soccer_DdnvC6-PGYY,soccer,tracked,2026-09-01T18:37:15Z,2026-09-01T18:45:16Z,481
378,soccer_AgspyOj5BPk,soccer,tracked,2026-09-01T18:37:00Z,2026-09-01T18:47:16Z,616
379,ncaa_basketball_zqBCKovJCQU,ncaa_basketball,tracked,2026-09-01T18:37:00Z,2026-09-01T18:54:32Z,1052
380,tennis_07,tennis,thin,2026-09-01T18:56:32Z,2026-09-01T18:58:17Z,105
381,tennis_08,tennis,thin,2026-09-01T18:56:47Z,2026-09-01T18:58:32Z,105
382,tennis_09,tennis,tracked,2026-09-01T18:57:02Z,2026-09-01T18:58:47Z,105
383,tennis_10,tennis,thin,2026-09-01T18:38:46Z,2026-09-01T18:59:02Z,1216
384,football_wHZt1eY3A9s,football,timeout,2026-09-01T18:45:31Z,2026-09-01T19:45:32Z,3601
385,football_wHZt1eY3A9s_1080p,football,timeout,2026-09-01T19:25:02Z,2026-09-01T20:25:03Z,3601
386,giants_jets_format96_1080p,football,timeout,2026-09-01T19:57:48Z,2026-09-01T20:57:49Z,3601
387,tennis_06,tennis,thin,2026-09-01T21:02:36Z,2026-09-01T21:16:06Z,810
388,npb_3PwJwWdTMek,npb,tracked,2026-09-01T21:04:35Z,2026-09-01T21:19:21Z,886
389,tennis_459iho5_AFs,tennis,thin,2026-09-01T21:09:51Z,2026-09-01T21:20:37Z,646
390,tennis_09,tennis,thin,2026-09-01T21:06:36Z,2026-09-01T21:20:52Z,856
391,tennis_10,tennis,thin,2026-09-01T21:09:06Z,2026-09-01T21:22:37Z,811
392,mlb_gMm3EODDb6w,mlb,tracked,2026-09-01T23:50:53Z,2026-09-01T23:52:38Z,105
393,mlb_3Oc4S_1np98,mlb,tracked,2026-09-01T23:51:38Z,2026-09-01T23:53:23Z,105
394,mlb_ARtRmUHC7dw,mlb,tracked,2026-09-01T23:52:53Z,2026-09-01T23:54:38Z,105
395,mlb_2iosUkpL0Bc,mlb,tracked,2026-09-01T23:53:53Z,2026-09-01T23:56:38Z,165
396,mlb_ptIBgr6U1Y8,mlb,tracked,2026-09-02T01:26:25Z,2026-09-02T01:28:25Z,120
397,mlb_PPj97yvNGOo,mlb,tracked,2026-09-02T01:26:55Z,2026-09-02T01:29:40Z,165
398,soccer_cS4OpYJ0Pps,soccer,tracked,2026-09-02T21:46:21Z,2026-09-02T21:52:34Z,373
399,ncaa_basketball_WFl3V7ZY4ss,ncaa_basketball,tracked,2026-09-02T21:47:52Z,2026-09-02T21:54:38Z,406
400,mlb_231Mmqijar8,mlb,tracked,2026-09-02T21:49:52Z,2026-09-02T21:54:54Z,302
401,kbo_2WqtNa-uUZU,kbo,tracked,2026-09-02T21:55:40Z,2026-09-02T21:59:18Z,218
402,kbo_tHih8xD7MSY,kbo,tracked,2026-09-02T22:01:18Z,2026-09-02T22:03:17Z,119
403,npb_ul7Kq_Km7eA,npb,tracked,2026-09-02T22:03:17Z,2026-09-02T22:06:35Z,198
404,tennis_06,tennis,tracked,2026-09-02T22:07:51Z,2026-09-02T22:22:22Z,871
405,npb_cHZcTsFreJY,npb,tracked,2026-09-02T22:26:38Z,2026-09-02T22:31:39Z,301
406,football_S3ZqSGRVU3w,football,tracked,2026-09-02T22:28:08Z,2026-09-02T22:35:40Z,452
407,ncaa_basketball_mRkuGgeECak,ncaa_basketball,tracked,2026-09-02T22:25:07Z,2026-09-02T22:38:24Z,797
408,tennis_07,tennis,tracked,2026-09-02T22:25:23Z,2026-09-02T22:39:07Z,824
409,soccer_2TwKQrkV7FA,soccer,tracked,2026-09-02T22:27:53Z,2026-09-02T22:41:22Z,809
410,football_wPk3WVHBib4,football,tracked,2026-09-02T22:52:38Z,2026-09-02T22:55:40Z,182
411,wnba_06,wnba,tracked,2026-09-02T22:57:56Z,2026-09-02T23:03:12Z,316
412,kbo_2LWy6-b6_dU,kbo,tracked,2026-09-02T22:58:56Z,2026-09-02T23:04:12Z,316
