section_id,video_id,offset_s,competition,game_id,sport,status,source_resolution,duration_s,eligible,ineligible_reason,source_width,source_height,frame_count,avg_frame_rate,codec_name,source_path,byte_size,source_sha256,fetched_utc
fiba--x4DRmtYn4Q_s90,-x4DRmtYn4Q,90,basketball/fiba,basketball:-x4DRmtYn4Q,basketball,tracked,1920x1080,130.700,1,,1920,1080,3931,30/1,h264,/workspace/g364_scratch/dev/-x4DRmtYn4Q_s90.mp4,43618339,3ad14f236e69a68f88703adab195e9f3fb01d1ee93369c24aee75695c31a3719,2026-09-10T15:49:46Z
lnb-GnTuUGxkWOE_s90,GnTuUGxkWOE,90,basketball/lnb,basketball:GnTuUGxkWOE,basketball,tracked,1920x1080,134.700,1,,1920,1080,4051,30/1,h264,/workspace/g364_scratch/dev/GnTuUGxkWOE_s90.mp4,38593474,ee739b8cc29efe9f551154e395f8fdcf11b905bacc3d9680ff94391df75be39b,2026-09-10T15:49:46Z
euroleague-HkwnT6jwtNs_s90,HkwnT6jwtNs,90,basketball/euroleague,basketball:HkwnT6jwtNs,basketball,tracked,1920x1080,132.520,1,,1920,1080,3326,25/1,h264,/workspace/g364_scratch/dev/HkwnT6jwtNs_s90.mp4,72586421,64c7e8d23d0ee6857d23ed8505218d5a7d0de0aab503e4d2a93da8ac142b374d,2026-09-10T15:49:46Z
acb-IZW8vZFesBI_s90,IZW8vZFesBI,90,basketball/acb,basketball:IZW8vZFesBI,basketball,tracked,1920x1080,133.000,1,,1920,1080,3326,25/1,h264,/workspace/g364_scratch/dev/IZW8vZFesBI_s90.mp4,60441367,8b5614413b2208212b4a4234ddc9fcc6698e65a406990f5a09d67c10eb5b6d13,2026-09-10T15:49:46Z
bleague-oW8psSa2hf4_s90,oW8psSa2hf4,90,basketball/bleague,basketball:oW8psSa2hf4,basketball,tracked,1920x1080,133.360,1,,1920,1080,3351,25/1,h264,/workspace/g364_scratch/dev/oW8psSa2hf4_s90.mp4,59145516,e70daf1a0d7fc83a8c8e0a36ef45c01c9df15d04095bd3b7590ad6f4f430e503,2026-09-10T15:49:46Z
3fT6aYz2N9w_s90,3fT6aYz2N9w,90,nba,nba:3fT6aYz2N9w,nba,tracked,1920x1080,131.932,1,,1920,1080,3957,30000/1001,h264,/workspace/g364_scratch/dev/3fT6aYz2N9w_s90.mp4,71203099,8a3b31ed250bf964eec83c4569a0cff7500ffc8ad8dc51f31629f2f8226332c3,2026-09-10T15:49:46Z
50pp-OqYVok_s90,50pp-OqYVok,90,nba,nba:50pp-OqYVok,nba,tracked,1920x1080,134.700,1,,1920,1080,4051,30/1,h264,/workspace/g364_scratch/dev/50pp-OqYVok_s90.mp4,57926007,19b099fab55e91572bd8e71b6f90b6a8a385781f2c4d034c2999e1314027796f,2026-09-10T15:49:46Z
h5pTl8fOM2U_s90,h5pTl8fOM2U,90,nba,nba:h5pTl8fOM2U,nba,tracked,1920x1080,130.263,1,,1920,1080,3927,30000/1001,h264,/workspace/g364_scratch/dev/h5pTl8fOM2U_s90.mp4,68350366,b6af5496db613fb08854895a290c8a4d827b681a52010cad25de77cf0a820739,2026-09-10T15:49:46Z
0KIBu1jQBL8_s90,0KIBu1jQBL8,90,ncaa_basketball,ncaa_basketball:0KIBu1jQBL8,ncaa_basketball,tracked,1920x1080,134.635,1,,1920,1080,4047,30000/1001,h264,/workspace/g364_scratch/dev/0KIBu1jQBL8_s90.mp4,70894470,9d4c86e2c0b578e127bdacc68d8db3b741d9926554f51dd3fd485d4dad6cff58,2026-09-10T15:49:46Z
UHJ90jJmCYw_s90,UHJ90jJmCYw,90,ncaa_basketball,ncaa_basketball:UHJ90jJmCYw,ncaa_basketball,tracked,1920x1080,134.468,1,,1920,1080,4047,30000/1001,h264,/workspace/g364_scratch/dev/UHJ90jJmCYw_s90.mp4,74227411,bb32a7ae1d772fc0348616340f993668bff3682ccf54b22ddc46c266e73bb6b3,2026-09-10T15:49:46Z
fiba--x4DRmtYn4Q_s3530,-x4DRmtYn4Q,3530,basketball/fiba,basketball:-x4DRmtYn4Q,basketball,tracked,1920x1080,133.000,1,,1920,1080,3991,30/1,h264,/workspace/g364_scratch/dev/-x4DRmtYn4Q_s3530.mp4,48428932,94806d1560dd568de56db27ce543d54452a6e51c1ce4a77262c767d01622c930,2026-09-10T15:49:46Z
lnb-GnTuUGxkWOE_s1415,GnTuUGxkWOE,1415,basketball/lnb,basketball:GnTuUGxkWOE,basketball,tracked,1920x1080,131.700,1,,1920,1080,3961,30/1,h264,/workspace/g364_scratch/dev/GnTuUGxkWOE_s1415.mp4,58380942,d23082d3a3412412fcfc9244bb4e91ed27b126bea61d03336c29ff1395354541,2026-09-10T15:49:46Z
