section_id,video_id,offset_s,competition,game_id,sport,status,source_resolution,duration_s,eligible,ineligible_reason
ncaa_basketball_IB-_u4gW3ds_1080p,,,ncaa_basketball,,ncaa_basketball,thin,1920x1080,604.437,0,no_video_id_or_offset
ncaa_basketball_WFl3V7ZY4ss,,,ncaa_basketball,,ncaa_basketball,thin,1920x1080,840.640,0,no_video_id_or_offset
wnba_01_1080p,,,wnba,,wnba,thin,1920x1080,602.000,0,no_video_id_or_offset
wnba_06,,,wnba,,wnba,thin,1920x1080,955.800,0,no_video_id_or_offset
ncaa_basketball_mRkuGgeECak,,,ncaa_basketball,,ncaa_basketball,thin,1920x1080,964.464,0,no_video_id_or_offset
ncaa_basketball_zqBCKovJCQU,,,ncaa_basketball,,ncaa_basketball,thin,1920x1080,965.598,0,no_video_id_or_offset
ncaa_basketball_sRtHQbywiTE,,,ncaa_basketball,,ncaa_basketball,thin,1280x720,964.430,0,no_video_id_or_offset
wnba_02,,,wnba,,wnba,thin,1280x720,960.267,0,no_video_id_or_offset
ncaa_basketball_sRtHQbywiTE,,,ncaa_basketball,,ncaa_basketball,tracked,1280x720,964.430,0,no_video_id_or_offset
ncaa_basketball_IB-_u4gW3ds_1080p,,,ncaa_basketball,,ncaa_basketball,tracked,1920x1080,604.437,0,no_video_id_or_offset
ncaa_basketball_zqBCKovJCQU,,,ncaa_basketball,,ncaa_basketball,tracked,1920x1080,965.598,0,no_video_id_or_offset
ncaa_basketball_WFl3V7ZY4ss,,,ncaa_basketball,,ncaa_basketball,tracked,1920x1080,840.640,0,no_video_id_or_offset
ncaa_basketball_mRkuGgeECak,,,ncaa_basketball,,ncaa_basketball,tracked,1920x1080,964.464,0,no_video_id_or_offset
wnba_01_1080p,,,wnba,,wnba,tracked,1920x1080,602.000,0,no_video_id_or_offset
wnba_06,,,wnba,,wnba,tracked,1920x1080,955.800,0,no_video_id_or_offset
wnba_02,,,wnba,,wnba,tracked,1280x720,960.267,0,no_video_id_or_offset
wnba_04,,,wnba,,wnba,tracked,1280x720,960.633,0,no_video_id_or_offset
g220c_jh3fnwMi7dM,,,basketball,,basketball,tracked,1920x1080,962.167,0,no_video_id_or_offset
wnba_05,,,wnba,,wnba,tracked,1280x720,960.500,0,no_video_id_or_offset
den_phx_2025,,,nba,,nba,tracked,1280x720,587.704,0,no_video_id_or_offset
okc_dal_2025,,,nba,,nba,tracked,1280x720,592.525,0,no_video_id_or_offset
gsw_lakers_2025,,,nba,,nba,tracked,1280x720,696.396,0,no_video_id_or_offset
ncaa_basketball_tiUvyvWOCxo,,,ncaa_basketball,,ncaa_basketball,tracked,1280x720,964.430,0,no_video_id_or_offset
mem_nop_2025,,,nba,,nba,tracked,1280x720,792.542,0,no_video_id_or_offset
bos_mia_playoffs,,,nba,,nba,tracked,1280x720,920.136,0,no_video_id_or_offset
mia_bkn_2025,,,nba,,nba,tracked,1280x720,922.622,0,no_video_id_or_offset
0022500594_s300,,,nba,,nba,tracked,640x360,151.367,0,no_video_id_or_offset
0022500594_s2700,,,nba,,nba,tracked,640x360,151.367,0,no_video_id_or_offset
mil_chi_2025,,,nba,,nba,tracked,1280x720,906.472,0,no_video_id_or_offset
0022500575_s300,,,nba,,nba,tracked,640x360,151.084,0,no_video_id_or_offset
0022500575_s5400,,,nba,,nba,tracked,640x360,152.653,0,no_video_id_or_offset
0022500630_s2700,,,nba,,nba,tracked,640x360,154.021,0,no_video_id_or_offset
0022500630_s300,,,nba,,nba,tracked,640x360,151.084,0,no_video_id_or_offset
0022500575_s2700,,,nba,,nba,tracked,640x360,152.119,0,no_video_id_or_offset
0022500575_s8100,,,nba,,nba,tracked,640x360,151.284,0,no_video_id_or_offset
