metric_type,arm,gate,duration,n,rejected_n,share,wilson_lo_permille,wilson_hi_permille
DETECTION,A1_FROZEN,any_gate,FULL,000034,000034,1.000000,0898,1000
DETECTION,A1_FROZEN,any_gate,30s,000034,000034,1.000000,0898,1000
DETECTION,A1_FROZEN,any_gate,10s,000034,000034,1.000000,0898,1000
DETECTION,A1_FROZEN,any_gate,2s,000034,000034,1.000000,0898,1000
DETECTION,A2_ID_MERGE,any_gate,FULL,000034,000034,1.000000,0898,1000
DETECTION,A2_ID_MERGE,any_gate,30s,000034,000034,1.000000,0898,1000
DETECTION,A2_ID_MERGE,any_gate,10s,000034,000033,0.970588,0851,0995
DETECTION,A2_ID_MERGE,any_gate,2s,000034,000034,1.000000,0898,1000
DETECTION,A5_BALL_SHIFT,any_gate,FULL,000034,000013,0.382353,0239,0550
DETECTION,A5_BALL_SHIFT,any_gate,30s,000034,000009,0.264706,0146,0431
DETECTION,A5_BALL_SHIFT,any_gate,10s,000034,000007,0.205882,0103,0368
DETECTION,A5_BALL_SHIFT,any_gate,2s,000034,000032,0.941176,0809,0984
FALSE_REJECTION,A0,any_gate,FULL,000034,000013,0.382353,0239,0550
FALSE_REJECTION,A0,any_gate,30s,000034,000009,0.264706,0146,0431
FALSE_REJECTION,A0,any_gate,10s,000034,000007,0.205882,0103,0368
FALSE_REJECTION,A0,any_gate,2s,000034,000034,1.000000,0898,1000
FALSE_REJECTION,A0,attempted_frames,FULL,000000,000000,0.000000,0000,0000
FALSE_REJECTION,A0,attempted_frames,30s,000000,000000,0.000000,0000,0000
FALSE_REJECTION,A0,attempted_frames,10s,000000,000000,0.000000,0000,0000
FALSE_REJECTION,A0,attempted_frames,2s,000000,000000,0.000000,0000,0000
FALSE_REJECTION,A0,ball_detected_share,FULL,000034,000000,0.000000,0000,0102
FALSE_REJECTION,A0,ball_detected_share,30s,000034,000000,0.000000,0000,0102
FALSE_REJECTION,A0,ball_detected_share,10s,000034,000000,0.000000,0000,0102
FALSE_REJECTION,A0,ball_detected_share,2s,000034,000000,0.000000,0000,0102
FALSE_REJECTION,A0,ball_valid_attempted_frames,FULL,000034,000000,0.000000,0000,0102
FALSE_REJECTION,A0,ball_valid_attempted_frames,30s,000034,000000,0.000000,0000,0102
FALSE_REJECTION,A0,ball_valid_attempted_frames,10s,000034,000000,0.000000,0000,0102
FALSE_REJECTION,A0,ball_valid_attempted_frames,2s,000034,000000,0.000000,0000,0102
FALSE_REJECTION,A0,coordinate_contract,FULL,000000,000000,0.000000,0000,0000
FALSE_REJECTION,A0,coordinate_contract,30s,000000,000000,0.000000,0000,0000
FALSE_REJECTION,A0,coordinate_contract,10s,000000,000000,0.000000,0000,0000
FALSE_REJECTION,A0,coordinate_contract,2s,000000,000000,0.000000,0000,0000
FALSE_REJECTION,A0,coverage_attempted_frames,FULL,000000,000000,0.000000,0000,0000
FALSE_REJECTION,A0,coverage_attempted_frames,30s,000000,000000,0.000000,0000,0000
FALSE_REJECTION,A0,coverage_attempted_frames,10s,000000,000000,0.000000,0000,0000
FALSE_REJECTION,A0,coverage_attempted_frames,2s,000000,000000,0.000000,0000,0000
FALSE_REJECTION,A0,distinct_position_ratio,FULL,000034,000009,0.264706,0146,0431
FALSE_REJECTION,A0,distinct_position_ratio,30s,000034,000005,0.147059,0064,0301
FALSE_REJECTION,A0,distinct_position_ratio,10s,000034,000000,0.000000,0000,0102
FALSE_REJECTION,A0,distinct_position_ratio,2s,000034,000000,0.000000,0000,0102
FALSE_REJECTION,A0,duplicate_frame_identity,FULL,000034,000000,0.000000,0000,0102
FALSE_REJECTION,A0,duplicate_frame_identity,30s,000034,000000,0.000000,0000,0102
FALSE_REJECTION,A0,duplicate_frame_identity,10s,000034,000000,0.000000,0000,0102
FALSE_REJECTION,A0,duplicate_frame_identity,2s,000034,000000,0.000000,0000,0102
FALSE_REJECTION,A0,g325_wholly_off_frame,FULL,000000,000000,0.000000,0000,0000
FALSE_REJECTION,A0,g325_wholly_off_frame,30s,000000,000000,0.000000,0000,0000
FALSE_REJECTION,A0,g325_wholly_off_frame,10s,000000,000000,0.000000,0000,0000
FALSE_REJECTION,A0,g325_wholly_off_frame,2s,000000,000000,0.000000,0000,0000
FALSE_REJECTION,A0,insufficient_data,FULL,000034,000000,0.000000,0000,0102
FALSE_REJECTION,A0,insufficient_data,30s,000034,000000,0.000000,0000,0102
FALSE_REJECTION,A0,insufficient_data,10s,000034,000000,0.000000,0000,0102
FALSE_REJECTION,A0,insufficient_data,2s,000034,000034,1.000000,0898,1000
FALSE_REJECTION,A0,jump_max,FULL,000000,000000,0.000000,0000,0000
FALSE_REJECTION,A0,jump_max,30s,000000,000000,0.000000,0000,0000
FALSE_REJECTION,A0,jump_max,10s,000000,000000,0.000000,0000,0000
FALSE_REJECTION,A0,jump_max,2s,000000,000000,0.000000,0000,0000
FALSE_REJECTION,A0,jump_p95,FULL,000000,000000,0.000000,0000,0000
FALSE_REJECTION,A0,jump_p95,30s,000000,000000,0.000000,0000,0000
FALSE_REJECTION,A0,jump_p95,10s,000000,000000,0.000000,0000,0000
FALSE_REJECTION,A0,jump_p95,2s,000000,000000,0.000000,0000,0000
FALSE_REJECTION,A0,liveness_frozen,FULL,000034,000000,0.000000,0000,0102
FALSE_REJECTION,A0,liveness_frozen,30s,000034,000000,0.000000,0000,0102
FALSE_REJECTION,A0,liveness_frozen,10s,000034,000000,0.000000,0000,0102
FALSE_REJECTION,A0,liveness_frozen,2s,000034,000000,0.000000,0000,0102
FALSE_REJECTION,A0,median_step_distance,FULL,000034,000002,0.058824,0016,0191
FALSE_REJECTION,A0,median_step_distance,30s,000034,000002,0.058824,0016,0191
FALSE_REJECTION,A0,median_step_distance,10s,000034,000002,0.058824,0016,0191
FALSE_REJECTION,A0,median_step_distance,2s,000034,000013,0.382353,0239,0550
FALSE_REJECTION,A0,median_track_len,FULL,000034,000000,0.000000,0000,0102
FALSE_REJECTION,A0,median_track_len,30s,000034,000000,0.000000,0000,0102
FALSE_REJECTION,A0,median_track_len,10s,000034,000000,0.000000,0000,0102
FALSE_REJECTION,A0,median_track_len,2s,000034,000003,0.088235,0030,0230
FALSE_REJECTION,A0,oob,FULL,000000,000000,0.000000,0000,0000
FALSE_REJECTION,A0,oob,30s,000000,000000,0.000000,0000,0000
FALSE_REJECTION,A0,oob,10s,000000,000000,0.000000,0000,0000
FALSE_REJECTION,A0,oob,2s,000000,000000,0.000000,0000,0000
FALSE_REJECTION,A0,stationary_track_share,FULL,000034,000003,0.088235,0030,0230
FALSE_REJECTION,A0,stationary_track_share,30s,000034,000004,0.117647,0047,0266
FALSE_REJECTION,A0,stationary_track_share,10s,000034,000005,0.147059,0064,0301
FALSE_REJECTION,A0,stationary_track_share,2s,000034,000012,0.352941,0215,0521
FALSE_REJECTION,A0,zero_step_share,FULL,000034,000010,0.294118,0168,0462
FALSE_REJECTION,A0,zero_step_share,30s,000034,000004,0.117647,0047,0266
FALSE_REJECTION,A0,zero_step_share,10s,000034,000000,0.000000,0000,0102
FALSE_REJECTION,A0,zero_step_share,2s,000034,000001,0.029412,0005,0149
