section_name,game_id,pool,tracking_path,tracking_sha256,tracking_bytes,tracking_rows,ball_path,ball_sha256,ball_bytes,ball_rows,unique_frames,finished_at
1zPhldjbJnU_s1196,1zPhldjbJnU,POST_EPOCH,/workspace/nba-ai-system/data/tracking/1zPhldjbJnU_s1196/tracking_data.csv,59300fd217b9db1da637dd4a98034a3a49583b77e933825a0c3be1a4a60b6d34,1529175,004017,/workspace/nba-ai-system/data/tracking/1zPhldjbJnU_s1196/ball_tracking.csv,7e95d1aac201f5651c424f93918582e6f17e6c3dafe8b4f947782376f1ec03c7,030512,001000,000995,1788913678
1zPhldjbJnU_s3408,1zPhldjbJnU,POST_EPOCH,/workspace/nba-ai-system/data/tracking/1zPhldjbJnU_s3408/tracking_data.csv,ecdc3f3020e10d82f34cbd5d047fdeb251ef4e0f13dfeeda5e7a7fc57a955e4d,1644986,004316,/workspace/nba-ai-system/data/tracking/1zPhldjbJnU_s3408/ball_tracking.csv,fdf7b4aec165df552a841bd32d00d6cd697c83ebdb94e6a557faeb93b30efa84,031525,001000,000996,1788913984
1zPhldjbJnU_s5620,1zPhldjbJnU,POST_EPOCH,/workspace/nba-ai-system/data/tracking/1zPhldjbJnU_s5620/tracking_data.csv,e57f720b79e9565572bcdcc4986ac825efafdc8141f424bc74789d051eb2a7d9,2158777,005636,/workspace/nba-ai-system/data/tracking/1zPhldjbJnU_s5620/ball_tracking.csv,8fb0639bef9a662438499425a9c501a79fef0e92c030e9430ecff0803386f74c,033749,001000,001000,1788914045
3fT6aYz2N9w_s1339,3fT6aYz2N9w,POST_EPOCH,/workspace/nba-ai-system/data/tracking/3fT6aYz2N9w_s1339/tracking_data.csv,f1ee541de68b83b7814cbf493687c1c12a333f59c38f669b5ec15ef0545fb476,1984635,005158,/workspace/nba-ai-system/data/tracking/3fT6aYz2N9w_s1339/ball_tracking.csv,364251d8aa608cd930052da9e00dd02eb950a0e489b8b81ccf14030f6449dab1,033207,001000,000980,1788911836
3fT6aYz2N9w_s5086,3fT6aYz2N9w,POST_EPOCH,/workspace/nba-ai-system/data/tracking/3fT6aYz2N9w_s5086/tracking_data.csv,f0b578b0af894d54519dfd8d27c5e84e2bba91b8c6195eafa2824fc86661f5ae,234181,000632,/workspace/nba-ai-system/data/tracking/3fT6aYz2N9w_s5086/ball_tracking.csv,39647eafa86a9e46bb8f55e9ee921a3e5656940b9195ce4c2a389120faa46196,030063,001000,000481,1788912307
50pp-OqYVok_s2750,50pp-OqYVok,POST_EPOCH,/workspace/nba-ai-system/data/tracking/50pp-OqYVok_s2750/tracking_data.csv,b8b93adfd66c3ee54cd240b86c20d4a1945c5fb3b6beaaa6793da44312968344,1766925,004508,/workspace/nba-ai-system/data/tracking/50pp-OqYVok_s2750/ball_tracking.csv,a5eddcbb197322fd708e93948d3d175538d82df655a07212aded0f56c6452a08,034612,001000,000999,1788912900
50pp-OqYVok_s5410,50pp-OqYVok,POST_EPOCH,/workspace/nba-ai-system/data/tracking/50pp-OqYVok_s5410/tracking_data.csv,f85f3b9e5ce9d3c68e434b563bb08b39da32eb8bd1aad0f3083335a0bdd63968,1618248,004194,/workspace/nba-ai-system/data/tracking/50pp-OqYVok_s5410/ball_tracking.csv,de0d1e7820127a05bf2a3468a5aabca8157ccd30228b2c05723143439b3d0c5e,032899,001000,000991,1788913267
7Ci3zQ5Vm4M_s2312,7Ci3zQ5Vm4M,POST_EPOCH,/workspace/nba-ai-system/data/tracking/7Ci3zQ5Vm4M_s2312/tracking_data.csv,075750ca973d43aa077d17e6961a2870b02118a1dca262718a93d8646438ac3a,1631263,004257,/workspace/nba-ai-system/data/tracking/7Ci3zQ5Vm4M_s2312/ball_tracking.csv,0ef20b42c4c68845c47d23b066158bdcdd10bbb8fd185908b6118c1673e538f2,032651,001000,000965,1788913370
UPco-jzOoEg_s2796,UPco-jzOoEg,POST_EPOCH,/workspace/nba-ai-system/data/tracking/UPco-jzOoEg_s2796/tracking_data.csv,c4028d45bcda5005cabe931e4eab8619081b7bae1feafcc51287aa38896e51f7,578985,001517,/workspace/nba-ai-system/data/tracking/UPco-jzOoEg_s2796/ball_tracking.csv,74dd069dc7f5f1f07c0b8bc7e5d9866d218225f01828930d003c0098cdf82725,015765,000500,000445,1788910860
acb-8Oh7-GrvKvE_s2630,acb-8Oh7-GrvKvE,POST_EPOCH,/workspace/nba-ai-system/data/tracking/acb-8Oh7-GrvKvE_s2630/tracking_data.csv,dcfc2b7d90ae9c55519b557bb366966038e2c95f8697558d6cef6d1149e500a2,966830,002578,/workspace/nba-ai-system/data/tracking/acb-8Oh7-GrvKvE_s2630/ball_tracking.csv,01c1adcc1b1295c2bd00ef51071017f6b25ad270cbd41a5e888da02f8bdf320f,013998,000500,000470,1788910180
