section_name,game_id,pool,present,total_rows,unique_frames,eligible_150,ball_header_px,finished_at
0022500081_s357,0022500081,G346_LIVE,PRESENT,000003,000001,False,False,1788845805
3fT6aYz2N9w_s1339,3fT6aYz2N9w,POST_EPOCH,PRESENT,005159,000980,True,True,1788911836
3fT6aYz2N9w_s2588,3fT6aYz2N9w,POST_EPOCH,PRESENT,004257,000987,True,True,1788911919
UPco-jzOoEg_s1443,UPco-jzOoEg,POST_EPOCH,PRESENT,001976,000497,True,True,1788910946
UPco-jzOoEg_s2796,UPco-jzOoEg,POST_EPOCH,PRESENT,001518,000445,True,True,1788910860
acb-8Oh7-GrvKvE_s1360,acb-8Oh7-GrvKvE,POST_EPOCH,PRESENT,001883,000500,True,True,1788909881
acb-8Oh7-GrvKvE_s2630,acb-8Oh7-GrvKvE,POST_EPOCH,PRESENT,002579,000470,True,True,1788910180
acb-8Oh7-GrvKvE_s3900,acb-8Oh7-GrvKvE,POST_EPOCH,PRESENT,000056,000053,False,True,1788910286
acb-8Oh7-GrvKvE_s5170,acb-8Oh7-GrvKvE,POST_EPOCH,PRESENT,001290,000456,True,True,1788910327
acb-8Oh7-GrvKvE_s6440,acb-8Oh7-GrvKvE,POST_EPOCH,PRESENT,002531,000470,True,True,1788910410
acb-DCA1PAsKVJs_s2840,acb-DCA1PAsKVJs,G346_LIVE,PRESENT,000002,000001,False,False,1788882847
cba-FaMCJR6tFm0_s5062,cba-FaMCJR6tFm0,G346_LIVE,PRESENT,002653,000600,True,False,1788896386
eurocup-Y6POC6V1Y5E_s1221,eurocup-Y6POC6V1Y5E,POST_EPOCH,PRESENT,003928,000963,True,True,1788907315
eurocup-Y6POC6V1Y5E_s2352,eurocup-Y6POC6V1Y5E,POST_EPOCH,PRESENT,005003,000970,True,True,1788908713
eurocup-Y6POC6V1Y5E_s3483,eurocup-Y6POC6V1Y5E,POST_EPOCH,PRESENT,003984,000892,True,True,1788909288
eurocup-Y6POC6V1Y5E_s4614,eurocup-Y6POC6V1Y5E,POST_EPOCH,PRESENT,001856,000783,True,True,1788908030
eurocup-Y6POC6V1Y5E_s5745,eurocup-Y6POC6V1Y5E,POST_EPOCH,PRESENT,004171,001000,True,True,1788908651
eurocup-Y6POC6V1Y5E_s90,eurocup-Y6POC6V1Y5E,POST_EPOCH,PRESENT,005289,001000,True,True,1788908566
euroleague-AIPW_g_VZN0_s1153,euroleague-AIPW_g_VZN0,POST_EPOCH,PRESENT,001953,000433,True,True,1788911562
euroleague-AIPW_g_VZN0_s2216,euroleague-AIPW_g_VZN0,POST_EPOCH,PRESENT,003800,000998,True,True,1788911628
euroleague-AIPW_g_VZN0_s3279,euroleague-AIPW_g_VZN0,POST_EPOCH,PRESENT,004145,000888,True,True,1788911733
euroleague-AIPW_g_VZN0_s4342,euroleague-AIPW_g_VZN0,POST_EPOCH,PRESENT,002808,000992,True,True,1788911733
euroleague-AIPW_g_VZN0_s5405,euroleague-AIPW_g_VZN0,POST_EPOCH,PRESENT,004161,000974,True,True,1788911733
euroleague-AIPW_g_VZN0_s90,euroleague-AIPW_g_VZN0,POST_EPOCH,PRESENT,003839,000995,True,True,1788911918
fiba-UG_eQNRDHiI_s1385,fiba-UG_eQNRDHiI,POST_EPOCH,PRESENT,004594,000994,True,True,1788910966
fiba-UG_eQNRDHiI_s2680,fiba-UG_eQNRDHiI,POST_EPOCH,PRESENT,003734,000998,True,True,1788911050
fiba-UG_eQNRDHiI_s3975,fiba-UG_eQNRDHiI,POST_EPOCH,PRESENT,005985,000967,True,True,1788910860
fiba-UG_eQNRDHiI_s5270,fiba-UG_eQNRDHiI,POST_EPOCH,PRESENT,005126,000974,True,True,1788911008
fiba-UG_eQNRDHiI_s90,fiba-UG_eQNRDHiI,POST_EPOCH,PRESENT,005004,000970,True,True,1788911113
fiba-jFUMvm_epUE_s5410,fiba-jFUMvm_epUE,POST_EPOCH,PRESENT,003321,000936,True,True,1788906587
fiba-jFUMvm_epUE_s6740,fiba-jFUMvm_epUE,POST_EPOCH,PRESENT,001315,000422,True,True,1788908030
fiba-jFUMvm_epUE_s90,fiba-jFUMvm_epUE,POST_EPOCH,PRESENT,001400,000642,True,True,1788908882
lnb-1CBY-LXG8VA_s6525,lnb-1CBY-LXG8VA,POST_EPOCH,PRESENT,005499,000990,True,True,1788909245
lnb-1CBY-LXG8VA_s90,lnb-1CBY-LXG8VA,POST_EPOCH,PRESENT,005311,001000,True,True,1788909561
lnb-ouDVA0vM20g_s1379,lnb-ouDVA0vM20g,G346_LIVE,PRESENT,004362,001000,True,False,1788896450
nbl-U6Ng-QmKKzk_s90,nbl-U6Ng-QmKKzk,POST_EPOCH,PRESENT,002119,000578,True,True,1788909456
ncaaw-lFZWLVzvCEs_s1161,ncaaw-lFZWLVzvCEs,POST_EPOCH,PRESENT,004108,000995,True,True,1788909309
ncaaw-lFZWLVzvCEs_s2232,ncaaw-lFZWLVzvCEs,POST_EPOCH,PRESENT,003601,000990,True,True,1788909711
ncaaw-lFZWLVzvCEs_s3303,ncaaw-lFZWLVzvCEs,POST_EPOCH,PRESENT,005141,000986,True,True,1788909753
ncaaw-lFZWLVzvCEs_s4374,ncaaw-lFZWLVzvCEs,POST_EPOCH,PRESENT,002971,000936,True,True,1788910053
ncaaw-lFZWLVzvCEs_s5445,ncaaw-lFZWLVzvCEs,POST_EPOCH,PRESENT,004459,001000,True,True,1788910307
ncaaw-lFZWLVzvCEs_s90,ncaaw-lFZWLVzvCEs,POST_EPOCH,PRESENT,004111,001000,True,True,1788910265
