arm,duration,gate,n,reached_n,evaluated_n,rejected_n,rejection_share,rejection_permille,wilson_lo_permille,wilson_hi_permille
A0,10s,any_gate,000034,000034,000034,000007,0.205882,0206,0103,0368
A0,10s,attempted_frames,000034,000034,000000,000000,0.000000,0000,0000,0000
A0,10s,ball_detected_share,000034,000034,000034,000000,0.000000,0000,0000,0102
A0,10s,ball_valid_attempted_frames,000034,000034,000034,000000,0.000000,0000,0000,0102
A0,10s,coordinate_contract,000034,000034,000000,000000,0.000000,0000,0000,0000
A0,10s,coverage_attempted_frames,000034,000034,000000,000000,0.000000,0000,0000,0000
A0,10s,distinct_position_ratio,000034,000034,000034,000000,0.000000,0000,0000,0102
A0,10s,duplicate_frame_identity,000034,000034,000034,000000,0.000000,0000,0000,0102
A0,10s,g325_wholly_off_frame,000034,000034,000000,000000,0.000000,0000,0000,0000
A0,10s,insufficient_data,000034,000034,000034,000000,0.000000,0000,0000,0102
A0,10s,jump_max,000034,000034,000000,000000,0.000000,0000,0000,0000
A0,10s,jump_p95,000034,000034,000000,000000,0.000000,0000,0000,0000
A0,10s,liveness_frozen,000034,000034,000034,000000,0.000000,0000,0000,0102
A0,10s,median_step_distance,000034,000034,000034,000002,0.058824,0059,0016,0191
A0,10s,median_track_len,000034,000034,000034,000000,0.000000,0000,0000,0102
A0,10s,oob,000034,000034,000000,000000,0.000000,0000,0000,0000
A0,10s,stationary_track_share,000034,000034,000034,000005,0.147059,0147,0064,0301
A0,10s,zero_step_share,000034,000034,000034,000000,0.000000,0000,0000,0102
A0,2s,any_gate,000034,000034,000034,000034,1.000000,1000,0898,1000
A0,2s,attempted_frames,000034,000034,000000,000000,0.000000,0000,0000,0000
A0,2s,ball_detected_share,000034,000034,000034,000000,0.000000,0000,0000,0102
A0,2s,ball_valid_attempted_frames,000034,000034,000034,000000,0.000000,0000,0000,0102
A0,2s,coordinate_contract,000034,000034,000000,000000,0.000000,0000,0000,0000
A0,2s,coverage_attempted_frames,000034,000034,000000,000000,0.000000,0000,0000,0000
A0,2s,distinct_position_ratio,000034,000034,000034,000000,0.000000,0000,0000,0102
A0,2s,duplicate_frame_identity,000034,000034,000034,000000,0.000000,0000,0000,0102
A0,2s,g325_wholly_off_frame,000034,000034,000000,000000,0.000000,0000,0000,0000
