player_id,team,frames_tracked,tracking_pct,total_distance_px,avg_velocity,max_velocity,possession_frames,possession_pct,shots_attempted,drive_attempts,drive_rate,paint_frames,paint_pct,avg_dist_to_basket,avg_nearest_opponent
1,green,151,0.305,19985.6,132.35,2306.72,30,0.199,0,7,0.0464,24,0.159,975.2,0.0
2,green,236,0.477,16345.1,69.26,2292.97,104,0.441,0,41,0.1737,44,0.186,704.8,0.0
3,green,97,0.196,9210.3,94.95,1850.98,49,0.505,0,11,0.1134,36,0.371,610.9,0.0
4,green,137,0.277,15689.8,114.52,2816.52,3,0.022,0,0,0.0,12,0.088,829.7,0.0
5,green,14,0.028,3055.1,218.22,1433.81,0,0.0,0,0,0.0,0,0.0,1365.2,0.0
6,green,109,0.22,4305.9,39.5,718.17,18,0.165,0,0,0.0,36,0.33,735.6,0.0
7,green,36,0.073,1130.9,31.41,122.16,0,0.0,0,0,0.0,0,0.0,1059.1,0.0
8,green,21,0.042,2707.6,128.94,1144.1,0,0.0,0,0,0.0,0,0.0,848.5,0.0
9,green,130,0.263,3447.6,26.52,695.77,12,0.092,0,1,0.0077,0,0.0,1031.1,0.0
10,green,41,0.083,2699.8,65.85,1285.94,0,0.0,0,0,0.0,0,0.0,1270.9,0.0
