game_id,shot_id,frame,timestamp,player_id,team,x_position,y_position,court_zone,defender_distance,team_spacing,possession_id,possession_duration,made
22400067,1,1743,29.079,7,white,62,623,paint,,11656.5,10,3,
22400067,2,4431,73.924,3,green,474,772,paint,,51313.0,174,5,
22400067,4,5007,83.533,10,white,819,879,3pt_arc,,0.0,326,3,
22400067,7,5547,92.542,8,white,1185,1001,mid_range,,0.0,424,10,
22400067,13,6696,111.712,6,white,2550,1443,3pt_arc,,0.0,624,3,
22400067,14,7326,122.222,8,white,1185,1001,mid_range,,0.0,704,3,
22400067,18,7962,132.833,5,green,603,482,3pt_arc,,0.0,861,3,
22400067,27,8460,141.141,8,white,1185,1001,mid_range,,0.0,989,5,
22400067,33,9096,151.752,5,green,603,482,3pt_arc,,0.0,1082,3,
22400067,39,10299,171.822,7,white,41,522,paint,,0.0,1266,3,
22400067,41,10788,179.98,4,green,19,201,corner_3,,0.0,1389,3,
22400067,46,11442,190.891,10,white,498,469,3pt_arc,,0.0,1491,3,
22400067,48,12573,209.76,6,white,2550,1443,3pt_arc,,0.0,1656,3,
