frame,attacking_team,defending_team,pressure
105,white,green,0.7386
108,green,white,0.6917
111,green,white,0.5917
114,white,green,0.5456
117,green,white,0.5712
120,white,green,0.5738
123,white,green,0.536
126,white,green,0.5231
129,white,green,0.5051
132,white,green,0.4919
135,white,green,0.481
138,white,green,0.4824
141,green,white,0.4953
144,green,white,0.5063
147,green,white,0.5071
150,green,white,0.5083
153,white,green,0.51
156,white,green,0.5105
159,white,green,0.5161
162,white,green,0.5212
165,white,green,0.5089
168,white,green,0.5003
171,white,green,0.5031
174,white,green,0.5013
177,white,green,0.4952
180,white,green,0.4909
183,white,green,0.483
186,white,green,0.4722
189,white,green,0.4836
192,white,green,0.4974
195,white,green,0.5097
198,white,green,0.5156
201,green,white,0.5206
204,green,white,0.5256
207,green,white,0.5372
210,green,white,0.5385
213,green,white,0.5391
903,green,white,0.5406
906,green,white,0.5372
909,green,white,0.5339
912,green,white,0.5367
915,green,white,0.5439
918,green,white,0.5491
921,green,white,0.5613
924,green,white,0.5613
927,green,white,0.5437
930,green,white,0.5437
933,green,white,0.5403
936,green,white,0.5183
939,green,white,0.4933
942,green,white,0.47
945,green,white,0.4467
948,green,white,0.4167
951,green,white,0.3917
954,green,white,0.3667
957,green,white,0.3517
960,green,white,0.3417
963,green,white,0.3317
966,green,white,0.3217
969,green,white,0.3117
972,green,white,0.3017
981,white,green,0.2983
984,white,green,0.2783
987,white,green,0.255
990,white,green,0.235
993,white,green,0.235
996,white,green,0.235
999,white,green,0.2561
1002,white,green,0.2669
1005,white,green,0.2703
1008,white,green,0.2736
1011,white,green,0.2736
1012,green,white,0.3035
1014,green,white,0.2985
1015,green,white,0.3226
1017,green,white,0.3176
1018,green,white,0.3373
1020,green,white,0.3306
1021,green,white,0.3505
1023,white,green,0.3581
1024,white,green,0.3581
1026,white,green,0.3499
1027,white,green,0.3599
1029,white,green,0.3699
1030,white,green,0.3799
1032,white,green,0.3899
1033,white,green,0.3999
1035,white,green,0.3887
1036,green,white,0.4078
1038,green,white,0.4095
1039,green,white,0.4162
1041,green,white,0.4212
1042,green,white,0.4013
1044,green,white,0.4063
1045,green,white,0.3872
1047,green,white,0.3922
1048,green,white,0.3725
1050,green,white,0.3742
1051,green,white,0.3543
1053,green,white,0.3617
1054,green,white,0.3816
1056,green,white,0.3898
1057,green,white,0.3898
1059,white,green,0.4023
1060,green,white,0.4221
1062,white,green,0.4346
1063,green,white,0.4544
1065,white,green,0.4669
1066,green,white,0.4668
1069,green,white,0.4917
1072,green,white,0.4917
1075,green,white,0.5166
1078,green,white,0.5364
1081,white,green,0.5613
1084,white,green,0.5613
1087,white,green,0.5855
1090,green,white,0.5971
1093,green,white,0.6141
1096,green,white,0.628
1099,green,white,0.6154
1102,white,green,0.5965
1105,green,white,0.589
1108,green,white,0.59
1111,green,white,0.5802
1114,green,white,0.5536
1117,green,white,0.5368
1120,green,white,0.5101
1123,green,white,0.4938
1126,green,white,0.477
1129,green,white,0.4753
1132,green,white,0.4892
1135,green,white,0.4864
1138,green,white,0.4793
1141,green,white,0.4578
1144,white,green,0.4648
1147,green,white,0.4483
1150,green,white,0.4382
1153,green,white,0.423
1156,green,white,0.4249
1159,green,white,0.4416
1162,green,white,0.4425
1165,green,white,0.4404
1168,green,white,0.4406
1171,green,white,0.435
