frame,timestamp,player_id,team,x_position,y_position,x_norm,y_norm,velocity,acceleration,direction_deg,court_zone,ball_possession,distance_to_ball,nearest_opponent,nearest_teammate,event,team_spacing,spacing_hull_area,team_centroid_x,team_centroid_y,paint_count_own,paint_count_opp,possession_side,handler_isolation,bbox_x1,bbox_y1,bbox_x2,bbox_y2,ball_x2d,ball_y2d,ball_velocity,distance_to_basket,vel_toward_basket,drive_flag,ft_x,ft_y,dist_to_basket_ft,fast_break_flag,possession_id,possession_duration,confidence,play_type,paint_touches,off_ball_distance,shot_clock_est,scoreboard_shot_clock,scoreboard_game_clock,scoreboard_period,scoreboard_score_diff,scoreboard_confidence,possession_duration_sec,possession_type,ankle_x,ankle_y,contest_arm_angle,jump_detected,dribble_hand,ball_shot_arc_angle,ball_peak_height_px,ball_pass_speed_pxpf,player_name,jersey_number,team_abbrev,dribble_count,lineup_id,homography_valid
3498,58.358,2,green,3102,1669,0.9113,0.9755,5.39,5.39,291.8,corner_3,1,153.4,,,pass,0.0,0.0,0.0,0.0,0,0,,0.0,1,-12,1271,561,3058,1816,460.54,827.0,5.28,1,85.66,48.77,23.97,0,1,14,1.0,hand_off,0,0.0,22.6987,,,,,0.0,1.3,drive,,,0.0,0,unknown,-72.21943639851266,583.2876627855126,30.15745715776153,,,,0,1,0
3504,58.458,2,green,3102,1669,0.9113,0.9755,0.0,-5.39,0.0,corner_3,1,194.6,,,none,0.0,0.0,0.0,0.0,0,0,,0.0,2.199462890625,-11.733154296875,1269.056640625,560.9811401367188,3171,1487,347.86,827.0,0.0,0,85.66,48.77,23.97,0,1,15,0.933,hand_off,0,0.0,22.5986,,,,,0.0,1.4,half_court,,,0.0,0,unknown,-82.94292210759363,588.7487061948117,21.45084820907763,,,,0,1,0
3780,63.063,2,green,3094,1693,0.9089,0.9895,4.22,4.22,108.4,corner_3,1,118.4,,,none,0.0,0.0,0.0,0.0,0,0,,0.0,6,-13,1258,568,3062,1807,338.05,852.1,-4.18,0,85.44,49.47,24.7,0,1,16,1.0,hand_off,0,0.0,17.994,,,,,0.0,6.01,drive,,,0.0,0,unknown,-58.00761653111699,582.4798470852126,21.100947846009195,,,,0,1,0
3786,63.163,2,green,3073,1701,0.9028,0.9942,3.75,-0.47,159.1,corner_3,1,106.6,,,none,0.0,0.0,0.0,0.0,0,0,,0.0,210,-11,1201,588,3062,1807,0.0,864.0,-2.03,0,84.86,49.71,25.01,0,1,17,1.0,hand_off,0,0.0,17.8939,,,,,0.0,6.11,drive,,,0.0,0,unknown,74.39408819338502,542.4337517782016,0.0,,,,0,1,0
3792,63.263,2,green,3073,1701,0.9028,0.9942,0.0,-3.75,0.0,corner_3,1,106.6,,,none,0.0,0.0,0.0,0.0,0,0,,0.0,157.56591796875,-3.510162353515625,1271.7254638671875,585.8538513183594,3062,1807,0.0,864.0,0.0,0,84.86,49.71,25.01,0,1,18,0.933,hand_off,0,0.0,17.7938,,,,,0.0,6.21,half_court,,,0.0,0,unknown,82.38398066628945,558.7100616855531,0.0,,,,0,1,0
3798,63.363,1,green,3113,1596,0.9145,0.9328,0.0,0.0,0.0,corner_3,1,217.1,,,none,0.0,0.0,0.0,0.0,0,0,,0.0,295,-9,1114,561,3062,1807,0.0,753.2,0.0,0,85.96,46.64,21.82,0,1,19,1.0,hand_off,0,0.0,17.6937,,,,,0.0,6.31,half_court,,,0.0,0,unknown,84.3502224892941,556.1762670463879,0.0,,,,0,4,0
3804,63.463,5,green,3097,1679,0.9098,0.9813,0.0,0.0,0.0,corner_3,1,132.7,,,none,0.0,0.0,0.0,0.0,0,0,,0.0,209,-11,1083,567,3062,1807,0.0,837.7,0.0,0,85.52,49.06,24.28,0,1,20,1.0,hand_off,0,0.0,17.5936,,,,,0.0,6.41,half_court,,,0.0,0,unknown,84.94288097315737,554.2617665401576,0.0,,,,0,5,0
3810,63.563,5,green,3097,1679,0.9098,0.9813,0.0,0.0,0.0,corner_3,1,132.7,,,none,0.0,0.0,0.0,0.0,0,0,,0.0,209.0,-11.0,1083.0,567.0,3062,1807,0.0,837.7,0.0,0,85.52,49.06,24.28,0,1,21,0.933,hand_off,0,0.0,17.4935,,,,,0.0,6.51,half_court,,,0.0,0,unknown,84.89295298898219,553.6679364474844,0.0,,,,0,5,0
3816,63.664,5,green,3097,1679,0.9098,0.9813,0.0,0.0,0.0,corner_3,1,131.7,,,none,0.0,0.0,0.0,0.0,0,0,,0.0,209.0,-11.0,1083.0,567.0,3062,1806,1.0,837.7,0.0,0,85.52,49.06,24.28,0,1,22,0.867,hand_off,0,0.0,17.3934,,,,,0.0,6.61,half_court,,,0.0,0,unknown,84.16299968351545,554.4987199995812,0.16666666666666666,,,,0,5,0
3822,63.764,3,green,3095,1681,0.9092,0.9825,8.1,7.05,53.4,corner_3,1,129.3,,,none,0.0,0.0,0.0,0.0,0,0,,0.0,107,2,1195,569,3062,1806,0.0,840.1,-5.49,0,85.47,49.12,24.35,0,1,23,1.0,hand_off,0,0.0,17.2933,,,,,0.0,6.71,drive,,,0.0,0,unknown,81.96650214084353,556.5807681833736,0.0,,,,0,2,0
