game_id,possession_id,team,start_frame,end_frame,duration_frames,duration_sec,avg_spacing,avg_defensive_pressure,avg_vel_toward_basket,drive_attempts,shot_attempted,shot_frame,fast_break,play_type,result,outcome_score,pass_count,screen_count,drive_count,cut_count,lineup_id,max_paint_touches,avg_off_ball_distance,min_shot_clock_est,dominant_zone,transition_time_sec,offensive_rebound_poss,pbp_play_type,pbp_score_home,pbp_score_away,pbp_period,pbp_matched,score_diff,source
0022500757,3161,NYK,26880,27881,1002,16.72,71.0,222.2,1.05,5,1,27138,0,cut,unknown,,1,10,1,49,50,1,210.2,7.4,paint,,0,,,,,False,,
0022500757,3193,NYK,28356,28571,216,3.6,166.6,296.5,,0,0,,0,cut,unknown,,0,0,0,13,153,0,104.9,20.5,mid_range,,0,,,,,False,,
0022500757,3194,BOS,28572,29849,1277,21.31,136.7,406.8,,0,1,29826,0,cut,unknown,,0,1,0,5,173,0,55.2,21.6,paint,,0,,,,,False,,
0022500757,3200,BOS,29958,31721,1763,29.42,,324.8,0.19,2,1,31452,0,cut,unknown,,0,2,0,4,246,1,12.0,21.8,3pt_arc,,0,,,,,False,,
0022500757,3205,NYK,31722,31979,258,4.3,502.9,398.5,3.76,5,1,31932,1,cut,unknown,,1,1,0,8,304,0,251.3,19.8,corner_3,,0,,,,,False,,
0022500757,3206,BOS,31980,32555,576,9.61,467.1,,7.67,2,0,,0,cut,unknown,,0,3,0,44,349,1,526.1,14.5,paint,,0,,,,,False,,
0022500757,3258,BOS,32862,33107,246,4.1,438.8,519.4,,0,1,32862,0,cut,unknown,,0,1,0,10,390,0,24.6,20.0,3pt_arc,,0,,,,,False,,
0022500757,3259,NYK,33108,33749,641,10.7,413.5,495.2,,1,0,,0,cut,unknown,,1,1,0,12,142,0,413.0,20.8,mid_range,,0,,,,,False,,
0022500757,3262,BOS,33750,34103,354,5.91,270.2,441.9,-8.38,1,0,,0,hand_off,unknown,,2,3,0,6,461,1,43.5,18.2,paint,,0,,,,,False,,
0022500757,3263,NYK,34104,34577,474,7.91,76.0,713.9,16.12,3,0,,0,hand_off,unknown,,0,1,0,13,347,1,420.4,16.2,corner_3,,0,,,,,False,,
0022500757,3264,BOS,34578,35153,576,9.61,283.5,463.7,-3.19,1,0,,0,hand_off,unknown,,0,3,0,18,539,0,1112.0,14.5,paint,,0,,,,,False,,
0022500757,3265,NYK,35154,35381,228,3.8,303.4,661.2,,0,0,,0,hand_off,unknown,,1,3,0,9,510,0,171.6,20.3,3pt_arc,,0,,,,,False,,
0022500757,3266,BOS,35382,35945,564,9.41,235.8,644.6,1.2,1,0,,0,cut,unknown,,0,2,0,16,560,1,19.7,14.7,backcourt,,0,,,,,False,,
0022500757,3308,BOS,36336,36815,479,7.99,362.2,506.6,-6.68,2,0,,0,cut,unknown,,0,0,0,5,615,0,,21.2,backcourt,,0,,,,,False,,
0022500757,3311,NYK,36816,37385,569,9.49,45.5,319.7,,1,0,,1,cut,unknown,,0,4,0,12,606,0,654.6,20.1,mid_range,,0,,,,,False,,
0022500757,3314,BOS,37386,37685,300,5.0,181.9,190.8,,0,1,37662,0,cut,unknown,,1,2,0,5,618,1,,19.1,mid_range,,0,,,,,False,,
0022500757,3316,BOS,37740,38291,552,9.21,115.0,278.7,-1.37,0,0,,1,cut,unknown,,1,10,0,55,188,2,,14.9,paint,,0,,,,,False,,
0022500757,3337,BOS,38670,39671,1001,16.7,154.3,404.2,-5.98,3,0,,0,hand_off,unknown,,1,0,0,11,334,0,588.4,20.7,mid_range,,0,,,,,False,,
0022500757,3340,NYK,39672,40403,731,12.2,288.7,403.8,-0.56,5,0,,0,cut,unknown,,2,2,0,33,178,1,1186.2,15.9,paint,,0,,,,,False,,
0022500757,3343,BOS,40404,41027,624,10.41,407.4,431.4,-2.42,1,0,,0,cut,unknown,,0,6,0,25,752,1,830.4,13.7,3pt_arc,,0,,,,,False,,
0022500757,3344,NYK,41028,41177,150,2.5,210.9,421.4,1.92,1,0,,0,cut,unknown,,3,1,0,5,762,0,86.0,21.6,mid_range,,0,,,,,False,,
0022500757,3345,BOS,41178,41429,252,4.2,228.9,706.3,0.52,0,1,41196,0,cut,unknown,,0,4,0,12,104,0,43.8,19.9,mid_range,,0,,,,,False,,
0022500757,3347,BOS,41472,41951,479,7.99,,431.7,,0,0,,0,cut,unknown,,0,0,0,7,778,0,31.3,21.7,mid_range,,0,,,,,False,,
