frame,timestamp,player_id,team,x_position,y_position,velocity,acceleration,direction_deg,court_zone,ball_possession,distance_to_ball,nearest_opponent,nearest_teammate,event,team_spacing,team_centroid_x,team_centroid_y,paint_count_own,paint_count_opp,possession_side,handler_isolation,bbox_x1,bbox_y1,bbox_x2,bbox_y2,ball_x2d,ball_y2d,ball_velocity,distance_to_basket,vel_toward_basket,drive_flag,fast_break_flag,possession_id,possession_duration,confidence,velocity_mean_30,velocity_max_30,dist_traveled_30,possession_pct_30,velocity_mean_90,velocity_max_90,dist_traveled_90,possession_pct_90,velocity_mean_150,velocity_max_150,dist_traveled_150,possession_pct_150,shots_90,passes_90,dribbles_90,possession_run,team_velocity_mean,opp_velocity_mean,spacing_advantage,dist_to_basket_mean_30,vel_toward_basket_mean_30,drive_rate_30,dist_to_basket_mean_90,vel_toward_basket_mean_90,drive_rate_90,dist_to_basket_mean_150,vel_toward_basket_mean_150,drive_rate_150,shot_quality_proxy,turnover_flag,pace_30,pick_roll_proxy,possessions_est,shots_per100,passes_per100,dribbles_per100,dist_per100_30,dist_per100_90,dist_per100_150
731,12.196,1,green,1340,1225,0.0,0.0,0.0,mid_range,0,1686.8,,,none,0.0,1340.0,1225.0,0,0,left,200.0,-15.0,74.0,448.0,666.0,-321,1519,54.63,1243.0,0.0,0,0,15,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,,,1243.0,0.0,0.0,1243.0,0.0,0.0,1243.0,0.0,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
732,12.212,1,green,1340,1225,0.0,0.0,0.0,mid_range,0,1686.8,,,none,0.0,1340.0,1225.0,0,0,left,200.0,-15.0,73.0,447.0,666.0,-321,1519,0.0,1243.0,0.0,0,0,16,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,,,1243.0,0.0,0.0,1243.0,0.0,0.0,1243.0,0.0,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
733,12.229,1,green,1331,1227,9.22,9.22,167.5,mid_range,0,1666.6,,,none,0.0,1331.0,1227.0,0,0,left,200.0,-15.0,55.0,444.0,666.0,-310,1518,11.05,1235.0,7.98,0,0,17,0,1.0,3.07,9.22,9.2,0.0,3.07,9.22,9.2,0.0,3.07,9.22,9.2,0.0,0,0,0,0,9.22,,,1240.3,2.66,0.0,1240.3,2.66,0.0,1240.3,2.66,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,920.0,920.0,920.0
734,12.246,1,green,1331,1227,0.0,-9.22,0.0,mid_range,0,1666.6,,,none,0.0,1331.0,1227.0,0,0,left,200.0,-15.0,55.0,443.0,666.0,-310,1518,0.0,1235.0,0.0,0,0,18,0,1.0,2.31,9.22,9.2,0.0,2.31,9.22,9.2,0.0,2.31,9.22,9.2,0.0,0,0,0,0,0.0,,,1239.0,2.0,0.0,1239.0,2.0,0.0,1239.0,2.0,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,920.0,920.0,920.0
735,12.262,1,green,1335,1226,4.12,4.12,346.0,mid_range,0,1662.7,,,none,0.0,1335.0,1226.0,0,0,left,200.0,-15.0,42.0,445.0,666.0,-302,1517,8.06,1238.5,-3.52,0,0,19,0,1.0,2.67,9.22,13.3,0.0,2.67,9.22,13.3,0.0,2.67,9.22,13.3,0.0,0,0,0,0,4.12,,,1238.9,0.89,0.0,1238.9,0.89,0.0,1238.9,0.89,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,1330.0,1330.0,1330.0
736,12.279,1,green,1331,1227,4.12,0.0,166.0,mid_range,0,1658.6,,,none,0.0,1331.0,1227.0,0,0,left,200.0,-15.0,42.0,444.0,666.0,-302,1517,0.0,1235.0,3.51,0,0,20,0,1.0,2.91,9.22,17.5,0.0,2.91,9.22,17.5,0.0,2.91,9.22,17.5,0.0,0,0,0,0,4.12,,,1238.2,1.33,0.0,1238.2,1.33,0.0,1238.2,1.33,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,1750.0,1750.0,1750.0
737,12.296,1,green,1329,1227,2.0,-2.12,180.0,mid_range,0,1650.5,,,none,0.0,1329.0,1227.0,0,0,left,200.0,-15.0,36.0,445.0,663.0,-296,1516,6.08,1233.1,1.91,0,0,21,0,1.0,2.78,9.22,19.5,0.0,2.78,9.22,19.5,0.0,2.78,9.22,19.5,0.0,0,0,0,0,2.0,,,1237.5,1.41,0.0,1237.5,1.41,0.0,1237.5,1.41,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,1950.0,1950.0,1950.0
738,12.312,1,green,1331,1227,2.0,0.0,0.0,mid_range,0,1652.5,,,none,0.0,1331.0,1227.0,0,0,left,200.0,-15.0,37.0,446.0,664.0,-296,1516,0.0,1235.0,-1.91,0,0,22,0,1.0,2.68,9.22,21.5,0.0,2.68,9.22,21.5,0.0,2.68,9.22,21.5,0.0,0,0,0,0,2.0,,,1237.2,1.0,0.0,1237.2,1.0,0.0,1237.2,1.0,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,2150.0,2150.0,2150.0
739,12.329,1,green,1312,1230,19.24,17.24,171.0,mid_range,0,1629.3,,,none,0.0,1312.0,1230.0,0,0,left,200.0,-15.0,23.0,442.0,659.0,-292,1516,4.0,1217.8,17.16,0,0,23,0,1.0,4.52,19.24,40.7,0.0,4.52,19.24,40.7,0.0,4.52,19.24,40.7,0.0,0,0,0,0,19.24,,,1235.0,2.79,0.0,1235.0,2.79,0.0,1235.0,2.79,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,4070.0,4070.0,4070.0
740,12.346,1,green,1316,1229,4.12,-15.12,346.0,mid_range,0,1633.4,,,none,0.0,1316.0,1229.0,0,0,left,200.0,-15.0,23.0,443.0,659.0,-292,1516,0.0,1221.3,-3.5,0,0,24,0,1.0,4.48,19.24,44.8,0.0,4.48,19.24,44.8,0.0,4.48,19.24,44.8,0.0,0,0,0,0,4.12,,,1233.7,2.16,0.0,1233.7,2.16,0.0,1233.7,2.16,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,4480.0,4480.0,4480.0
741,12.362,1,green,1237,1243,80.23,76.11,170.0,mid_range,0,1549.1,,,none,0.0,1237.0,1243.0,0,0,left,200.0,-14.0,19.0,400.0,665.0,-288,1515,4.12,1151.0,69.68,0,0,25,0,1.0,11.37,80.23,125.0,0.0,11.37,80.23,125.0,0.0,11.37,80.23,125.0,0.0,0,0,0,0,80.23,,,1226.2,8.3,0.0,1226.2,8.3,0.0,1226.2,8.3,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,12500.0,12500.0,12500.0
742,12.379,1,green,1235,1243,2.0,-78.23,180.0,mid_range,0,1548.1,,,none,0.0,1235.0,1243.0,0,0,left,200.0,-14.0,20.0,400.0,664.0,-289,1515,1.0,1149.1,1.88,0,0,26,0,1.0,10.59,80.23,127.0,0.0,10.59,80.23,127.0,0.0,10.59,80.23,127.0,0.0,0,0,0,0,2.0,,,1219.7,7.77,0.0,1219.7,7.77,0.0,1219.7,7.77,0.0,0.0,0,0.0,0,1,0.0,0.0,0.0,12700.0,12700.0,12700.0
