player_id,team,frames_tracked,tracking_pct,total_distance_px,avg_velocity,max_velocity,possession_frames,possession_pct,shots_attempted,drive_attempts,drive_rate,paint_frames,paint_pct,avg_dist_to_basket,avg_nearest_opponent
1,green,62,0.046,1188.9,19.18,330.29,0,0.0,0,0,0.0,0,0.0,1569.3,600.8
2,green,73,0.054,1006.5,13.79,249.74,8,0.11,0,1,0.0137,0,0.0,1555.4,363.6
3,green,116,0.086,733.4,6.32,305.51,0,0.0,1,0,0.0,0,0.0,1325.4,578.6
4,green,161,0.12,2639.0,16.39,293.12,0,0.0,0,0,0.0,0,0.0,1436.2,473.9
5,green,170,0.127,4035.0,23.74,343.89,15,0.088,1,0,0.0,74,0.435,413.7,441.3
6,white,88,0.066,7261.7,82.52,314.77,0,0.0,1,0,0.0,0,0.0,1348.5,475.4
7,white,145,0.108,2867.5,19.78,272.62,0,0.0,1,0,0.0,15,0.103,473.4,605.1
8,white,82,0.061,315.1,3.84,249.23,15,0.183,0,0,0.0,0,0.0,743.9,656.3
9,white,145,0.108,7226.2,49.84,303.82,0,0.0,0,0,0.0,20,0.138,1097.5,258.2
10,white,91,0.068,745.1,8.19,194.43,35,0.385,1,0,0.0,0,0.0,1066.0,653.1
