# G349 resealed >=30-window evaluation manifest (finisher, 2026-09-08)
# selection: fresh NBA ids (excludes the 24 G344 diagnosis ids) from data/tracking/, lexically sorted, systematic every-11th of 330 eligible -> 30 ids, plus both WNBA ids (wnba_02, wnba_05). Window = frames [600,659] for every id (all max frame >> 659, no fallback needed). source_height=720 (NBA assumed per WNBA precedent, not verified; WNBA confirmed via in-file column).
window_id,game_type,source_height,start,end
0022400687,NBA,720,600,659
0022401196,NBA,720,600,659
0022500030,NBA,720,600,659
0022500042,NBA,720,600,659
0022500061,NBA,720,600,659
0022500090,NBA,720,600,659
0022500153,NBA,720,600,659
0022500174,NBA,720,600,659
0022500223,NBA,720,600,659
0022500330,NBA,720,600,659
0022500345,NBA,720,600,659
0022500361,NBA,720,600,659
0022500385,NBA,720,600,659
0022500491,NBA,720,600,659
0022500512,NBA,720,600,659
0022500570,NBA,720,600,659
0022500601,NBA,720,600,659
0022500715,NBA,720,600,659
0022500732,NBA,720,600,659
0022500743,NBA,720,600,659
0022500794,NBA,720,600,659
0022500882,NBA,720,600,659
0022500917,NBA,720,600,659
0022500943,NBA,720,600,659
0022500966.f136,NBA,720,600,659
0022501083,NBA,720,600,659
0022501114,NBA,720,600,659
0022501142,NBA,720,600,659
0022501160,NBA,720,600,659
0022501180,NBA,720,600,659
wnba_02,WNBA,720,600,659
wnba_05,WNBA,720,600,659
