window_id,record_type,stage,n,share_per_mille,detail,ball_x_min,ball_x_max,ball_y_min,ball_y_max,player_x_min,player_x_max,player_y_min,player_y_max,source_height
0022400625,stage,frames,000060,1000,full_frame_denominator,,,,,,,,,720
0022400625,stage,any_ball_row,000005,0083,full_frame_denominator,,,,,,,,,720
0022400625,stage,detected_ball,000000,0000,full_frame_denominator,,,,,,,,,720
0022400625,stage,player_rows,000000,0000,full_frame_denominator,,,,,,,,,720
0022400625,stage,player_within_radius,000000,0000,full_frame_denominator,,,,,,,,,720
0022400625,stage,prerequisite_available,000000,0000,full_frame_denominator,,,,,,,,,720
0022400625,stage,motion_agreement,000000,0000,full_frame_denominator,,,,,,,,,720
0022400625,stage,accepted_ownership,000000,0000,full_frame_denominator,,,,,,,,,720
0022400625,coordinate,detected_ball_vs_player_px,000000,,image_px_ranges,,,,,599.500,619.000,327.000,355.000,720
0022500004,stage,frames,000060,1000,full_frame_denominator,,,,,,,,,720
0022500004,stage,any_ball_row,000010,0167,full_frame_denominator,,,,,,,,,720
0022500004,stage,detected_ball,000010,0167,full_frame_denominator,,,,,,,,,720
0022500004,stage,player_rows,000010,0167,full_frame_denominator,,,,,,,,,720
0022500004,stage,player_within_radius,000000,0000,full_frame_denominator,,,,,,,,,720
0022500004,stage,prerequisite_available,000000,0000,full_frame_denominator,,,,,,,,,720
0022500004,stage,motion_agreement,000000,0000,full_frame_denominator,,,,,,,,,720
0022500004,stage,accepted_ownership,000000,0000,full_frame_denominator,,,,,,,,,720
0022500004,coordinate,detected_ball_vs_player_px,000010,,image_px_ranges,960.000,983.000,397.000,412.000,109.500,1234.000,398.000,490.000,720
0022500004,age,detected_ball_age_frames,000010,0167,age=0,,,,,,,,,720
0022500036,stage,frames,000060,1000,full_frame_denominator,,,,,,,,,720
0022500036,stage,any_ball_row,000000,0000,full_frame_denominator,,,,,,,,,720
0022500036,stage,detected_ball,000000,0000,full_frame_denominator,,,,,,,,,720
0022500036,stage,player_rows,000000,0000,full_frame_denominator,,,,,,,,,720
0022500036,stage,player_within_radius,000000,0000,full_frame_denominator,,,,,,,,,720
0022500036,stage,prerequisite_available,000000,0000,full_frame_denominator,,,,,,,,,720
0022500036,stage,motion_agreement,000000,0000,full_frame_denominator,,,,,,,,,720
0022500036,stage,accepted_ownership,000000,0000,full_frame_denominator,,,,,,,,,720
0022500036,coordinate,detected_ball_vs_player_px,000000,,image_px_ranges,,,,,,,,,720
0022500054,stage,frames,000060,1000,full_frame_denominator,,,,,,,,,720
0022500054,stage,any_ball_row,000020,0333,full_frame_denominator,,,,,,,,,720
0022500054,stage,detected_ball,000020,0333,full_frame_denominator,,,,,,,,,720
0022500054,stage,player_rows,000020,0333,full_frame_denominator,,,,,,,,,720
0022500054,stage,player_within_radius,000002,0033,full_frame_denominator,,,,,,,,,720
0022500054,stage,prerequisite_available,000001,0017,full_frame_denominator,,,,,,,,,720
0022500054,stage,motion_agreement,000001,0017,full_frame_denominator,,,,,,,,,720
0022500054,stage,accepted_ownership,000001,0017,full_frame_denominator,,,,,,,,,720
0022500054,coordinate,detected_ball_vs_player_px,000021,,image_px_ranges,243.000,933.000,284.000,611.000,-425.022,610.520,-325.210,438.262,720
0022500054,age,detected_ball_age_frames,000020,0333,age=0,,,,,,,,,720
0022500093,stage,frames,000060,1000,full_frame_denominator,,,,,,,,,720
0022500093,stage,any_ball_row,000010,0167,full_frame_denominator,,,,,,,,,720
0022500093,stage,detected_ball,000010,0167,full_frame_denominator,,,,,,,,,720
0022500093,stage,player_rows,000010,0167,full_frame_denominator,,,,,,,,,720
0022500093,stage,player_within_radius,000001,0017,full_frame_denominator,,,,,,,,,720
0022500093,stage,prerequisite_available,000000,0000,full_frame_denominator,,,,,,,,,720
0022500093,stage,motion_agreement,000000,0000,full_frame_denominator,,,,,,,,,720
0022500093,stage,accepted_ownership,000000,0000,full_frame_denominator,,,,,,,,,720
0022500093,coordinate,detected_ball_vs_player_px,000010,,image_px_ranges,234.000,1544.000,227.000,548.000,-216.188,1397.269,-407.138,676.303,720
0022500093,age,detected_ball_age_frames,000010,0167,age=0,,,,,,,,,720
0022500158,stage,frames,000060,1000,full_frame_denominator,,,,,,,,,720
0022500158,stage,any_ball_row,000010,0167,full_frame_denominator,,,,,,,,,720
0022500158,stage,detected_ball,000010,0167,full_frame_denominator,,,,,,,,,720
0022500158,stage,player_rows,000010,0167,full_frame_denominator,,,,,,,,,720
0022500158,stage,player_within_radius,000003,0050,full_frame_denominator,,,,,,,,,720
0022500158,stage,prerequisite_available,000000,0000,full_frame_denominator,,,,,,,,,720
0022500158,stage,motion_agreement,000000,0000,full_frame_denominator,,,,,,,,,720
0022500158,stage,accepted_ownership,000000,0000,full_frame_denominator,,,,,,,,,720
0022500158,coordinate,detected_ball_vs_player_px,000010,,image_px_ranges,829.000,868.000,354.000,386.000,616.180,1133.000,95.000,675.000,720
0022500158,age,detected_ball_age_frames,000010,0167,age=0,,,,,,,,,720
0022500214,stage,frames,000060,1000,full_frame_denominator,,,,,,,,,720
0022500214,stage,any_ball_row,000000,0000,full_frame_denominator,,,,,,,,,720
0022500214,stage,detected_ball,000000,0000,full_frame_denominator,,,,,,,,,720
0022500214,stage,player_rows,000000,0000,full_frame_denominator,,,,,,,,,720
0022500214,stage,player_within_radius,000000,0000,full_frame_denominator,,,,,,,,,720
0022500214,stage,prerequisite_available,000000,0000,full_frame_denominator,,,,,,,,,720
0022500214,stage,motion_agreement,000000,0000,full_frame_denominator,,,,,,,,,720
0022500214,stage,accepted_ownership,000000,0000,full_frame_denominator,,,,,,,,,720
0022500214,coordinate,detected_ball_vs_player_px,000000,,image_px_ranges,,,,,,,,,720
0022500325,stage,frames,000060,1000,full_frame_denominator,,,,,,,,,720
0022500325,stage,any_ball_row,000010,0167,full_frame_denominator,,,,,,,,,720
0022500325,stage,detected_ball,000010,0167,full_frame_denominator,,,,,,,,,720
0022500325,stage,player_rows,000010,0167,full_frame_denominator,,,,,,,,,720
0022500325,stage,player_within_radius,000000,0000,full_frame_denominator,,,,,,,,,720
