window_id,frame,state,source,age_frames,confidence,owner_id,abstention_reason,nearest_distance_px,motion_cosine,motion_ratio,prerequisite_available
0022401196,000640,ABSENT,none,000001,,,no_ball,,,,0
0022401196,000641,ABSENT,none,000002,,,no_ball,,,,0
0022401196,000642,OBSERVED_VALID,detected,000000,,,no_player_in_radius,,,,0
0022401196,000643,ABSENT,none,000001,,,no_ball,,,,0
0022401196,000644,ABSENT,none,000002,,,no_ball,,,,0
0022401196,000645,OBSERVED_VALID,detected,000000,,,no_player_in_radius,,,,0
0022401196,000646,ABSENT,none,000001,,,no_ball,,,,0
0022401196,000647,ABSENT,none,000002,,,no_ball,,,,0
0022401196,000648,OBSERVED_VALID,detected,000000,,,no_player_in_radius,,,,0
0022401196,000649,ABSENT,none,000001,,,no_ball,,,,0
0022401196,000650,ABSENT,none,000002,,,no_ball,,,,0
0022401196,000651,OBSERVED_VALID,detected,000000,,,no_player_in_radius,,,,0
0022401196,000652,ABSENT,none,000001,,,no_ball,,,,0
0022401196,000653,ABSENT,none,000002,,,no_ball,,,,0
0022401196,000654,OBSERVED_VALID,detected,000000,,,no_player_in_radius,,,,0
0022401196,000655,ABSENT,none,000001,,,no_ball,,,,0
0022401196,000656,ABSENT,none,000002,,,no_ball,,,,0
0022401196,000657,OBSERVED_VALID,detected,000000,,,no_player_in_radius,,,,0
0022401196,000658,ABSENT,none,000001,,,no_ball,,,,0
0022401196,000659,ABSENT,none,000002,,,no_ball,,,,0
0022500030,000600,ABSENT,none,,,,no_ball,,,,0
0022500030,000601,ABSENT,none,,,,no_ball,,,,0
0022500030,000602,ABSENT,none,,,,no_ball,,,,0
0022500030,000603,ABSENT,none,,,,no_ball,,,,0
0022500030,000604,ABSENT,none,,,,no_ball,,,,0
0022500030,000605,ABSENT,none,,,,no_ball,,,,0
0022500030,000606,ABSENT,none,,,,no_ball,,,,0
0022500030,000607,ABSENT,none,,,,no_ball,,,,0
0022500030,000608,ABSENT,none,,,,no_ball,,,,0
0022500030,000609,ABSENT,none,,,,no_ball,,,,0
0022500030,000610,ABSENT,none,,,,no_ball,,,,0
0022500030,000611,ABSENT,none,,,,no_ball,,,,0
0022500030,000612,OBSERVED_VALID,detected,000000,,,no_player_in_radius,,,,0
0022500030,000613,ABSENT,none,000001,,,no_ball,,,,0
0022500030,000614,ABSENT,none,000002,,,no_ball,,,,0
0022500030,000615,ABSENT,none,000003,,,no_ball,,,,0
0022500030,000616,ABSENT,none,000004,,,no_ball,,,,0
0022500030,000617,ABSENT,none,000005,,,no_ball,,,,0
0022500030,000618,ABSENT,none,000006,,,no_ball,,,,0
0022500030,000619,ABSENT,none,000007,,,no_ball,,,,0
0022500030,000620,ABSENT,none,000008,,,no_ball,,,,0
0022500030,000621,ABSENT,none,000009,,,no_ball,,,,0
0022500030,000622,ABSENT,none,000010,,,no_ball,,,,0
0022500030,000623,ABSENT,none,000011,,,no_ball,,,,0
0022500030,000624,ABSENT,none,000012,,,no_ball,,,,0
0022500030,000625,ABSENT,none,000013,,,no_ball,,,,0
0022500030,000626,ABSENT,none,000014,,,no_ball,,,,0
0022500030,000627,ABSENT,none,000015,,,no_ball,,,,0
0022500030,000628,ABSENT,none,000016,,,no_ball,,,,0
0022500030,000629,ABSENT,none,000017,,,no_ball,,,,0
0022500030,000630,ABSENT,none,000018,,,no_ball,,,,0
0022500030,000631,ABSENT,none,000019,,,no_ball,,,,0
0022500030,000632,ABSENT,none,000020,,,no_ball,,,,0
0022500030,000633,ABSENT,none,000021,,,no_ball,,,,0
0022500030,000634,ABSENT,none,000022,,,no_ball,,,,0
0022500030,000635,ABSENT,none,000023,,,no_ball,,,,0
0022500030,000636,ABSENT,none,000024,,,no_ball,,,,0
0022500030,000637,ABSENT,none,000025,,,no_ball,,,,0
0022500030,000638,ABSENT,none,000026,,,no_ball,,,,0
0022500030,000639,ABSENT,none,000027,,,no_ball,,,,0
0022500030,000640,ABSENT,none,000028,,,no_ball,,,,0
0022500030,000641,ABSENT,none,000029,,,no_ball,,,,0
0022500030,000642,ABSENT,none,000030,,,no_ball,,,,0
0022500030,000643,ABSENT,none,000031,,,no_ball,,,,0
0022500030,000644,ABSENT,none,000032,,,no_ball,,,,0
0022500030,000645,ABSENT,none,000033,,,no_ball,,,,0
0022500030,000646,ABSENT,none,000034,,,no_ball,,,,0
0022500030,000647,ABSENT,none,000035,,,no_ball,,,,0
0022500030,000648,ABSENT,none,000036,,,no_ball,,,,0
0022500030,000649,ABSENT,none,000037,,,no_ball,,,,0
0022500030,000650,ABSENT,none,000038,,,no_ball,,,,0
0022500030,000651,ABSENT,none,000039,,,no_ball,,,,0
0022500030,000652,ABSENT,none,000040,,,no_ball,,,,0
0022500030,000653,ABSENT,none,000041,,,no_ball,,,,0
0022500030,000654,ABSENT,none,000042,,,no_ball,,,,0
0022500030,000655,ABSENT,none,000043,,,no_ball,,,,0
0022500030,000656,ABSENT,none,000044,,,no_ball,,,,0
0022500030,000657,ABSENT,none,000045,,,no_ball,,,,0
0022500030,000658,ABSENT,none,000046,,,no_ball,,,,0
0022500030,000659,ABSENT,none,000047,,,no_ball,,,,0
0022500042,000600,ABSENT,none,,,,no_ball,,,,0
0022500042,000601,ABSENT,none,,,,no_ball,,,,0
0022500042,000602,ABSENT,none,,,,no_ball,,,,0
0022500042,000603,ABSENT,none,,,,no_ball,,,,0
0022500042,000604,ABSENT,none,,,,no_ball,,,,0
0022500042,000605,ABSENT,none,,,,no_ball,,,,0
0022500042,000606,ABSENT,none,,,,no_ball,,,,0
0022500042,000607,ABSENT,none,,,,no_ball,,,,0
0022500042,000608,ABSENT,none,,,,no_ball,,,,0
0022500042,000609,ABSENT,none,,,,no_ball,,,,0
0022500042,000610,ABSENT,none,,,,no_ball,,,,0
0022500042,000611,ABSENT,none,,,,no_ball,,,,0
0022500042,000612,ABSENT,none,,,,no_ball,,,,0
0022500042,000613,ABSENT,none,,,,no_ball,,,,0
0022500042,000614,ABSENT,none,,,,no_ball,,,,0
0022500042,000615,ABSENT,none,,,,no_ball,,,,0
0022500042,000616,ABSENT,none,,,,no_ball,,,,0
0022500042,000617,ABSENT,none,,,,no_ball,,,,0
0022500042,000618,ABSENT,none,,,,no_ball,,,,0
0022500042,000619,ABSENT,none,,,,no_ball,,,,0
0022500042,000620,ABSENT,none,,,,no_ball,,,,0
