frame_key,game,section,frame_index,width,height,n_calls,call_cx,call_cy,call_w,call_h,call_score,n_person,contained,person_index
104dccb201d499141e6d337a198d4805eba270cf9a91df96170113cfc7a389f9,X5w3V6rh26s,X5w3V6rh26s_s5234,13,1920,1080,0,,,,,,7,0,
112ed4453b19cbf257ae9d93a4c0965633127ef7311469a98c06f961716493f1,9sq-YMlIo9Q,9sq-YMlIo9Q_s3474,304,1920,1080,2,1102.0,14.75,96.0,29.5,0.066101,3,1,2
1142effeb3713faac70eb0fbd30283bfb0c4620e9a59c555e79c8e36f95cc024,850xnW8BoAU,850xnW8BoAU_s1358,314,1920,1080,0,,,,,,9,0,
12dc4d60a90efe7ae2fd2ccaf52c57ad293170b6a83dce8e056129580caf9f8a,9sq-YMlIo9Q,9sq-YMlIo9Q_s3474,3516,1920,1080,0,,,,,,4,0,
12fae7c643419925b0a63d4c7d30afc1a04c1a565d5ce9068fb177a8f9c525c4,wJSOHbeQcg4,wJSOHbeQcg4_s5540,2864,1920,1080,0,,,,,,8,0,
132a7ac772038752809499b6c9b3750b4c189d8d6e0bfadd345307b45452f171,QXFM3hlaDAk,QXFM3hlaDAk_s5230,1936,1920,1080,2,126.25,16.062,88.5,32.125,0.064636,14,0,
138d7afc971ea791fb1a065624b46600a5ab6d1f4e8e29ecdad6bd771aeff391,hLv8cwl0asQ,hLv8cwl0asQ_s3705,2384,1920,1080,0,,,,,,4,0,
13dfa04669bf44d17e34d560311fdbbebbc2a41d148dbf05ebbb6bb5349f1163,eaKqXq9dfig,eaKqXq9dfig_s428,27,1920,1080,0,,,,,,13,0,
147ccf82294bd469fee799aeabd075ad0658b6fdf11922a9c7c9da656fdbb101,1zPhldjbJnU,1zPhldjbJnU_s5620,676,1920,1080,0,,,,,,4,0,
154e06c69cec129fb39fa418879978049eeec120657c55cfbb52a84a3c8fe2f0,1zPhldjbJnU,1zPhldjbJnU_s5620,3076,1920,1080,1,425.0,412.5,41.5,48.0,0.099121,18,1,0
15fb56d6fcde748dd50a43980f4df328a83a9434e8e9c6d0a8295df5544b8a83,E-5WuXXdGSA,E-5WuXXdGSA_s3993,7772,1920,1080,0,,,,,,2,0,
160e9d732bd4600ada55b18bcc12b94b6711cdea0a91f37e11f5937a48bddc60,1zPhldjbJnU,1zPhldjbJnU_s5620,976,1920,1080,0,,,,,,2,0,
162155c0f0604f3d22ae6b211e8c549877d26044be323067f408a954fc87e257,wJSOHbeQcg4,wJSOHbeQcg4_s5540,200,1920,1080,0,,,,,,10,0,
1641577caabb54039d6e91e3399b6e81031b8067b42fde460acb019a490d65b3,X5w3V6rh26s,X5w3V6rh26s_s5234,3220,1920,1080,0,,,,,,6,0,
1673e946bb0c2c7f469569850f01877aed0ff2673f516de08858fbe31c841700,QXFM3hlaDAk,QXFM3hlaDAk_s5230,2676,1920,1080,0,,,,,,5,0,
167958b50c68c4e4a66e3a490eda19b440264c9845ca2909291cd357e741ad9f,ql7kzzTRo4M,ql7kzzTRo4M_s5610,3652,1920,1080,0,,,,,,8,0,
1857d246757a862a829d8d1446a84402b35a7d4a93bd454bd19071bff262ebdf,hLv8cwl0asQ,hLv8cwl0asQ_s3705,1070,1920,1080,0,,,,,,11,0,
18655fec2b1913c9a5ed381a0f22048c0a75367fbd4edd75254743cc2036af68,h5pTl8fOM2U,h5pTl8fOM2U_s3399,3219,1920,1080,0,,,,,,3,0,
18a1f4e3825cf93a15525549fa82128b22b12db2e701c009f890e2fbd9291f62,XCaGht2GmPg,XCaGht2GmPg_s4068,3700,1920,1080,0,,,,,,9,0,
18a514e058fa82a6051937af18936c2f8a492161619bc06ab114589e41ac13cc,h5pTl8fOM2U,h5pTl8fOM2U_s3399,2345,1920,1080,0,,,,,,5,0,
196f3c56062a843077a6e7166247f2cf97d7dabab56e10ef04428d5c1cdfa126,850xnW8BoAU,850xnW8BoAU_s1358,244,1920,1080,0,,,,,,11,0,
19a8b5d543844701d76c7584d93e4ee4c851a0cb87a226ac803e71a53372dfa9,ql7kzzTRo4M,ql7kzzTRo4M_s5610,5827,1920,1080,0,,,,,,11,0,
19aa39df5c12435f075506b642b27877c073bd5cf9ddd7265743a7d7c73b8c61,3fT6aYz2N9w,3fT6aYz2N9w_s5086,436,1920,1080,0,,,,,,12,0,
1aade590ac7db30875e2c6929f889821039e9c3d87bc241c9e75624ba8048a8b,1zPhldjbJnU,1zPhldjbJnU_s5620,1276,1920,1080,0,,,,,,8,0,
1b295a87874298ae201d4cfe5ee4e545bb47e4bcf5cc4b7b049f66b7ee01873a,9sq-YMlIo9Q,9sq-YMlIo9Q_s3474,1326,1920,1080,0,,,,,,17,0,
