event_id,event_date,y,p_base,p_recalibrated_s05,standin_loss,loss_base,loss_recalibrated,paired_loss_differential,away_team,home_team,away_team
0022400061,2024-10-22,1.0,0.7114758467480896,0.7114758467480896,0.08324618700973187,0.08324618700973187,0.08324618700973187,0.0,NYK,BOS,NYK
0022400062,2024-10-22,1.0,0.5806663804158629,0.5806663804158629,0.17584068451353377,0.17584068451353377,0.17584068451353377,0.0,MIN,LAL,MIN
0022400063,2024-10-23,0.0,0.2959547194387697,0.2959547194387697,0.0875891959580809,0.0875891959580809,0.0875891959580809,0.0,IND,DET,IND
0022400064,2024-10-23,1.0,0.6515201508775258,0.6515201508775258,0.12143820524442239,0.12143820524442239,0.12143820524442239,0.0,BKN,ATL,BKN
0022400065,2024-10-23,0.0,0.6224249411357395,0.6224249411357395,0.38741280734782885,0.38741280734782885,0.38741280734782885,0.0,ORL,MIA,ORL
0022400066,2024-10-23,0.0,0.6140327735199222,0.6140327735199222,0.3770362469565681,0.3770362469565681,0.3770362469565681,0.0,MIL,PHI,MIL
0022400067,2024-10-23,0.0,0.38949774142767724,0.38949774142767724,0.1517084905772617,0.1517084905772617,0.1517084905772617,0.0,CLE,TOR,CLE
0022400068,2024-10-23,0.0,0.7604796647547516,0.7604796647547516,0.5783293205054993,0.5783293205054993,0.5783293205054993,0.0,CHA,HOU,CHA
0022400069,2024-10-23,1.0,0.690727577134141,0.690727577134141,0.0956494315453187,0.0956494315453187,0.0956494315453187,0.0,CHI,NOP,CHI
0022400070,2024-10-23,0.0,0.621014073139641,0.621014073139641,0.38565847903748735,0.38565847903748735,0.38565847903748735,0.0,MEM,UTA,MEM
0022400071,2024-10-23,0.0,0.5657218984079163,0.5657218984079163,0.3200412663382568,0.3200412663382568,0.3200412663382568,0.0,PHX,LAC,PHX
0022400072,2024-10-23,0.0,0.32292457192255447,0.32292457192255447,0.10428027915136505,0.10428027915136505,0.10428027915136505,0.0,GSW,POR,GSW
0022400073,2024-10-24,0.0,0.18692447549111893,0.18692447549111893,0.03494075953762992,0.03494075953762992,0.03494075953762992,0.0,BOS,WAS,BOS
0022400075,2024-10-24,0.0,0.6125060948279358,0.6125060948279358,0.37516371620136835,0.37516371620136835,0.37516371620136835,0.0,OKC,DEN,OKC
0022400076,2024-10-24,0.0,0.5339204694894762,0.5339204694894762,0.28507106773986274,0.28507106773986274,0.28507106773986274,0.0,MIN,SAC,MIN
0022400074,2024-10-24,1.0,0.8055843830768374,0.8055843830768374,0.037797432103613894,0.037797432103613894,0.037797432103613894,0.0,SAS,DAL,SAS
0022400079,2024-10-25,1.0,0.7100776077995171,0.7100776077995171,0.08405499349925062,0.08405499349925062,0.08405499349925062,0.0,CHA,ATL,CHA
0022400077,2024-10-25,1.0,0.7393718817076356,0.7393718817076356,0.0679270160446187,0.0679270160446187,0.0679270160446187,0.0,BKN,ORL,BKN
0022400078,2024-10-25,1.0,0.37511807156777516,0.37511807156777516,0.3904774244811762,0.3904774244811762,0.3904774244811762,0.0,PHI,TOR,PHI
0022400080,2024-10-25,1.0,0.8458908617648172,0.8458908617648172,0.02374962648759068,0.02374962648759068,0.02374962648759068,0.0,DET,CLE,DET
0022400081,2024-10-25,1.0,0.6269202701848589,0.6269202701848589,0.13918848479893872,0.13918848479893872,0.13918848479893872,0.0,IND,NYK,IND
0022400082,2024-10-25,1.0,0.702747410262284,0.702747410262284,0.08835910210577888,0.08835910210577888,0.08835910210577888,0.0,MEM,HOU,MEM
0022400083,2024-10-25,0.0,0.6842232302192325,0.6842232302192325,0.4681614287716408,0.4681614287716408,0.4681614287716408,0.0,CHI,MIL,CHI
0022400084,2024-10-25,0.0,0.3688088492598451,0.3688088492598451,0.13601996729237115,0.13601996729237115,0.13601996729237115,0.0,GSW,UTA,GSW
0022400085,2024-10-25,1.0,0.5810696355427154,0.5810696355427154,0.1755026502643133,0.1755026502643133,0.1755026502643133,0.0,PHX,LAL,PHX
0022400086,2024-10-25,0.0,0.31248083039406666,0.31248083039406666,0.09764426936376545,0.09764426936376545,0.09764426936376545,0.0,NOP,POR,NOP
0022400096,2024-10-26,1.0,0.6970662336377558,0.6970662336377558,0.09176886680241478,0.09176886680241478,0.09176886680241478,0.0,SAC,LAL,SAC
0022400088,2024-10-26,0.0,0.42312958976766607,0.42312958976766607,0.17903864973695338,0.17903864973695338,0.17903864973695338,0.0,MIA,CHA,MIA
0022400095,2024-10-26,1.0,0.6154456552490457,0.6154456552490457,0.1478820440668358,0.1478820440668358,0.1478820440668358,0.0,DAL,PHX,DAL
0022400094,2024-10-26,1.0,0.4744433477142459,0.4744433477142459,0.276209794761809,0.276209794761809,0.276209794761809,0.0,HOU,SAS,HOU
0022400093,2024-10-26,1.0,0.8403949264728247,0.8403949264728247,0.025473779495615047,0.025473779495615047,0.025473779495615047,0.0,TOR,MIN,TOR
0022400087,2024-10-26,0.0,0.6794648346769326,0.6794648346769326,0.46167246156255143,0.46167246156255143,0.46167246156255143,0.0,LAC,DEN,LAC
0022400091,2024-10-26,0.0,0.4458876378077268,0.4458876378077268,0.19881578554975454,0.19881578554975454,0.19881578554975454,0.0,OKC,CHI,OKC
