event_id,event_date,y,p_base,p_recalibrated_s05,standin_loss,loss_base,loss_recalibrated,paired_loss_differential,home_team,away_team,div
20150807-E1-brighton-nott_m_forest,2015-08-07,0.0,0.506375508926538,0.506375508926538,0.2564161560406104,0.2564161560406104,0.2564161560406104,0.0,Brighton,Nott'm Forest,E1
20150807-F1-lille-paris_sg,2015-08-07,0.0,0.5497262196369883,0.5497262196369883,0.3021989165563743,0.3021989165563743,0.3021989165563743,0.0,Lille,Paris SG,F1
20150808-E0-bournemouth-aston_villa,2015-08-08,0.0,0.5916280520383124,0.5916280520383124,0.35002375195864804,0.35002375195864804,0.35002375195864804,0.0,Bournemouth,Aston Villa,E0
20150808-E0-chelsea-swansea,2015-08-08,1.0,0.6315546546155921,0.6315546546155921,0.1357519725354356,0.1357519725354356,0.1357519725354356,0.0,Chelsea,Swansea,E0
20150808-E0-everton-watford,2015-08-08,1.0,0.5808686575284047,0.5808686575284047,0.17567108224204173,0.17567108224204173,0.17567108224204173,0.0,Everton,Watford,E0
20150808-E0-leicester-sunderland,2015-08-08,1.0,0.5382222714641727,0.5382222714641727,0.21323867057170823,0.21323867057170823,0.21323867057170823,0.0,Leicester,Sunderland,E0
20150808-E0-man_united-tottenham,2015-08-08,0.0,0.4560879971715235,0.4560879971715235,0.20801626116393163,0.20801626116393163,0.20801626116393163,0.0,Man United,Tottenham,E0
20150808-E0-norwich-crystal_palace,2015-08-08,1.0,0.500335498201944,0.500335498201944,0.2496646143570995,0.2496646143570995,0.2496646143570995,0.0,Norwich,Crystal Palace,E0
20150808-E1-birmingham-reading,2015-08-08,1.0,0.4704211883198345,0.4704211883198345,0.2804537177805762,0.2804537177805762,0.2804537177805762,0.0,Birmingham,Reading,E1
20150808-E1-blackburn-wolves,2015-08-08,1.0,0.46707872184549437,0.46707872184549437,0.28400508870983193,0.28400508870983193,0.28400508870983193,0.0,Blackburn,Wolves,E1
20150808-E1-bolton-derby,2015-08-08,0.0,0.4640918759604692,0.4640918759604692,0.2153812693325075,0.2153812693325075,0.2153812693325075,0.0,Bolton,Derby,E1
20150808-E1-brentford-ipswich,2015-08-08,1.0,0.5334319255778133,0.5334319255778133,0.21768576807002718,0.21768576807002718,0.21768576807002718,0.0,Brentford,Ipswich,E1
20150808-E1-cardiff-fulham,2015-08-08,0.0,0.4983293453452825,0.4983293453452825,0.24833213643225782,0.24833213643225782,0.24833213643225782,0.0,Cardiff,Fulham,E1
20150808-E1-charlton-qpr,2015-08-08,0.0,0.5163187196595271,0.5163187196595271,0.2665850202708534,0.2665850202708534,0.2665850202708534,0.0,Charlton,QPR,E1
20150808-E1-hull-huddersfield,2015-08-08,0.0,0.5330520515976456,0.5330520515976456,0.284144489712459,0.284144489712459,0.284144489712459,0.0,Hull,Huddersfield,E1
20150808-E1-leeds-burnley,2015-08-08,0.0,0.5485514242982992,0.5485514242982992,0.30090866509969266,0.30090866509969266,0.30090866509969266,0.0,Leeds,Burnley,E1
20150808-E1-rotherham-milton_keynes_dons,2015-08-08,1.0,0.5628543457329689,0.5628543457329689,0.1910963230445507,0.1910963230445507,0.1910963230445507,0.0,Rotherham,Milton Keynes Dons,E1
20150808-E1-sheffield_weds-bristol_city,2015-08-08,0.0,0.49838138285032574,0.49838138285032574,0.24838400277180295,0.24838400277180295,0.24838400277180295,0.0,Sheffield Weds,Bristol City,E1
20150808-F1-bastia-rennes,2015-08-08,1.0,0.5163672329815917,0.5163672329815917,0.233900653333882,0.233900653333882,0.233900653333882,0.0,Bastia,Rennes,F1
20150808-F1-marseille-caen,2015-08-08,0.0,0.507934830945183,0.507934830945183,0.25799779248731164,0.25799779248731164,0.25799779248731164,0.0,Marseille,Caen,F1
20150808-F1-montpellier-angers,2015-08-08,0.0,0.5512441254934684,0.5512441254934684,0.3038700858910587,0.3038700858910587,0.3038700858910587,0.0,Montpellier,Angers,F1
20150808-F1-nantes-guingamp,2015-08-08,0.0,0.5653341464678774,0.5653341464678774,0.31960269716256345,0.31960269716256345,0.31960269716256345,0.0,Nantes,Guingamp,F1
20150808-F1-nice-monaco,2015-08-08,1.0,0.6065653505814892,0.6065653505814892,0.15479082336306652,0.15479082336306652,0.15479082336306652,0.0,Nice,Monaco,F1
20150808-F1-troyes-ajaccio_gfco,2015-08-08,0.0,0.5873460841602932,0.5873460841602932,0.3449754225784302,0.3449754225784302,0.3449754225784302,0.0,Troyes,Ajaccio GFCO,F1
20150809-E0-arsenal-west_ham,2015-08-09,0.0,0.6575526476420146,0.6575526476420146,0.4323754844210234,0.4323754844210234,0.4323754844210234,0.0,Arsenal,West Ham,E0
20150809-E0-newcastle-southampton,2015-08-09,1.0,0.6622304470213385,0.6622304470213385,0.11408827091940482,0.11408827091940482,0.11408827091940482,0.0,Newcastle,Southampton,E0
20150809-E0-stoke-liverpool,2015-08-09,0.0,0.6067824022816586,0.6067824022816586,0.36818488371870056,0.36818488371870056,0.36818488371870056,0.0,Stoke,Liverpool,E0
20150809-E1-preston-middlesbrough,2015-08-09,0.0,0.6458587011120986,0.6458587011120986,0.4171334618022072,0.4171334618022072,0.4171334618022072,0.0,Preston,Middlesbrough,E1
20150809-F1-bordeaux-reims,2015-08-09,1.0,0.71389964011549,0.71389964011549,0.08185341592604613,0.08185341592604613,0.08185341592604613,0.0,Bordeaux,Reims,F1
20150809-F1-lyon-lorient,2015-08-09,0.0,0.6815556468260231,0.6815556468260231,0.4645180997204387,0.4645180997204387,0.4645180997204387,0.0,Lyon,Lorient,F1
20150809-F1-toulouse-st_etienne,2015-08-09,1.0,0.7473923257997173,0.7473923257997173,0.06381063706487619,0.06381063706487619,0.06381063706487619,0.0,Toulouse,St Etienne,F1
20150810-E0-west_brom-man_city,2015-08-10,1.0,0.7112048749448825,0.7112048749448825,0.08340262425560097,0.08340262425560097,0.08340262425560097,0.0,West Brom,Man City,E0
20150814-D1-bayern_munich-hamburg,2015-08-14,1.0,0.6791792448066052,0.6791792448066052,0.10292595696286017,0.10292595696286017,0.10292595696286017,0.0,Bayern Munich,Hamburg,D1
20150814-E0-aston_villa-man_united,2015-08-14,0.0,0.5042855552756151,0.5042855552756151,0.25430392125963547,0.25430392125963547,0.25430392125963547,0.0,Aston Villa,Man United,E0
20150814-F1-monaco-lille,2015-08-14,0.0,0.5970984078054593,0.5970984078054593,0.3565265086038146,0.3565265086038146,0.3565265086038146,0.0,Monaco,Lille,F1
20150815-D1-augsburg-hertha,2015-08-15,0.0,0.7009272667972899,0.7009272667972899,0.4912990333399192,0.4912990333399192,0.4912990333399192,0.0,Augsburg,Hertha,D1
20150815-D1-darmstadt-hannover,2015-08-15,1.0,0.7331561362413357,0.7331561362413357,0.0712056476256526,0.0712056476256526,0.0712056476256526,0.0,Darmstadt,Hannover,D1
20150815-D1-dortmund-m_gladbach,2015-08-15,1.0,0.6674136597803958,0.6674136597803958,0.11061367370067032,0.11061367370067032,0.11061367370067032,0.0,Dortmund,M'gladbach,D1
20150815-D1-leverkusen-hoffenheim,2015-08-15,1.0,0.6111741814553873,0.6111741814553873,0.1511855171668881,0.1511855171668881,0.1511855171668881,0.0,Leverkusen,Hoffenheim,D1
20150815-D1-mainz-ingolstadt,2015-08-15,0.0,0.5913870959800482,0.5913870959800482,0.3497386972917148,0.3497386972917148,0.3497386972917148,0.0,Mainz,Ingolstadt,D1
20150815-D1-werder_bremen-schalke_04,2015-08-15,1.0,0.6313266406758999,0.6313266406758999,0.135920045875317,0.135920045875317,0.135920045875317,0.0,Werder Bremen,Schalke 04,D1
20150815-E0-southampton-everton,2015-08-15,1.0,0.6713114407814567,0.6713114407814567,0.10803616896116187,0.10803616896116187,0.10803616896116187,0.0,Southampton,Everton,E0
20150815-E0-sunderland-norwich,2015-08-15,1.0,0.6935877518197276,0.6935877518197276,0.09388846583488882,0.09388846583488882,0.09388846583488882,0.0,Sunderland,Norwich,E0
20150815-E0-swansea-newcastle,2015-08-15,0.0,0.6086418484473617,0.6086418484473617,0.3704448996814212,0.3704448996814212,0.3704448996814212,0.0,Swansea,Newcastle,E0
20150815-E0-tottenham-stoke,2015-08-15,1.0,0.4727932531174769,0.4727932531174769,0.2779469539584528,0.2779469539584528,0.2779469539584528,0.0,Tottenham,Stoke,E0
20150815-E0-watford-west_brom,2015-08-15,0.0,0.55956114522392,0.55956114522392,0.31310867524430486,0.31310867524430486,0.31310867524430486,0.0,Watford,West Brom,E0
20150815-E0-west_ham-leicester,2015-08-15,1.0,0.6473986124836341,0.6473986124836341,0.12432773847846647,0.12432773847846647,0.12432773847846647,0.0,West Ham,Leicester,E0
20150815-E1-bristol_city-brentford,2015-08-15,1.0,0.5879342320382569,0.5879342320382569,0.1697981971259011,0.1697981971259011,0.1697981971259011,0.0,Bristol City,Brentford,E1
