file,line,api,input_class,text_or_binary,compared,verdict
scripts/platformkit/analytics_showcase/mechanism_close_effect.py,161,hashlib.sha256,MEMORY,-,-,FINE_MEMORY
scripts/platformkit/autoloop/standing_prereg.py,46,hashlib.sha256,MEMORY,-,-,FINE_MEMORY
scripts/platformkit/autoloop/standing_prereg.py,220,hashlib.sha256,MEMORY,-,-,FINE_MEMORY
scripts/platformkit/autoloop/standing_prereg.py,238,hashlib.sha256:ctor,MEMORY,-,-,FINE_CTOR
scripts/platformkit/autoloop/standing_prereg.py,241,update,FILE_WHOLE,UNKNOWN,RECORD_ONLY,FINE_RECORD_ONLY
scripts/platformkit/autoloop/standing_prereg.py,276,hashlib.sha256,MEMORY,-,-,FINE_MEMORY
scripts/platformkit/autoloop/standing_prereg.py,285,_claims_grid_source_sha,TAINTED,UNKNOWN,RECORD_ONLY,FINE_RECORD_ONLY
scripts/platformkit/autoloop/standing_prereg.py,287,_interaction_content_sha,TAINTED,UNKNOWN,RECORD_ONLY,ALREADY_LF
scripts/platformkit/autoloop/standing_prereg.py,288,_gate_corpus_sha,TAINTED,UNKNOWN,RECORD_ONLY,ALREADY_LF
scripts/platformkit/boxscore_quantile_producer.py,145,hashlib.sha256,MEMORY,-,-,FINE_MEMORY
scripts/platformkit/boxscore_quantile_producer.py,167,hashlib.sha256,FILE_WHOLE,UNKNOWN,RECORD_ONLY,FINE_RECORD_ONLY
scripts/platformkit/boxscore_quantile_producer.py,187,_sha256,TAINTED,TEXT,RECORD_ONLY,FINE_RECORD_ONLY
scripts/platformkit/ceiling/asof_replication_core.py,116,hashlib.md5,MEMORY,-,-,FINE_MEMORY
scripts/platformkit/ceiling/test_asof_replication.py,193,hashlib.md5,MEMORY,-,-,FINE_MEMORY
scripts/platformkit/ceiling/test_asof_replication.py,195,hashlib.md5,MEMORY,-,-,FINE_MEMORY
scripts/platformkit/combo/combination_enum.py,119,hashlib.blake2b,MEMORY,-,-,FINE_MEMORY
scripts/platformkit/combo/combination_families.py,93,hashlib.blake2b,MEMORY,-,-,FINE_MEMORY
scripts/platformkit/combo/corpus_cache.py,41,hashlib.sha256:ctor,MEMORY,-,-,FINE_CTOR
scripts/platformkit/combo/corpus_cache.py,42,update,FILE_WHOLE,UNKNOWN,RECORD_ONLY,FINE_RECORD_ONLY
scripts/platformkit/combo/corpus_cache.py,59,_file_sha256,TAINTED,UNKNOWN,RECORD_ONLY,FINE_RECORD_ONLY
scripts/platformkit/combo/corpus_cache.py,72,_file_sha256,TAINTED,UNKNOWN,RECORD_ONLY,FINE_RECORD_ONLY
scripts/platformkit/combo/corpus_cache.py,101,_file_sha256,TAINTED,UNKNOWN,RECORD_ONLY,FINE_RECORD_ONLY
scripts/platformkit/combo/corpus_cache.py,125,_file_sha256,TAINTED,UNKNOWN,COMMITTED,REVIEW_UNKNOWN
scripts/platformkit/combo/corpus_cache.py,166,_file_sha256,TAINTED,UNKNOWN,COMMITTED,REVIEW_UNKNOWN
scripts/platformkit/combo/corpus_cache.py,179,_file_sha256,TAINTED,UNKNOWN,COMMITTED,REVIEW_UNKNOWN
scripts/platformkit/combo/nested_cv.py,41,hashlib.blake2b,MEMORY,-,-,FINE_MEMORY
scripts/platformkit/combo/test_corpus_cache_freshness.py,133,cc._file_sha256,TAINTED,BINARY,COMMITTED,FINE_BINARY
scripts/platformkit/combo/test_corpus_cache_freshness.py,205,cc._file_sha256,TAINTED,UNKNOWN,COMMITTED,REVIEW_UNKNOWN
scripts/platformkit/committed_object_checker.py,93,hashlib.sha256,MEMORY,-,-,FINE_MEMORY
scripts/platformkit/demo_render.py,66,hashlib.sha1,MEMORY,-,-,FINE_MEMORY
scripts/platformkit/econ/greenlight_trust_honesty.py,200,hashlib.sha256:ctor,MEMORY,-,-,FINE_CTOR
scripts/platformkit/econ/greenlight_trust_honesty.py,205,update,FILE_STREAM,UNKNOWN,RECORD_ONLY,FINE_RECORD_ONLY
scripts/platformkit/econ/greenlight_trust_honesty.py,226,_sha256_prefix,TAINTED,UNKNOWN,RECORD_ONLY,FINE_RECORD_ONLY
scripts/platformkit/econ/greenlight_trust_honesty.py,237,_sha256_prefix,TAINTED,UNKNOWN,COMMITTED,REVIEW_UNKNOWN
scripts/platformkit/eval_gate/close_join_nba_mlb.py,291,corpus_cache._file_sha256,TAINTED,UNKNOWN,RECORD_ONLY,FINE_RECORD_ONLY
scripts/platformkit/eval_gate/frozen_family_versions.py,49,hashlib.sha256,MEMORY,-,-,FINE_MEMORY
scripts/platformkit/eval_gate/frozen_family_versions.py,80,hashlib.sha256,MEMORY,-,-,FINE_MEMORY
scripts/platformkit/eval_gate/gen_golden.py,171,hashlib.sha256,MEMORY,-,-,FINE_MEMORY
scripts/platformkit/eval_gate/gen_golden.py,185,write_sidecar,TAINTED,UNKNOWN,RECORD_ONLY,FINE_RECORD_ONLY
scripts/platformkit/eval_gate/golden_loader.py,67,hashlib.sha256,FILE_WHOLE,TEXT,COMMITTED,DEFECT
scripts/platformkit/eval_gate/ledger_backup.py,34,hashlib.sha256:ctor,MEMORY,-,-,FINE_CTOR
scripts/platformkit/eval_gate/ledger_backup.py,37,update,FILE_STREAM,UNKNOWN,RECORD_ONLY,FINE_RECORD_ONLY
scripts/platformkit/eval_gate/ledger_backup.py,89,_sha256,TAINTED,UNKNOWN,RECORD_ONLY,FINE_RECORD_ONLY
scripts/platformkit/eval_gate/ledger_backup.py,99,_sha256,TAINTED,UNKNOWN,RECORD_ONLY,FINE_RECORD_ONLY
scripts/platformkit/eval_gate/ledger_backup.py,101,_sha256,TAINTED,UNKNOWN,RECORD_ONLY,FINE_RECORD_ONLY
scripts/platformkit/eval_gate/ledger_backup.py,161,_sha256,TAINTED,TEXT,COMMITTED,DEFECT
scripts/platformkit/eval_gate/s202_two_way_neff.py,50,hashlib.sha256:ctor,MEMORY,-,-,FINE_CTOR
scripts/platformkit/eval_gate/s202_two_way_neff.py,53,update,FILE_STREAM,UNKNOWN,RECORD_ONLY,FINE_RECORD_ONLY
scripts/platformkit/eval_gate/s202_two_way_neff.py,59,_sha256,TAINTED,UNKNOWN,RECORD_ONLY,FINE_RECORD_ONLY
scripts/platformkit/eval_gate/s202_two_way_neff.py,193,_sha256,TAINTED,TEXT,RECORD_ONLY,FINE_RECORD_ONLY
scripts/platformkit/eval_gate/s202_two_way_neff.py,199,_sha256,TAINTED,TEXT,RECORD_ONLY,FINE_RECORD_ONLY
scripts/platformkit/eval_gate/s204_close_reference.py,35,hashlib.sha256,FILE_WHOLE,UNKNOWN,RECORD_ONLY,FINE_RECORD_ONLY
scripts/platformkit/eval_gate/s204_close_reference.py,123,_source,TAINTED,BINARY,RECORD_ONLY,FINE_BINARY
scripts/platformkit/eval_gate/s204_close_reference.py,136,_source,TAINTED,BINARY,RECORD_ONLY,FINE_BINARY
scripts/platformkit/eval_gate/s204_close_reference.py,136,_source,TAINTED,BINARY,RECORD_ONLY,FINE_BINARY
scripts/platformkit/eval_gate/s204_close_reference.py,150,_source,TAINTED,BINARY,RECORD_ONLY,FINE_BINARY
scripts/platformkit/eval_gate/s204_close_reference.py,150,_source,TAINTED,BINARY,RECORD_ONLY,FINE_BINARY
scripts/platformkit/eval_gate/s204_close_reference.py,162,_source,TAINTED,TEXT,RECORD_ONLY,FINE_RECORD_ONLY
scripts/platformkit/eval_gate/s205_calib_bakeoff.py,105,hashlib.sha256,FILE_WHOLE,BINARY,RECORD_ONLY,FINE_BINARY
scripts/platformkit/eval_gate/s205_calib_bakeoff.py,143,_identity,TAINTED,UNKNOWN,RECORD_ONLY,FINE_RECORD_ONLY
scripts/platformkit/eval_gate/s265_incumbent_conformal_band_sample.py,35,hashlib.sha256,FILE_WHOLE,UNKNOWN,RECORD_ONLY,FINE_RECORD_ONLY
scripts/platformkit/eval_gate/s265_incumbent_conformal_band_sample.py,41,hashlib.sha256,MEMORY,-,-,FINE_MEMORY
