section_id,draw_kind,draw_order,competition,attempt_id,attempt_status,attempts,schedule_reason,rows,raw_rows,unique_player_tick_rows,producer_decoded_frames,source_decoded_pts_frames,source_status,pts_status,declared_ticks,ledger_evaluated_frames,evaluated_ticks,suspended_ticks,emitting_ticks,zero_output_evaluated_ticks,observed_stride,expected_ticks_from_cap,evaluated_gap_runs,max_gap_frames,ledger_stride,frame_cap,measured_avg_fps,measured_r_fps,time_base,codec_name,cap_implied_duration_s,elapsed_source_pts_s,declared_duration_s,measured_kind,declared_kind,source_sha256,tracking_sha256,ball_sha256,rows_per_decoded_frame,rows_per_evaluated_tick,held_share,held_status
WeheQidCPXI_s3987,1080p30,21,ncaa_basketball,L00363:WeheQidCPXI_s3987,tracked,1,,4974,4974,4974,3897.0,,ABSENT,ABSENT,,1299,1000,0,964,36,3,1000.0,4,363,3,3000,29.97002997002997,,,,100.10000000000001,,133.06626666666668,UNKNOWN,1080p30,,bb9ecbb0cf1737bf8529bc34dc8419c4987592ae63386f33221620324d62cb0a,ffb51c589856f1100dfde7eb877e835fcdf9be6b7b9e05dd7aebd88ecf249a3f,1.2763664357197844,4.974,0.7455720440402106,OK
eXwgsSpz-GY_s3642,1080p30,22,ncaa_basketball,L01605:eXwgsSpz-GY_s3642,tracked,1,,4788,4788,4788,3897.0,,ABSENT,ABSENT,1000,1299,1000,0,997,3,3,1000.0,2,93,3,3000,29.97002997002997,,,,100.10000000000001,,130.7306,UNKNOWN,1080p30,,6d16b617c71ca688789f74aa5056f177257387552fa58e05733c46cbb352a7b1,07d1a84aaf3fc8e594a95d26bd9add2ffecd8da4bf32c11688ed9f145060628f,1.2286374133949192,4.788,0.9783571077225774,OK
hLv8cwl0asQ_s1295,1080p30,23,ncaa_basketball,L00480:hLv8cwl0asQ_s1295,tracked,1,,4819,4819,4819,3897.0,,ABSENT,ABSENT,,1299,1000,0,1000,0,3,1000.0,0,0,3,3000,29.97002997002997,,,,100.10000000000001,,132.76596666666666,UNKNOWN,1080p30,,b23a2e71683252cdfa7ee148af83467734183ef43d533712e4429845fca95fa1,edb7f2c98796d32feeb3c3c9ca5383cad0e066ac6c5d44aafb19f98677ba6a1b,1.2365922504490634,4.819,0.9917052939741401,OK
wJSOHbeQcg4_s4450,1080p30,24,ncaa_basketball,L00345:wJSOHbeQcg4_s4450,tracked,3,,3233,3182,3182,3901.0,,ABSENT,ABSENT,1000,1301,1000,0,920,80,3,1000.0,2,93,3,3000,30.0,,,,100.0,,134.6,UNKNOWN,1080p30,,0e190d37647b809afd47ff7f8e958fd0b1d8eeacb9790ef862d402d8cb31bfec,1e44be04bf9e8be6e0b6e78b53e29042f90bdbd770a113bfa43c83b6aa0cf332,0.815688285055114,3.182,0.645392749244713,OK
1zPhldjbJnU_s4514,1080p30,25,wnba,L00819:1zPhldjbJnU_s4514,tracked,1,,3768,3768,3768,3901.0,,ABSENT,ABSENT,1000,1301,1000,0,1000,0,3,1000.0,3,273,3,3000,30.0,,,,100.0,,134.9,UNKNOWN,1080p30,,eaf36f3ca8d057d935d13b2be435143c4204abf2286a4f654c4b91d91aa237ee,ade0341486284caf4a58166e08d162ff542155da119b755a6842c37b89466e54,0.9659061779031017,3.768,0.9813923644529997,OK
7WBKNCu3NLU_s526,1080p30,26,wnba,L00570:7WBKNCu3NLU_s526,tracked,1,,4289,4289,4289,3897.0,,ABSENT,ABSENT,,1299,1000,0,989,11,3,1000.0,2,93,3,3000,29.97002997002997,,,,100.10000000000001,,134.5344,UNKNOWN,1080p30,,84ad19bfc58f8d38a48be6135cc6bba64bf179622d8695a2be6c33c7bc969ceb,3c1d64ed56f41741bfc36734ad14476164a1c0bd189af5f70ae58420ce28649e,1.100590197587888,4.289,0.9773499433748585,OK
IwF-L57_Mes_s1521,1080p30,27,wnba,L01519:IwF-L57_Mes_s1521,tracked,1,,2810,2810,2810,3901.0,,ABSENT,ABSENT,1000,1301,1000,0,995,5,3,1000.0,2,93,3,3000,30.0,,,,100.0,,134.46666666666667,UNKNOWN,1080p30,,e3fe49bc93f59bb912b253ed34ffa952bda99fc5c8183cc465fb8db3a493cc57,3b5788c21e905ee97e2ce07a631da64f8d1ba865ee7100a22f0ac164e4fbb10e,0.7203281209946167,2.81,0.9884845693228926,OK
pDdwzgQB6Q0_s2740,1080p30,28,wnba,L01778:pDdwzgQB6Q0_s2740,tracked,1,,3649,3649,3649,3901.0,,ABSENT,ABSENT,1000,1301,1000,0,986,14,3,1000.0,7,183,3,3000,30.0,,,,100.0,,134.96666666666667,UNKNOWN,1080p30,,c83d7efe62fd52db9e0431b422f8fa96ed963e835a2684d912632a8aeae03b4b,cb1de22ea06b6d68a5cad8d11f269c5f256e1aedfcde5321f56b4c4a00f67b23,0.9354011791848243,3.649,0.7950762829403606,OK
wptZj4SuFtE_s5106,1080p30,29,wnba,L01524:wptZj4SuFtE_s5106,tracked,1,,6002,6002,6002,3901.0,,ABSENT,ABSENT,1000,1301,1000,0,1000,0,3,1000.0,1,93,3,3000,30.0,,,,100.0,,132.03333333333333,UNKNOWN,1080p30,,374a2d88d0f7c638b56617300b619871f4ae657a3dccf8f4fce32ecab514be20,c0892928c6e183084ec4af0a3a239bfd1c4284a4cd2be1654ffff8037fabdf27,1.5385798513201743,6.002,0.9792445774121167,OK
3gBeJyl7Szg_s90,720p60,0,nba,L01950:3gBeJyl7Szg_s90,tracked,1,,2417,2417,2417,7801.0,7801.0,PRESENT,OK,500,1301,500,0,500,0,6,500.0,0,0,6,3000,60.0,60.0,1/90000,h264,50.0,130.1,133.88333333333333,720p60,720p60,72e32ee1bee191d1175bd2fe2615adcba2ff37276822f17aa28c8a9e80c53fbb,ddfdfd1bc4ed764f0d76401d77d32ea42c170aa317cfab64f2d284ff16073be4,20d2fff07166fe4a3197628b8dbc58134ec519ffef5b60f900c8e858ae1720dd,0.309832072811178,4.834,0.9683168316831683,OK
3gBeJyl7Szg_s1196,720p60,1,nba,L01946:3gBeJyl7Szg_s1196,tracked,1,,2304,2304,2304,7801.0,7801.0,PRESENT,OK,500,1301,500,0,470,30,6,500.0,2,366,6,3000,60.0,60.0,1/90000,h264,50.0,130.033333,130.28333333333333,720p60,720p60,59ccd3ee5f3b31a2967509585e9cf3da8de08168071fc54dde0aa916e9376e01,4c563ea50217462085ccfdb821b935ae5dfdd66cfe48fd4edff74cadf45df3bc,50e8525a2ddb6f14d3623a1aa355ce1911bacb95104c88c60dbc66ddb9bc7649,0.29534675041661324,4.608,0.673407482305359,OK
3gBeJyl7Szg_s3408,720p60,2,nba,L01948:3gBeJyl7Szg_s3408,tracked,1,,2295,2295,2295,7801.0,7801.0,PRESENT,OK,500,1301,500,0,445,55,6,500.0,3,2616,6,3000,60.0,60.0,1/90000,h264,50.0,130.0,133.21666666666667,720p60,720p60,e7e73bb3cefc28d8fb5e4a4dd184e69f261460a90eee5128d7ef79c564147277,14cabad215e0b36e56f1429b74d7a04ccfd6615e9f3cbfcfeadf26a650025823,a3db6b1fa21164b445e6c630d172c918e86cc81cb5e98b6095fe6e2191a2495c,0.29419305217279834,4.59,0.6050204918032787,OK
3gBeJyl7Szg_s4514,720p60,3,nba,L01949:3gBeJyl7Szg_s4514,tracked,1,,2502,2502,2502,7801.0,7801.0,PRESENT,OK,500,1301,500,0,486,14,6,500.0,1,186,6,3000,60.0,60.0,1/90000,h264,50.0,130.066667,134.68333333333334,720p60,720p60,35c3dae336a86d5c9db868838ea6b9dce7ddc2653143ccf8d813d8c426fefaa5,8507eb77f7c083edc179b31bb1c63dff734ca2de6ff0d1a8b581b736f262c078,9d253ed22b2800127a65a47099e5516fc0788b5567bc3b4b2dfb81e5cdbe0fde,0.32072811178054095,5.004,0.9738439981317142,OK
bos_mia_2025,720p60,4,nba,L00054:bos_mia_2025,thin,1,ball_table_absent,0,0,0,,,ABSENT,ABSENT,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,UNKNOWN,UNKNOWN,,3000,59.94005994005994,,,,50.050000000000004,,908.45755,UNKNOWN,720p60,,,,,,,UNKNOWN
bos_mia_playoffs,720p60,5,nba,L00024:bos_mia_playoffs,tracked,1,,1941,1941,1941,55153.0,,ABSENT,ABSENT,,9193,500,0,500,0,6,500.0,4,546,6,3000,59.94005994005994,,,,50.050000000000004,,920.1358833333334,UNKNOWN,720p60,,4f20f4eb82852c61e5819511d00f49faf9657ef6f6f824e870c65984ca90f656,16aad61bb83895a4b629bc8271b9164699b3bc86d463c8f7a483b8610df4489e,0.03519300853987997,3.882,0.6411940298507462,OK
cavs_broadcast_2025,720p60,6,nba,L00037:cavs_broadcast_2025,tracked,1,,1273,1273,1273,56167.0,,ABSENT,ABSENT,,9362,500,0,479,21,6,500.0,4,1176,6,3000,59.94005994005994,,,,50.050000000000004,,937.0527833333333,UNKNOWN,720p60,,a1b7a930c3d5557d95eb42420a7808a8b11508a3fd5056ca8f617569f626c9e3,46cd3534522ec27d201ce7c2a75d7151beab19157bd3675450ab607f86dee731,0.02266455391956131,2.546,0.8008255933952528,OK
den_phx_2025,720p60,7,nba,L00019:den_phx_2025,tracked,1,,2972,2972,2972,35227.0,,ABSENT,ABSENT,,5872,500,0,494,6,6,500.0,3,276,6,3000,59.94005994005994,,,,50.050000000000004,,587.7037833333334,UNKNOWN,720p60,,7ce5a0df4f41afbf65292a5c386eee2fb0cb8c82342cde81b2ea9d116429e5d1,25ec062f84a04272b28e699e70f3c3229a700040aa9c5246c140a45b50513b0c,0.08436710477758537,5.944,0.6133064516129032,OK
gsw_lakers_2025,720p60,8,nba,L00021:gsw_lakers_2025,tracked,1,,717,717,717,41742.0,,ABSENT,ABSENT,,6957,500,0,366,134,6,500.0,4,546,6,3000,59.94005994005994,,,,50.050000000000004,,696.3957,UNKNOWN,720p60,,be95e010c4d4b898d191d233be3f8777e3637d35166b0349b8135269da73e833,cc2d4ba3b24376dd972231786bf18e0aed06a28586df87ec639fcd4751fba4b3,0.01717694408509415,1.434,0.21267893660531698,OK
mem_nop_2025,720p60,9,nba,L00023:mem_nop_2025,tracked,1,,2192,2192,2192,47505.0,,ABSENT,ABSENT,,7918,500,0,497,3,6,500.0,5,636,6,3000,59.94005994005994,,,,50.050000000000004,,792.54175,UNKNOWN,720p60,,d41a4143b518172377c5206791f813ff8f343d4fd08dec4da09bc227be26cd59,54d9370f372548f82b33a9e660f97971a26810a9a4a05cd47262417fb84d7c87,0.04614251131459846,4.384,0.782967032967033,OK
mil_chi_2025,720p60,10,nba,L00028:mil_chi_2025,tracked,1,,2642,2642,2642,54334.0,,ABSENT,ABSENT,,9056,500,0,483,17,6,500.0,2,816,6,3000,59.94005994005994,,,,50.050000000000004,,906.4722333333334,UNKNOWN,720p60,,6b7631ae23455610fa56b067d024d947e6b83478352fda7318639ea1a10528c0,20d3c746b8a6161f714b8cf11645ad0b9b2ed5ade4215a7b7acb77df8e887935,0.048625170243309895,5.284,0.6234458259325044,OK
nba_highlights_gsw,720p60,11,nba,L00056:nba_highlights_gsw,thin,1,ball_table_absent,0,0,0,,,ABSENT,ABSENT,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,UNKNOWN,UNKNOWN,,3000,59.94005994005994,,,,50.050000000000004,,979.4785,UNKNOWN,720p60,,,,,,,UNKNOWN
phi_tor_2025,720p60,12,nba,L00052:phi_tor_2025,thin,1,ball_table_absent,0,0,0,,,ABSENT,ABSENT,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,UNKNOWN,UNKNOWN,,3000,59.94005994005994,,,,50.050000000000004,,904.6537500000001,UNKNOWN,720p60,,,,,,,UNKNOWN
sac_por_2025,720p60,13,nba,L00057:sac_por_2025,thin,1,ball_table_absent,0,0,0,,,ABSENT,ABSENT,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,UNKNOWN,UNKNOWN,,3000,59.94005994005994,,,,50.050000000000004,,1058.0903666666668,UNKNOWN,720p60,,,,,,,UNKNOWN
6rQ2sV4upfc_s90,720p60,14,ncaa_basketball,L01954:6rQ2sV4upfc_s90,tracked,1,,2316,2316,2316,7793.0,7793.0,PRESENT,OK,500,1299,500,0,496,4,6,500.0,2,96,6,3000,59.9400649176314,59.94005994005994,1/90000,h264,50.04999584372403,130.013211,133.80032222222223,720p60,720p60,8cf60bd1df8a9b74c7126efcf14219fd356040e62923f4f07fdb089661ffcee5,2348fc42c0fda3c4ecffabd7b1aa1c70ecc0bccbd782c8a4bf5703f0f450402c,8835ad56b0dcb563216ac720708a331d06b55acd2da4203f96a5d8b9bd790507,0.29718978570512,4.632,0.7721271393643032,OK
6rQ2sV4upfc_s2928,720p60,15,ncaa_basketball,L01952:6rQ2sV4upfc_s2928,tracked,1,,1601,1601,1601,7793.0,7793.0,PRESENT,OK,500,1299,500,0,413,87,6,500.0,5,366,6,3000,59.94006499964463,59.94005994005994,1/90000,h264,50.04999577524292,129.996533,131.6314888888889,720p60,720p60,48797240284ab6b9869d00fc56579276c39fa5207b50172801e4b87c1bdf5142,2bf412ca6c6f79959b9b18e561a69835492d60f7e7ff643e2290baeb73226809,822e2abbba8c3002baa9b5f110458de98caf5fda0b7be397646b9e185fd5e24b,0.20544078018734763,3.202,0.9278499278499278,OK
6rQ2sV4upfc_s4347,720p60,16,ncaa_basketball,L01953:6rQ2sV4upfc_s4347,tracked,1,,1088,1088,1088,7793.0,7793.0,PRESENT,OK,500,1299,500,0,484,16,6,500.0,2,366,6,3000,59.94006249086643,59.94005994005994,1/90000,h264,50.04999787007454,129.996533,130.54707777777776,720p60,720p60,9a32663c2072337b85422e463836421bbe65681c4751dd5fbb347661f09c462c,a0fb28e0f35766d6821eff53b08b7d8ca7dc3d874de103781e9b7f1d1db5b73e,52232ad157e43192e70bbe771dd551d6c8ec1986492bf1613c47dc2beea90aeb,0.1396124727319389,2.176,0.6981981981981982,OK
7blRl4zVfrY_s90,720p60,17,ncaa_basketball,L01959:7blRl4zVfrY_s90,tracked,1,,1674,1674,1674,7793.0,7793.0,PRESENT,OK,500,1299,500,0,500,0,6,500.0,2,186,6,3000,59.94006497920702,59.94005994005994,1/90000,h264,50.04999579230834,130.013211,132.16535555555555,720p60,720p60,38864a8e2c87e4535209cfe37a3c2913bb321f19e39de735cc310f9b8cf83698,e40d259e4197afc274f9ffd3c4a2574c46028094160504ba92e7fff7bd074ecb,f953801e58e10b08ec0502b5cc90857c4a4636bde580d59e007596753bb8f35e,0.214808161170281,3.348,0.92467332820907,OK
7blRl4zVfrY_s2356,720p60,18,ncaa_basketball,L01956:7blRl4zVfrY_s2356,tracked,1,,2374,2374,2374,7793.0,7793.0,PRESENT,OK,500,1299,500,0,500,0,6,500.0,0,0,6,3000,59.940065051471365,59.94005994005994,1/90000,h264,50.04999573196756,129.996533,130.29682222222223,720p60,720p60,ef4ade8f1b46410ad2a452d389a19c9e7a3a7ec2fedff7389f446e3285981ea7,2e9b479e3be7e82957493356f8985c7f5551abcef4f6b23379eab71d4473028e,ac165fe852092e20ecdfdef65a4cbeb95d3b72945995527043b1a4cb89d8cb56,0.3046323623764917,4.748,0.9631551634665283,OK
7blRl4zVfrY_s3489,720p60,19,ncaa_basketball,L01957:7blRl4zVfrY_s3489,tracked,1,,1449,1449,1449,7794.0,7794.0,PRESENT,OK,500,1299,500,0,473,27,6,500.0,4,456,6,3000,59.94006248112433,59.94005994005994,1/90000,h264,50.049997878209204,130.013211,131.04757777777778,720p60,720p60,b5d027dbca93a647b4545a8a1e5b9f7da80e078b394f74fd504c5c0e8e7b31ea,91096307c505c103e1d80b99becfdbfbd25561db9fe197b41c4aafd7357cead6,90266c171c4271740552b26095f34b1709ac93eaa2d844d61ca4fdce9367aee6,0.1859122401847575,2.898,0.8505195843325339,OK
