section_id,draw_kind,draw_order,competition,attempt_id,attempt_status,attempts,schedule_reason,rows,raw_rows,unique_player_tick_rows,producer_decoded_frames,source_decoded_pts_frames,source_status,pts_status,declared_ticks,ledger_evaluated_frames,evaluated_ticks,suspended_ticks,emitting_ticks,zero_output_evaluated_ticks,observed_stride,expected_ticks_from_cap,evaluated_gap_runs,max_gap_frames,ledger_stride,frame_cap,measured_avg_fps,measured_r_fps,time_base,codec_name,cap_implied_duration_s,elapsed_source_pts_s,declared_duration_s,measured_kind,declared_kind,source_sha256,tracking_sha256,ball_sha256,rows_per_decoded_frame,rows_per_evaluated_tick,held_share,held_status
acb-6NGcNkDDK9o_s90,1080p30,0,basketball,L00734:acb-6NGcNkDDK9o_s90,tracked,1,,1810,1810,1810,3901.0,,ABSENT,ABSENT,966,1301,966,0,954,12,3,1000.0,6,273,3,3000,30.0,,,,100.0,,131.66666666666666,UNKNOWN,1080p30,,78eec49823ca9598236356bc0250ab48db85daed8efd0ef00716dd61409cc43c,f5c5afefc623bcce45d9b9b31518b62b6619176879129963ccbbc329a5780743,0.46398359395026917,1.8737060041407867,0.9911575562700965,OK
cba-8R8t7v2N-zQ_s4176,1080p30,1,basketball,L00697:cba-8R8t7v2N-zQ_s4176,tracked,1,,4415,4415,4415,3901.0,,ABSENT,ABSENT,1000,1301,1000,0,1000,0,3,1000.0,1,93,3,3000,30.0,,,,100.0,,131.03333333333333,UNKNOWN,1080p30,,9f2b3cc07db1ccd7636a64f86ca9e7d156da515828fd6d7bea984065eefc9bc2,fbfb8978889ab06064c82aa4089b621d128e160a440780bbc65a5cc943441988,1.1317610869007946,4.415,0.868632707774799,OK
eurocup-mhi_fuXUPRE_s90,1080p30,2,basketball,L00523:eurocup-mhi_fuXUPRE_s90,thin,1,ball_table_absent,0,0,0,,,ABSENT,ABSENT,,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,,UNKNOWN,UNKNOWN,,3000,30.0,,,,100.0,,134.7,UNKNOWN,1080p30,,,,,,,UNKNOWN
fiba-14Mh4JjtLVg_s2738,1080p30,3,basketball,L00688:fiba-14Mh4JjtLVg_s2738,tracked,1,,2983,2983,2983,3901.0,,ABSENT,ABSENT,1000,1301,1000,0,999,1,3,1000.0,0,0,3,3000,30.0,,,,100.0,,132.03333333333333,UNKNOWN,1080p30,,36af0b61625a117512c6a6838e275b3b1cd57843ccdf9abb634b1631a51ba11a,a40d8daa8101b333df0a9a4ba011bb221fb2401ce2225b53e82c656b3ea46bcf,0.7646757241732889,2.983,0.9767032967032967,OK
fiba-A2W5ZjAgr7M_s6725,1080p30,4,basketball,L00605:fiba-A2W5ZjAgr7M_s6725,tracked,1,,1271,1271,1271,3901.0,,ABSENT,ABSENT,,1301,968,0,419,549,3,1000.0,5,453,3,3000,30.0,,,,100.0,,130.9,UNKNOWN,1080p30,,703a68631fd09a6b39b364db279daa041534b0de7de7cb0f2695c025e8be4147,8fed0179e660ce49019c0e12c344da353744aec426676100ae81111697729632,0.3258138938733658,1.31301652892562,0.6966019417475728,OK
fiba-HZw0bbHwHjY_s3910,1080p30,5,basketball,L01846:fiba-HZw0bbHwHjY_s3910,thin,1,,0,0,0,,3901.0,PRESENT,OK,1000,,1000,0,0,1000,3,1000.0,2,93,,3000,30.0,30.0,1/90000,h264,100.0,130.0,135.03333333333333,1080p30,1080p30,98e2188e77c70b03dad9ff81628df9b489aa462ab7e6713ebd99bc1b3df6c875,,16e1da81d87fe4f6b26a735b6c8176e388ef9ef164905d7df0f9f3088bf82ceb,,0.0,,UNKNOWN
fiba-UWqS6-hl0W8_s8175,1080p30,6,basketball,L01842:fiba-UWqS6-hl0W8_s8175,tracked,1,,2905,2905,2905,3901.0,3901.0,PRESENT,OK,851,1301,851,0,818,33,3,1000.0,7,363,3,3000,30.0,30.0,1/90000,h264,100.0,130.066667,134.96666666666667,1080p30,1080p30,bb24114ed1b0672ec2b01294526132503c6aa9fa864d93ea0e3150839983346c,98272e7d9a4c47d61795104cf0fe8db549260c9322ec2f714450f9e271836e14,61f19377b63898ee68c26169941255b51320642cb1ef99b98a6f1e06eebc1c6e,0.7446808510638298,3.4136310223266744,0.7956204379562044,OK
fiba-jFUMvm_epUE_s5410,1080p30,7,basketball,L00746:fiba-jFUMvm_epUE_s5410,tracked,1,,3320,3320,3320,3901.0,,ABSENT,ABSENT,1000,1301,1000,0,936,64,3,1000.0,3,93,3,3000,30.0,,,,100.0,,133.9,UNKNOWN,1080p30,,cce972b01e8be30974eaaf17dd21fc138a783d5ceb0180ff2ff41005ce35ad5f,aa0b56348eb1f8cfb93fb658b4e9de4b8ef754e519a254333d96e835a9811e33,0.851063829787234,3.32,0.9895064127477653,OK
fiba-tZeqmc_-_sA_s5058,1080p30,8,basketball,L00344:fiba-tZeqmc_-_sA_s5058,thin,2,,0,4896,4896,,,ABSENT,ABSENT,1000,,1000,0,968,32,3,1000.0,1,93,,3000,30.0,,,,100.0,,133.03333333333333,UNKNOWN,1080p30,,7cc2f4e8c6e4da02f1595932195f5db640c7af59055e0262ea99cd4f0a11625a,c8c2634c27a3ee4c0dba44ac5551d4afbf4e2efb261b42deb2dd89ebf2a0d766,,4.896,0.7154491017964072,OK
lnb-3_eNM4ikjzY_s5466,1080p30,9,basketball,L00528:lnb-3_eNM4ikjzY_s5466,tracked,1,,5361,5361,5361,3897.0,,ABSENT,ABSENT,,1299,1000,0,999,1,3,1000.0,3,93,3,3000,29.97002997002997,,,,100.10000000000001,,134.60113333333334,UNKNOWN,1080p30,,047b06531f68ed0e614b224ae76814dcb6c4dc044ea54855217e3e907b2c8352,66b6fee68d5f13dd6a3774e1985aa0263f5d35fedaeaf8acb54631d6189de7a1,1.3756735950731331,5.361,0.5869804266549373,OK
ncaaw-UCVSlzgun0o_s5610,1080p30,10,basketball,L00683:ncaaw-UCVSlzgun0o_s5610,tracked,1,,4123,4123,4123,3897.0,,ABSENT,ABSENT,1000,1299,1000,0,985,15,3,1000.0,3,93,3,3000,29.97002997002997,,,,100.10000000000001,,135.4353,UNKNOWN,1080p30,,aa030120fe1941fb38a2d268fea45d7a59f3b04dca95c63ad50d98a15fd6b0a0,cd9662915ba895fd455105695db4aeec0ff218fdb4cf542b3eb8929d1a5d8b70,1.0579933282011804,4.123,0.6707503828483921,OK
50pp-OqYVok_s4080,1080p30,11,nba,L00807:50pp-OqYVok_s4080,tracked,1,,6016,6016,6016,3901.0,,ABSENT,ABSENT,1000,1301,1000,0,1000,0,3,1000.0,4,273,3,3000,30.0,,,,100.0,,135.36666666666667,UNKNOWN,1080p30,,c763a30dc53151de473d085cd1e85a209e07f7dc313a99bf6aaca68605a5be09,7a6da563ae1a8bd82c570fb43802a00c59e9281baadfaec7b337dc76b873055a,1.5421686746987953,6.016,0.8242588645611315,OK
Cm4PtLhM1pQ_s2208,1080p30,12,nba,L01449:Cm4PtLhM1pQ_s2208,tracked,1,,4461,4461,4461,3897.0,,ABSENT,ABSENT,1000,1299,1000,0,988,12,3,1000.0,1,93,3,3000,29.97002997002997,,,,100.10000000000001,,132.46566666666666,UNKNOWN,1080p30,,7400563d8f35664f1c8bead374c0f300def52b455456648f94631e627c8c3aeb,94e1194e435377a5d77738864624c8767b4c632ba0a49a65a41b58107e900659,1.1447267128560432,4.461,0.9880287310454908,OK
RIrGQJ_jsGQ_s1410,1080p30,13,nba,L00300:RIrGQJ_jsGQ_s1410,tracked,3,,6167,5409,5409,3901.0,,ABSENT,ABSENT,1000,1301,1000,0,1000,0,3,1000.0,0,0,3,3000,30.0,,,,100.0,,132.03333333333333,UNKNOWN,1080p30,,b53d26619bd00e2646e7e1d5b0f76234852ba64a770e679bf56de8f3523ab30f,75f4fd15d95776f229781c4f91bd268289d2135352a2e43753ce0eddf6b3aa84,1.3865675467828762,5.409,0.8660752006759611,OK
can0TljVjRg_s2509,1080p30,14,nba,L01397:can0TljVjRg_s2509,tracked,1,,2012,2012,2012,3897.0,,ABSENT,ABSENT,879,1299,879,0,853,26,3,1000.0,8,363,3,3000,29.97002997002997,,,,100.10000000000001,,130.2301,UNKNOWN,1080p30,,219d4cfe5451b59694da9781e6447351ee66d1a18145481229fd9efe130ced87,2754d3feae85e6888172149791448c7cb5e8ffc871645934e42d079bd678c7bd,0.5162945855786503,2.2889647326507396,0.8870757180156658,OK
sN8v9Uus6xw_s4406,1080p30,15,nba,L01388:sN8v9Uus6xw_s4406,tracked,1,,5332,5332,5332,3898.0,,ABSENT,ABSENT,1000,1300,1000,0,993,7,3,1000.0,2,93,3,3000,29.97002997002997,,,,100.10000000000001,,132.16536666666667,UNKNOWN,1080p30,,a7b82adde4f5bd8639a97cee4fdd09d233b19e0cc81db765f12a2b13ea59342e,a9a76ec639e7a36ffc44457636d2e0d9cb93b9b1e3e9683ad3d60993e04c2318,1.3678809645972294,5.332,0.762596071733561,OK
0KIBu1jQBL8_s1270,1080p30,16,ncaa_basketball,L01175:0KIBu1jQBL8_s1270,tracked,1,,969,969,969,3898.0,,ABSENT,ABSENT,209,1300,209,1001,209,0,3,1000.0,5,678,3,3000,29.97002997002997,,,,100.10000000000001,,134.80133333333333,UNKNOWN,1080p30,,3f8ba5ff462570dd4dcc54e712d9ae62ed9f8c61a21942a3290b1c3b2c5075a9,7f1bf38f0c230413c831e4a7b0ded730e7dc52a53e24e380ce350adaa2f20d08,0.24858902001026167,4.636363636363637,0.8234552332912989,OK
EqseleqhpTk_s1395,1080p30,17,ncaa_basketball,L00335:EqseleqhpTk_s1395,tracked,3,,5012,5419,5419,3897.0,,ABSENT,ABSENT,1000,1299,1000,0,999,1,3,1000.0,1,93,3,3000,29.97002997002997,,,,100.10000000000001,,133.66686666666666,UNKNOWN,1080p30,,e103c7d5d27eb4c34c712ae5ee798c2d858a10efa8ceaf98e7a92a3d3b5fa3d2,1481efc0a9c9d09de5b443cf9419c2aaadde4e83df47c594654132b35d47d46c,1.39055683859379,5.419,0.8194214876033058,OK
GtwFiAa1gXI_s2538,1080p30,18,ncaa_basketball,L01573:GtwFiAa1gXI_s2538,tracked,1,,5578,5578,5578,3898.0,,ABSENT,ABSENT,1000,1300,1000,0,999,1,3,1000.0,0,0,3,3000,29.97002997002997,,,,100.10000000000001,,135.36856666666668,UNKNOWN,1080p30,,ba428ff9b18f122eeb70279acca1a62e4274fa1e8d068e403b7db5276e256648,3761899c65c5b32743a18ade7ff95f65ffecdc8f8e11745ef7c2bb33f2a0c2a8,1.43099025141098,5.578,0.9736517085220255,OK
N-eE7ZwTuno_s5027,1080p30,19,ncaa_basketball,L01098:N-eE7ZwTuno_s5027,tracked,1,,2805,2805,2805,3834.0,,ABSENT,ABSENT,,1278,668,0,666,2,3,1000.0,0,0,3,3000,29.97002997002997,,,,100.10000000000001,,132.99953333333335,UNKNOWN,1080p30,,d75e2502a24171a7f768bb83311be198a85ef57ec29a1778b5ae24e009a5367d,df37fe0b02bb74a37ed71f165b2c47663ff4b16db12500217df4a2eecdd26932,0.7316118935837246,4.199101796407185,0.8022959183673469,OK
UzaYBYy3GZg_s90,1080p30,20,ncaa_basketball,L00378:UzaYBYy3GZg_s90,tracked,1,,3507,3507,3507,3897.0,,ABSENT,ABSENT,,1299,1000,0,998,2,3,1000.0,0,0,3,3000,29.97002997002997,,,,100.10000000000001,,134.96816666666666,UNKNOWN,1080p30,,e0a0f0992a73da83433ab4d2a453f0c5a6a8a47d71dcf3c387aee5872f0c1358,cbb2165d1ed75eeec7aae24c388fff2da178aeba06af1b1fe5c8c5596200a759,0.8999230177059276,3.507,0.7288503253796096,OK
