attempt_id,ledger_line,section_id,competition,video,source_start,status,terminal,route_identity,declared_kind,declared_resolution,declared_height,declared_fps,declared_duration,rows,decoded_frames,evaluated_frames,stride,passed,finished_at,probe_status,measured_kind,measured_width,measured_height,measured_fps,source_sha256,source_filename,outputs_present,draw_kind,draw_order,population
L00683:ncaaw-UCVSlzgun0o_s5610,683,ncaaw-UCVSlzgun0o_s5610,basketball,ncaaw-UCVSlzgun0o,000005610,tracked,1,ORIGINAL,1080p30,1920x1080,1080,29.97002997002997,135.4353,4123,3897,1299,3,False,1788899561,ABSENT,UNKNOWN,,,,,basketball__ncaaw-UCVSlzgun0o_s5610.mp4,1,1080p30,10,783
L00807:50pp-OqYVok_s4080,807,50pp-OqYVok_s4080,nba,50pp-OqYVok,000004080,tracked,1,ORIGINAL,1080p30,1920x1080,1080,30.0,135.36666666666667,6016,3901,1301,3,False,1788913186,ABSENT,UNKNOWN,,,,,nba__50pp-OqYVok_s4080.mp4,1,1080p30,11,783
L01449:Cm4PtLhM1pQ_s2208,1449,Cm4PtLhM1pQ_s2208,nba,Cm4PtLhM1pQ,000002208,tracked,1,ORIGINAL,1080p30,1920x1080,1080,29.97002997002997,132.46566666666666,4461,3897,1299,3,False,1789081341,ABSENT,UNKNOWN,,,,,nba__Cm4PtLhM1pQ_s2208.mp4,1,1080p30,12,783
L00300:RIrGQJ_jsGQ_s1410,300,RIrGQJ_jsGQ_s1410,nba,RIrGQJ_jsGQ,000001410,tracked,1,ORIGINAL,1080p30,1920x1080,1080,30.0,132.03333333333333,6167,3901,1301,3,False,1788866596,ABSENT,UNKNOWN,,,,,nba__RIrGQJ_jsGQ_s1410.mp4,1,1080p30,13,783
L01397:can0TljVjRg_s2509,1397,can0TljVjRg_s2509,nba,can0TljVjRg,000002509,tracked,1,ORIGINAL,1080p30,1920x1080,1080,29.97002997002997,130.2301,2012,3897,1299,3,False,1789078714,ABSENT,UNKNOWN,,,,,nba__can0TljVjRg_s2509.mp4,1,1080p30,14,783
L01388:sN8v9Uus6xw_s4406,1388,sN8v9Uus6xw_s4406,nba,sN8v9Uus6xw,000004406,tracked,1,ORIGINAL,1080p30,1920x1080,1080,29.97002997002997,132.16536666666667,5332,3898,1300,3,False,1789077990,ABSENT,UNKNOWN,,,,,nba__sN8v9Uus6xw_s4406.mp4,1,1080p30,15,783
L01175:0KIBu1jQBL8_s1270,1175,0KIBu1jQBL8_s1270,ncaa_basketball,0KIBu1jQBL8,000001270,tracked,1,ORIGINAL,1080p30,1920x1080,1080,29.97002997002997,134.80133333333333,969,3898,1300,3,False,1789068499,ABSENT,UNKNOWN,,,,,ncaa_basketball__0KIBu1jQBL8_s1270.mp4,1,1080p30,16,783
L00335:EqseleqhpTk_s1395,335,EqseleqhpTk_s1395,ncaa_basketball,EqseleqhpTk,000001395,tracked,1,ORIGINAL,1080p30,1920x1080,1080,29.97002997002997,133.66686666666666,5012,3897,1299,3,False,1788869155,ABSENT,UNKNOWN,,,,,ncaa_basketball__EqseleqhpTk_s1395.mp4,1,1080p30,17,783
L01573:GtwFiAa1gXI_s2538,1573,GtwFiAa1gXI_s2538,ncaa_basketball,GtwFiAa1gXI,000002538,tracked,1,ORIGINAL,1080p30,1920x1080,1080,29.97002997002997,135.36856666666668,5578,3898,1300,3,False,1789089375,ABSENT,UNKNOWN,,,,,ncaa_basketball__GtwFiAa1gXI_s2538.mp4,1,1080p30,18,783
L01098:N-eE7ZwTuno_s5027,1098,N-eE7ZwTuno_s5027,ncaa_basketball,N-eE7ZwTuno,000005027,tracked,1,ORIGINAL,1080p30,1920x1080,1080,29.97002997002997,132.99953333333335,2805,3834,1278,3,False,1789064549,ABSENT,UNKNOWN,,,,,ncaa_basketball__N-eE7ZwTuno_s5027.mp4,1,1080p30,19,783
