path,probe_status,bytes,width,height,avg_frame_rate,r_frame_rate,time_base,codec_name,nb_frames,duration,start_time,format_duration,format_name,avg_fps,r_fps,fps,sha256,format_kind,directory,filename
/workspace/data/footage_corpus/basketball__acb-OHJgVogFtNE_s1505.mp4,OK,60712343,1920,1080,30/1,30/1,1/90000,h264,3991,130.034000,0.000000,130.034000,"mov,mp4,m4a,3gp,3g2,mj2",30.0,30.0,30.0,e70d84c8c9bedffcb2391e661f6a1a1d76560e6679c570ef9ac24ab1823d4b10,1080p30,/workspace/data/footage_corpus,basketball__acb-OHJgVogFtNE_s1505.mp4
/workspace/data/footage_corpus/basketball__acb-OHJgVogFtNE_s2920.mp4,OK,64085133,1920,1080,30/1,30/1,1/90000,h264,3937,130.067000,0.000000,130.067000,"mov,mp4,m4a,3gp,3g2,mj2",30.0,30.0,30.0,f858e07505c8a15d8d74013c9b2e29b04b1bb0b16cfd0701747b768bdf35aaaf,1080p30,/workspace/data/footage_corpus,basketball__acb-OHJgVogFtNE_s2920.mp4
/workspace/data/footage_corpus/basketball__acb-OHJgVogFtNE_s4335.mp4,OK,60467743,1920,1080,30/1,30/1,1/90000,h264,3933,130.100000,0.000000,130.100000,"mov,mp4,m4a,3gp,3g2,mj2",30.0,30.0,30.0,2551d4bdad015ba4bac3ed8f85727890960914e8b5f41fbffdece1278f6d9d25,1080p30,/workspace/data/footage_corpus,basketball__acb-OHJgVogFtNE_s4335.mp4
/workspace/data/footage_corpus/basketball__acb-OHJgVogFtNE_s5750.mp4,OK,57194336,1920,1080,30/1,30/1,1/90000,h264,3991,130.067000,0.000000,130.067000,"mov,mp4,m4a,3gp,3g2,mj2",30.0,30.0,30.0,3dd551ac4ed38b3e7670a55ef06ad9a92a1438c986829c518ff38219684c20ec,1080p30,/workspace/data/footage_corpus,basketball__acb-OHJgVogFtNE_s5750.mp4
/workspace/data/footage_corpus/basketball__acb-OHJgVogFtNE_s7165.mp4,OK,52683575,1920,1080,30/1,30/1,1/90000,h264,4025,130.066000,0.000000,130.066000,"mov,mp4,m4a,3gp,3g2,mj2",30.0,30.0,30.0,4634dc1d09067a278291f1d2f932ddf83aff17d7b44fd822403bb4e0de35b80b,1080p30,/workspace/data/footage_corpus,basketball__acb-OHJgVogFtNE_s7165.mp4
/workspace/data/footage_corpus/basketball__acb-OHJgVogFtNE_s90.mp4,OK,56200762,1920,1080,30/1,30/1,1/90000,h264,3917,130.033000,0.000000,130.033000,"mov,mp4,m4a,3gp,3g2,mj2",30.0,30.0,30.0,268c5c51ae4f473552b472e59d1145259e1685f7f7c4a8a20fcd79570fc481f8,1080p30,/workspace/data/footage_corpus,basketball__acb-OHJgVogFtNE_s90.mp4
/workspace/data/footage_corpus/basketball__euroleague-1JN2w7nPn9k_s2506.mp4,OK,64435150,1920,1080,25/1,25/1,1/90000,h264,3392,130.080000,0.000000,130.080000,"mov,mp4,m4a,3gp,3g2,mj2",25.0,25.0,25.0,8a806976bd9f5f9bba9b2c22bc2793a953cf90d696387445cd0d2386c5edd4fc,OTHER,/workspace/data/footage_corpus,basketball__euroleague-1JN2w7nPn9k_s2506.mp4
/workspace/data/footage_corpus/basketball__euroleague-1JN2w7nPn9k_s4922.mp4,OK,53151222,1920,1080,25/1,25/1,1/90000,h264,3312,130.040000,0.000000,130.040000,"mov,mp4,m4a,3gp,3g2,mj2",25.0,25.0,25.0,de8be7e7b51501a3ec428365e658b57f9e091b36180fd43768f21054c558e955,OTHER,/workspace/data/footage_corpus,basketball__euroleague-1JN2w7nPn9k_s4922.mp4
/workspace/data/footage_corpus/basketball__euroleague-1JN2w7nPn9k_s7338.mp4,OK,56165554,1920,1080,25/1,25/1,1/90000,h264,3264,130.040000,0.000000,130.040000,"mov,mp4,m4a,3gp,3g2,mj2",25.0,25.0,25.0,6f0337a0f514f3a741a7fb7bf327f09ac4972539e7bcd356452a0079b16ca9fd,OTHER,/workspace/data/footage_corpus,basketball__euroleague-1JN2w7nPn9k_s7338.mp4
/workspace/data/footage_corpus/basketball__euroleague-1JN2w7nPn9k_s90.mp4,OK,33522678,1920,1080,25/1,25/1,1/90000,h264,3367,130.120000,0.000000,130.120000,"mov,mp4,m4a,3gp,3g2,mj2",25.0,25.0,25.0,3f53063dfb89c0e365e8590d53326ca9159b44ca6104bde6a66e3c51e08303d9,OTHER,/workspace/data/footage_corpus,basketball__euroleague-1JN2w7nPn9k_s90.mp4
