status,coordinate_columns,held_pairs,shared_pairs,held_share,no_shared_pairs,adjacent_evaluated_pairs,no_output_ticks,evaluated_ticks,section_id,draw_kind,draw_order,reason
OK,x_position/y_position,1233,1244,0.9911575562700965,124,965,12,966,acb-6NGcNkDDK9o_s90,1080p30,0,
OK,x_position/y_position,3240,3730,0.868632707774799,6,999,0,1000,cba-8R8t7v2N-zQ_s4176,1080p30,1,
UNKNOWN,,,,,,,,,eurocup-mhi_fuXUPRE_s90,1080p30,2,ball_table_absent
OK,x_position/y_position,2222,2275,0.9767032967032967,38,999,1,1000,fiba-14Mh4JjtLVg_s2738,1080p30,3,
OK,x_position/y_position,574,824,0.6966019417475728,633,967,549,968,fiba-A2W5ZjAgr7M_s6725,1080p30,4,
UNKNOWN,,,,,,,,,fiba-HZw0bbHwHjY_s3910,1080p30,5,table_unreadable
OK,x_position/y_position,1744,2192,0.7956204379562044,68,850,33,851,fiba-UWqS6-hl0W8_s8175,1080p30,6,
OK,x_position/y_position,2546,2573,0.9895064127477653,105,999,64,1000,fiba-jFUMvm_epUE_s5410,1080p30,7,
OK,x_position/y_position,2987,4175,0.7154491017964072,48,999,32,1000,fiba-tZeqmc_-_sA_s5058,1080p30,8,
OK,x_position/y_position,2669,4547,0.5869804266549373,10,999,1,1000,lnb-3_eNM4ikjzY_s5466,1080p30,9,
OK,x_position/y_position,2190,3265,0.6707503828483921,24,999,15,1000,ncaaw-UCVSlzgun0o_s5610,1080p30,10,
OK,x_position/y_position,4254,5161,0.8242588645611315,3,999,0,1000,50pp-OqYVok_s4080,1080p30,11,
OK,x_position/y_position,3714,3759,0.9880287310454908,26,999,12,1000,Cm4PtLhM1pQ_s2208,1080p30,12,
OK,x_position/y_position,4100,4734,0.8660752006759611,3,999,0,1000,RIrGQJ_jsGQ_s1410,1080p30,13,
OK,x_position/y_position,1359,1532,0.8870757180156658,102,878,26,879,can0TljVjRg_s2509,1080p30,14,
OK,x_position/y_position,3572,4684,0.762596071733561,14,999,7,1000,sN8v9Uus6xw_s4406,1080p30,15,
OK,x_position/y_position,653,793,0.8234552332912989,1,208,0,209,0KIBu1jQBL8_s1270,1080p30,16,
OK,x_position/y_position,3966,4840,0.8194214876033058,2,999,1,1000,EqseleqhpTk_s1395,1080p30,17,
OK,x_position/y_position,4730,4858,0.9736517085220255,2,999,1,1000,GtwFiAa1gXI_s2538,1080p30,18,
OK,x_position/y_position,1887,2352,0.8022959183673469,6,667,2,668,N-eE7ZwTuno_s5027,1080p30,19,
OK,x_position/y_position,2016,2766,0.7288503253796096,21,999,2,1000,UzaYBYy3GZg_s90,1080p30,20,
OK,x_position/y_position,3115,4178,0.7455720440402106,51,999,36,1000,WeheQidCPXI_s3987,1080p30,21,
OK,x_position/y_position,3978,4066,0.9783571077225774,8,999,3,1000,eXwgsSpz-GY_s3642,1080p30,22,
OK,x_position/y_position,4065,4099,0.9917052939741401,4,999,0,1000,hLv8cwl0asQ_s1295,1080p30,23,
OK,x_position/y_position,1709,2648,0.645392749244713,106,999,80,1000,wJSOHbeQcg4_s4450,1080p30,24,
OK,x_position/y_position,3059,3117,0.9813923644529997,7,999,0,1000,1zPhldjbJnU_s4514,1080p30,25,
OK,x_position/y_position,3452,3532,0.9773499433748585,23,999,11,1000,7WBKNCu3NLU_s526,1080p30,26,
OK,x_position/y_position,2146,2171,0.9884845693228926,63,999,5,1000,IwF-L57_Mes_s1521,1080p30,27,
OK,x_position/y_position,2293,2884,0.7950762829403606,60,999,14,1000,pDdwzgQB6Q0_s2740,1080p30,28,
OK,x_position/y_position,5237,5348,0.9792445774121167,0,999,0,1000,wptZj4SuFtE_s5106,1080p30,29,
OK,x_position/y_position,1956,2020,0.9683168316831683,2,499,0,500,3gBeJyl7Szg_s90,720p60,0,
OK,x_position/y_position,1332,1978,0.673407482305359,36,499,30,500,3gBeJyl7Szg_s1196,720p60,1,
OK,x_position/y_position,1181,1952,0.6050204918032787,58,499,55,500,3gBeJyl7Szg_s3408,720p60,2,
OK,x_position/y_position,2085,2141,0.9738439981317142,24,499,14,500,3gBeJyl7Szg_s4514,720p60,3,
UNKNOWN,,,,,,,,,bos_mia_2025,720p60,4,ball_table_absent
