attempt_id,ledger_line,section_id,competition,video,source_start,status,terminal,route_identity,declared_kind,declared_resolution,declared_height,declared_fps,declared_duration,rows,decoded_frames,evaluated_frames,stride,passed,finished_at,probe_status,measured_kind,measured_width,measured_height,measured_fps,source_sha256,source_filename,outputs_present
L00000:ncaa_basketball_IB-_u4gW3ds_1080p,0,ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball,ncaa_basketball_IB-_u4gW3ds_1080p,000000000,thin,1,ORIGINAL,1080p30,1920x1080,1080,29.97002997002997,604.4371666666667,0,,,,,1788814671,ABSENT,UNKNOWN,,,,,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,1
L00001:ncaa_basketball_WFl3V7ZY4ss,1,ncaa_basketball_WFl3V7ZY4ss,ncaa_basketball,ncaa_basketball_WFl3V7ZY4ss,000000000,thin,1,ORIGINAL,1080p30,1920x1080,1080,29.97002997002997,840.6398,0,,,,,1788814671,ABSENT,UNKNOWN,,,,,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss.mp4,1
L00002:wnba_01_1080p,2,wnba_01_1080p,wnba,wnba_01_1080p,000000000,thin,1,ORIGINAL,1080p30,1920x1080,1080,30.0,602.0,0,,,,,1788814671,ABSENT,UNKNOWN,,,,,wnba__wnba_01_1080p.mp4,1
L00003:wnba_06,3,wnba_06,wnba,wnba_06,000000000,thin,1,ORIGINAL,1080p30,1920x1080,1080,30.0,955.8,0,,,,,1788814671,ABSENT,UNKNOWN,,,,,wnba__wnba_06.mp4,1
L00004:ncaa_basketball_mRkuGgeECak,4,ncaa_basketball_mRkuGgeECak,ncaa_basketball,ncaa_basketball_mRkuGgeECak,000000000,thin,1,ORIGINAL,1080p30,1920x1080,1080,29.97002997002997,964.4635000000001,0,,,,,1788814751,ABSENT,UNKNOWN,,,,,ncaa_basketball__ncaa_basketball_mRkuGgeECak.mp4,1
L00005:ncaa_basketball_zqBCKovJCQU,5,ncaa_basketball_zqBCKovJCQU,ncaa_basketball,ncaa_basketball_zqBCKovJCQU,000000000,thin,1,ORIGINAL,1080p30,1920x1080,1080,29.97002997002997,965.5979666666667,0,,,,,1788814932,ABSENT,UNKNOWN,,,,,ncaa_basketball__ncaa_basketball_zqBCKovJCQU.mp4,1
L00006:ncaa_basketball_sRtHQbywiTE,6,ncaa_basketball_sRtHQbywiTE,ncaa_basketball,ncaa_basketball_sRtHQbywiTE,000000000,thin,1,ORIGINAL,OTHER,1280x720,720,29.97002997002997,964.4301333333334,0,,,,,1788815072,ABSENT,UNKNOWN,,,,,ncaa_basketball__ncaa_basketball_sRtHQbywiTE.mp4,1
L00007:wnba_02,7,wnba_02,wnba,wnba_02,000000000,thin,1,ORIGINAL,OTHER,1280x720,720,30.0,960.2666666666667,0,,,,,1788815112,ABSENT,UNKNOWN,,,,,wnba__wnba_02.mp4,1
L00008:ncaa_basketball_sRtHQbywiTE,8,ncaa_basketball_sRtHQbywiTE,ncaa_basketball,ncaa_basketball_sRtHQbywiTE,000000000,tracked,1,ORIGINAL,OTHER,1280x720,720,29.97002997002997,964.4301333333334,1653,28904,9635,3,False,1788815694,ABSENT,UNKNOWN,,,,,ncaa_basketball__ncaa_basketball_sRtHQbywiTE.mp4,1
L00009:ncaa_basketball_IB-_u4gW3ds_1080p,9,ncaa_basketball_IB-_u4gW3ds_1080p,ncaa_basketball,ncaa_basketball_IB-_u4gW3ds_1080p,000000000,tracked,1,ORIGINAL,1080p30,1920x1080,1080,29.97002997002997,604.4371666666667,4143,17983,5995,3,False,1788815956,ABSENT,UNKNOWN,,,,,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,1
